{'短评内容': '酒店位置太好了', '短评打分': 5}
{'短评内容': '这个酒店还可以吧，环境不错价格也不算太高', '短评打分': 4}
{'短评内容': '无早餐，不能加床。周边环境不错。还可以的', '短评打分': 2}
{'短评内容': '没吃过，不能', '短评打分': 4}
{'短评内容': '地方挺好找。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很一般，毛巾很脏，还好带了毛巾。', '短评打分': 4}
{'短评内容': '外表很脏 里面却很干净', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '价格相比高了，设施太差，老旧。卫生差了。', '短评打分': 2}
{'短评内容': '不错，离迎泽公园和柳巷都近', '短评打分': 4}
{'短评内容': '已酒店管理混乱，携程上定的却说没定，已入住了却说没有入住，搞的返款也没有了，早餐券也要顾客说了才给，前台服务态度一般。', '短评打分': 3}
{'短评内容': '我是常客，全部好评', '短评打分': 5}
{'短评内容': '无语', '短评打分': 2}
{'短评内容': '打电话服务台送一个东西，半小时都没送到。', '短评打分': 4}
{'短评内容': '酒店除位置好，其它的都不值3颗星，由于几个服务员还可以，所以给服务与卫生也3颗。', '短评打分': 3}
{'短评内容': '真心不错', '短评打分': 5}
