{'短评内容': '基本上还可以', '短评打分': 5}
{'短评内容': '还行吧～～～', '短评打分': 4}
{'短评内容': '卫生干净 前台服务非常热情', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店态度非常好，服务也非常好，酒店便宜而且晚上睡觉也很舒服安静，性价比算厦门很高的了。下次来厦门继续住这里，跟的士一说酒店名字直接把我们送到酒店门口。', '短评打分': 5}
{'短评内容': '好东西，活动购买，真的不贵，快递也挺快的。', '短评打分': 5}
{'短评内容': '好东西，活动购买，真的不贵，快递也挺快的。', '短评打分': 5}
{'短评内容': '一如既往的不错吃不错', '短评打分': 5}
{'短评内容': '房间舒适干净，价格适中前台服务热情周到，交通便利，环境清静，值得入住，下次还来', '短评打分': 5}
{'短评内容': '一如既往的好 必须支持', '短评打分': 5}
{'短评内容': '满意不错', '短评打分': 5}
{'短评内容': '满意不错', '短评打分': 5}
{'短评内容': '总体感觉还不错，就是门面小了点，前台服务很客气哦', '短评打分': 5}
{'短评内容': '很好的酒店。太长时间了忘记点评了', '短评打分': 5}
{'短评内容': '出差在外，环境好，干净整洁就行。出差在外，环境好，干净整洁就行。出差在外，环境好，干净整洁就行。出差在外，环境好，干净整洁就行。', '短评打分': 5}
{'短评内容': '还好，就近入住了。', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '不是很好找 但是房间不错 出差合适', '短评打分': 4}
{'短评内容': '相对来说还不错，就是后来再订就订不上了', '短评打分': 3}
{'短评内容': '还不错。来考试临时定的。基本符合要求。干净简洁。', '短评打分': 3}
{'短评内容': '环境幽雅，设施齐全，服务卫生到位!', '短评打分': 5}
{'短评内容': '环境幽雅，设施齐全，服务到位', '短评打分': 5}
{'短评内容': '网速太慢！周边吃饭也是个问题！浴室有点问题', '短评打分': 1}
{'短评内容': '还不错～～比之前的康恒碧湖好多了～～电视节目多，房间大小刚好，吹风机风也还行，就是有一两只蚊子。', '短评打分': 5}
{'短评内容': '很不错，床很大，还有泡茶的茶具，我喜欢', '短评打分': 3}
