{'短评内容': '挺不错的，房间挺大的，卫生，也安静，周边环境挺好的，美中不足是没有早餐，要另行订餐，送到房间，这有点不方便。', '短评打分': 4}
{'短评内容': '很好很好哦', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '外出旅游首选……', '短评打分': 5}
{'短评内容': '非常不错，外出首选', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好?', '短评打分': 5}
{'短评内容': '环境很好，交通也很方便', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '第二次入住 一如既往的好 周围环境也不错 就在江边 服务很好 第二次入住 一如既往的好 周围环境也不错 就在江边', '短评打分': 5}
{'短评内容': '很满意推荐！', '短评打分': 5}
{'短评内容': '房间比较小以外，其他的还行', '短评打分': 4}
{'短评内容': '地理位置好方便', '短评打分': 5}
{'短评内容': '服务很好。地理位置好', '短评打分': 5}
{'短评内容': '环境干净，前台热心', '短评打分': 4}
{'短评内容': '房间有点小，没有豪华房的感觉，但比较干净', '短评打分': 5}
{'短评内容': '服务非常周到！简单大方干净！', '短评打分': 5}
{'短评内容': '有些旧了。位置还行', '短评打分': 5}
{'短评内容': '酒店大床间很小，WiFi信号不好，不过有路由器提供', '短评打分': 5}
{'短评内容': '送了苹果 - 既然叫桔子酒店，不是应该送橙吗？', '短评打分': 5}
{'短评内容': 'Good location and close to city center , will stay here again next time.', '短评打分': 5}
{'短评内容': '挺干净，服务挺周到，如果力推荐，我下次去宁波还会入住这个酒店的', '短评打分': 5}
