{'短评内容': '综合评价还可以', '短评打分': 4}
{'短评内容': '不困可以加床，适合带小孩，位置不错。', '短评打分': 5}
{'短评内容': '还是挺好找的，就在路边', '短评打分': 4}
{'短评内容': '房间热水要放半天才来 而且不热', '短评打分': 3}
{'短评内容': '帮朋友定的，很方便挺好的，交通很方便也很好找。附近购物吃饭也方便。大堂在一个商场里面，门口是必胜客，楼下有美甲店。价格也实惠', '短评打分': 4}
{'短评内容': '酒店周边略微有些吵，可能和处于闹市有关，其他都挺好的，特别是服务很热情周到', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 4}
{'短评内容': '一直住着个酒店，酒店还可以就是早餐差一点。', '短评打分': 5}
{'短评内容': '地处在南沙算是比较热闹的中心区域了，周边有商场、美食、洗浴按摩，楼下有屈臣氏。还挺方便', '短评打分': 3}
{'短评内容': '性价比不错的酒店，房间够大，卫生环境很好，日式榻榻米很有特色。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': 'OK', '短评打分': 4}
{'短评内容': '现在正举行南沙美食节，热闹非凡。', '短评打分': 4}
{'短评内容': '酒店新，床很舒服！', '短评打分': 5}
{'短评内容': '酒店周边还不错，吃饭不是问题，也有大型超市。就是大床房是两张床拼起来的，宽度是可以，长度有点短', '短评打分': 5}
