{'短评内容': '非常的不错，就是老了点、', '短评打分': 5}
{'短评内容': '物有所值，房间和服务，早餐都不错', '短评打分': 5}
{'短评内容': '挺好挺好挺好', '短评打分': 5}
{'短评内容': '位置很好，去吃饭都很方便', '短评打分': 5}
{'短评内容': '环境卫生差而且特别埋汰  屋里床上有断发  我们办入住居然电视机下面还有  上个客人的垃圾盒   屋里空调不好使  晚上特冷', '短评打分': 2}
{'短评内容': '感觉到朝鲜了，唉', '短评打分': 5}
{'短评内容': '除了房间大 没什么性价比 设备太久了 跟旅馆差不多', '短评打分': 5}
{'短评内容': '给别人订的', '短评打分': 5}
{'短评内容': '周围环境不错，美食多', '短评打分': 5}
{'短评内容': '酒店附近交通便利，虽然酒店比较老，但服务还算满意！', '短评打分': 5}
{'短评内容': '太一般啦，要加强管理啦。', '短评打分': 2}
{'短评内容': '酒店由于建设时间长，装修不太好，要改进啦。', '短评打分': 3}
{'短评内容': '不错，跟描述的一样', '短评打分': 5}
{'短评内容': '想知道携程上付了170定了单人房 到那边给我换成大床加小床也就算了 300押金 只返还100多什么意思 设施很老 可以看韩国KBS 日本NHK 也就位置好 周边吃的挺多的', '短评打分': 3}
{'短评内容': 'A grand old hotel that has seen better days.  A good place to stay, but not the newest hotel in Yanji', '短评打分': 4}
{'短评内容': '老酒店，房间还算干净，交通方便。', '短评打分': 3}
{'短评内容': '房间面积大，设施齐全，酒店应该开了很多年了，有点旧', '短评打分': 3}
