{'短评内容': '服务态度一般，显得很老了，卫生还可以', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '勉强吧！主要比较方便，离车站近。', '短评打分': 3}
{'短评内容': '差评 就那破房间要了我160和图片上差太多了  好坑', '短评打分': 1}
{'短评内容': '不错！！！！！！！！', '短评打分': 4}
{'短评内容': '很旧很破，最无法忍受的是空调室外机根本让人无法入睡，永远不会在来了，我发誓！！！', '短评打分': 1}
{'短评内容': '性价比很差，不过可能是这段时间当地杜鹃花节有很大关系', '短评打分': 3}
{'短评内容': '城市中心位置，交通便利，服务还可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间旧了一点，其他都很好', '短评打分': 3}
{'短评内容': '还不错吧  交通地理位置都很方便的  大转盘十字路口离黄商也是很近的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '酒店性价比挺高。不错的 酒店。', '短评打分': 3}
{'短评内容': '离车站很近，交通很便利，房间也蛮大的，可以泡澡', '短评打分': 5}
