{'短评内容': '酒店装修有点老，酒店环境很好。', '短评打分': 4}
{'短评内容': '很一般的酒店，比较老旧了', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '这价格很是不值～酒店设施旧，好在安静！', '短评打分': 4}
{'短评内容': '环境很好，也很干净', '短评打分': 5}
{'短评内容': '距离有点远，其余都，还马马虎虎', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店设施老旧', '短评打分': 3}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '旧。', '短评打分': 3}
{'短评内容': '酒店很好。就是位置太偏了不是自己开车就不要来了', '短评打分': 4}
{'短评内容': '太老了，和所有暮年的不增加投资的地方一样。', '短评打分': 2}
{'短评内容': '设施还行。', '短评打分': 3}
{'短评内容': '还是社会的建设和据此妇女节此次疯狂购物', '短评打分': 5}
{'短评内容': '入住的人太少了！有些冷清！打打球游游泳是不错的选择！', '短评打分': 5}
{'短评内容': '服务差 条件差 每晚420元的房间连瓶矿泉水都没有', '短评打分': 3}
{'短评内容': '还好，很舒适但是很旧~~,下次要考虑考虑了，价格倒是不贵。', '短评打分': 5}
{'短评内容': ' 房间比较旧 不过价格适中 面积很大 很多娱乐没开放 钓鱼还不错 早餐非常好 旁边的大汗宫烤全羊简直太正宗了 很久没吃这么香的东西了', '短评打分': 3}
{'短评内容': 'bu hao', '短评打分': 3}
{'短评内容': '性价比极差，管理混乱。再也不会去', '短评打分': 1}
