{'短评内容': '一般！', '短评打分': 3}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '不怎么样，民宿', '短评打分': 3}
{'短评内容': '不过不失，出去行街方便。停车系问题，可能系国庆问题啦，车位好紧张', '短评打分': 5}
{'短评内容': '就在碧莲洞的旁边，中心地带，往哪个景点走都非常方便，第三次来阳朔，每次都是住民宿，价格比较实惠，卫生也还好', '短评打分': 5}
{'短评内容': '房间很大，也很干净weishd', '短评打分': 5}
{'短评内容': '老板挺好的', '短评打分': 4}
{'短评内容': '不错～住着很舒适。下次还来这家', '短评打分': 3}
{'短评内容': '环境卫生都很好，老板也很热情，价格也合理，下次还会选这家', '短评打分': 3}
{'短评内容': '夫妻店，干净整洁，很晚了还有热水，比不上星级酒店，但这个价对得起，特别是春节期间。周边吃的也多。离西街也不远，附近还有一个碧莲洞。', '短评打分': 5}
{'短评内容': '挺好的，父母孩子都觉得还不错', '短评打分': 5}
{'短评内容': '位置真的不错，老板梃热情的！因找不到时老板还专门过来接我们，美中不足就是没有自家停车场，要不是就完美了！', '短评打分': 4}
{'短评内容': '总的说来，这家酒店还是不错，房间大，床大，窗户大。顶层有洗衣机，随便用，晾晒衣服也很方便。美中不足的是厕所有味道，据我观察，没有水封，希望以后有所改进。', '短评打分': 5}
{'短评内容': '  房间设施还好，住的是302，比较爱那个床，离西街也不是很远，走路8分钟左右吧，门口还有很多家啤酒鱼可以吃，到了阳朔打电话还能去接站服务不错', '短评打分': 5}
{'短评内容': '地方有点偏僻 晚上外面没灯 巷子里不安全 不过老板人还蛮好的', '短评打分': 1}
{'短评内容': '家庭房房间很大，床铺干净，但是厕所味道有点大。地点离西街走路10分钟，晚上比较安静，可以睡好觉。老板夫妇人很好，可以帮忙定景点和竹筏，真的有便宜。', '短评打分': 3}
{'短评内容': '旅馆还可以。房间很大，就是设施有点简单啦。搞个电脑房就好啦。因为我们不爱看电视。。嘻嘻。。老板老板娘很好。你们给的粽子好好吃。', '短评打分': 5}
