{'descr': '很有味道的客栈，爱不释手', 'star': 5}
{'descr': '酒店园林设计，古色古香的，很有特色。在景区里的民宿中属高档的，但是不能以高星级酒店的标准要求它。', 'star': 5}
{'descr': 'Happy', 'star': 5}
{'descr': '超级喜欢的酒店，给很多朋友推荐了。去同里一定住草堂！', 'star': 5}
{'descr': '几乎没有什么服务，也就是说自己，整理房间。', 'star': 4}
{'descr': '硬件很不错，但是致命的一个问题就是服务，因为老板家也在客栈，所以，在核心区的休息区，（就是图片中最有品味的那些）是老板自家的，客人不能享用。但是，该客栈吸引人的照片，关键就在核心区休息室。这几点没有花间堂做的好。没有宾至如归的感觉！而且没有早餐。', 'star': 4}
{'descr': '酒店设计装修极具江南水乡特色，房间布置古典，舒适，要是能泡个澡就更棒啦！就是临街房间有点吵。', 'star': 5}
{'descr': '很棒的酒店，硬件设施和服务态度都很好，环境特别棒，希望下次还能来哦', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '酒店中式味道浓厚，看得出主人是一个很有底蕴的人，三进小院别有味道，不错，房间家具有特色。 不足之处有好多蚂蚁，早知道箱子应该放到高处。', 'star': 4}
{'descr': '还不错 环境很好', 'star': 5}
{'descr': '还是不错的酒店,非常不错,不错,好好好恨错的.干净,整洁,很好的哦', 'star': 5}
{'descr': '非常喜欢！服务也很好～', 'star': 5}
{'descr': '草堂真的相当不错,房间相当有味道而且干净,而且草堂有很多可圈可点的小歇之处,真的很不错,还会再来的.缺点,卫生间装浴帽什么的盒子里面有发霉喽,这个细节还要注意下.另外就是自己擦了下马桶,擦下来有点小脏.', 'star': 5}
{'descr': '很有特色 和当地风景融为一体 下次还会考虑入住其它房型', 'star': 5}
{'descr': '房间很干净，新的酒店，除了价格贵点，其实还真是不错的。', 'star': 5}
{'descr': '酒店位置好，周边交通便利，靠近商业街，性价比高，闹中取近。房间装修档次高，住得舒适。', 'star': 5}
{'descr': ' 更喜欢红妆房里的木床 很有感觉。而且红妆也在客栈的院子里。客栈有几个房间是在院外对面临水小楼里。个人觉得住院子里更好。', 'star': 3}
{'descr': '酒店的位置很好，有庭院房，也有水景房。没有五星级的奢华，但完全可以用别致来形容，一家很美，很有味道的酒店。', 'star': 5}
{'descr': '作为客栈，算是比较高端的了。 装修特别有味道，很赞。自驾去玩可以先打电话给他们，他们会指点到河边的一个停车场。过了一座小桥就到了客栈了。伙计很客气，不过作为客栈，伙计要再热情点就好了。\n早晨应该安排个早餐，就是水乡风格的芡实粥和包子青团就可以了。更有家的氛围。\n早晨没有听到堂主的琴声，是不是我们睡过头了。\n看介绍说堂主在丽江也置有草堂。很期待能去拜访。', 'star': 5}
{'descr': '别致的酒店，处处都是景！坐在中式沙发上，淋浴阳光，品味茗茶，来同里想感受的都实现了。', 'star': 5}
{'descr': '进酒店能看的出老板的心思，很别致。不过价格有点高，房间的细节还不够到位', 'star': 5}
