{'短评内容': '挺好的，不错，方便。交通方便', '短评打分': 5}
{'短评内容': '位置绝佳，交通便利，离超市很近，非常方便！！', '短评打分': 5}
{'短评内容': '环境不错，很干净宽敞', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通便利，还不错，习惯性好评吧。好好交通便利，还不错，习惯性好评吧。好好交通便利，还不错，习惯性好评吧。好好', '短评打分': 5}
{'短评内容': '房间面积很大，屋顶比较高，很敞亮。前台服务态度很好，办理入住和退房效率高。总体比较满意，美中不足早饭比较一般。', '短评打分': 5}
{'短评内容': '早餐丰盛，酒店位置很好，出门右转走几分钟就是公交车站，停车也比较方便门口还有大叔引领停车，性比价高。', '短评打分': 5}
{'短评内容': '总体感觉不错，交通便利，最主要的是附近有家早餐店特别棒，地道。', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '总体来说不错！就是卫生间陈旧了些！', '短评打分': 5}
{'短评内容': '她很喜欢，大爱', '短评打分': 5}
{'短评内容': '房间很大，前台服务很好', '短评打分': 5}
{'短评内容': '地点很好，里五四广场很近，周边有地铁，早餐也不错，服务超好，干净，以后去青岛还选它家', '短评打分': 5}
{'短评内容': '隔音效果太差劲~', '短评打分': 2}
{'短评内容': '交通方便，服务不错', '短评打分': 4}
{'短评内容': '环境不错。住着舒服。好几次入住了。外面天气那么冷。这里房间还可以。一点也不冷。出差几天住这里也是不错的。出去逛逛方便。', '短评打分': 5}
{'短评内容': '挺好的 很干净', '短评打分': 5}
{'短评内容': '这个季节住这里性价比很高', '短评打分': 4}
{'短评内容': '终于可以告一段路了，心里有些不一样的情怀。', '短评打分': 4}
{'短评内容': '整体感觉还好', '短评打分': 5}
{'短评内容': '不错，交通方便，下次还去！', '短评打分': 5}
{'短评内容': '位置好～ 出行方便', '短评打分': 4}
{'短评内容': '交通便利、干净卫生、服务态度很好', '短评打分': 5}
{'短评内容': '前台服务非常热情，但房间味道很大，经检查是从空调吹出来的，卫生间瓷砖脱落，给人破败的感觉。', '短评打分': 3}
{'短评内容': '酒店服务还好，只是和写字楼混杂在一起，早餐不好，房间会接到一些莫名电话，设施略为陈旧。', '短评打分': 5}
{'短评内容': '酒店有些旧，但服务比较热情，附近就是云霄路，吃饭比较方便。', '短评打分': 5}
{'短评内容': '我发现个问题，不管住哪，半夜都会有不明不白的电话打来，你懂的。之后就开始敲门，然后隔音真是不咋地。。。。前台服务非常好。服务堪比星级了。地理位置很好，这个价位还是值了。', '短评打分': 5}
{'短评内容': '位置还不错，房间很宽敞，还算干净！', '短评打分': 3}
{'短评内容': '服务态度很好，住的很舒服。服务态度很好，住的很舒服。服务态度很好，住的很舒服。服务态度很好，住的很舒服。服务态度很好，住的很舒服。服务态度很好，住的很舒服。', '短评打分': 5}
{'短评内容': '价格、位置还不错，就是卫生间味道太难闻。希望能改进。', '短评打分': 5}
{'短评内容': '该店地理位置还可以，交通较方便，但是不知道为什么卫生间的味道根本无法接受，建议改善。', '短评打分': 1}
{'短评内容': '总体来说性价比还可以，只是房间隔音差了点。', '短评打分': 5}
{'短评内容': '房间很大 住的也很舒服 价钱合适  不错的酒店', '短评打分': 5}
{'短评内容': '酒店略显陈旧，但大堂经理说会在2012一季度装修。地理条件无比优越，期待装修后。', '短评打分': 5}
{'短评内容': '离香港中路很近，位置不错。早上打车不太方便，酒店内部较老。吃饭便利性还可以，走到霄云路或向北的路上，吃饭的蛮多的。\n内部需要改善！', '短评打分': 1}
{'短评内容': '交通方便，卫生一般，隔音效果不好，服务热情，总之，还好。', '短评打分': 5}
{'短评内容': '除了饭菜一般，其他还算不错，这个季节比较干燥，但卫生间里有一股发霉的味道，整体比较卫生，服务态度很不错。', '短评打分': 5}
{'短评内容': '服务态度很好，就是因为装修 早上有点吵~ 不过去玩 不会一天都在酒店。。。都OK', '短评打分': 5}
{'短评内容': '设施有点旧，感觉不太像宾馆的样子。更类似于家庭旅馆。但是宾馆位置比较好，交通便利。', '短评打分': 1}
{'短评内容': '非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错非常不错', '短评打分': 5}
{'短评内容': '很安静，服务也不错，但设备太旧了！', '短评打分': 3}
{'短评内容': '价格便宜，交通方便，距离云霄路美食街就隔壁，家乐福超市也不远，民航大厦做机场大巴的地方也近，不过到那些八大关有点远，打车。唯一缺点就是太吵了，因为挨着街边，建议去的人要靠里的房间，别要靠街的，还算干净，性价比比较高。', '短评打分': 5}
{'短评内容': '服务态度很好 很温馨\n工作效率很高 很能为客户解决难题', '短评打分': 5}
{'短评内容': '交通方便，离云霄路美食街很紧，房价再优惠点就好了', '短评打分': 3}
{'短评内容': '服务不错，设施一般化,比较安静吧’备用选择而已', '短评打分': 1}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '这家酒店价位还行，房间也挺大的，住着挺好', '短评打分': 5}
{'短评内容': '位置不错 价格太高 房间挺大 服务态度很不错 就是价格价格价格~~', '短评打分': 5}
{'短评内容': '总体还不错 挺干净的 地点也好 是市中心 周围小吃店很多 离超市也近 很方便', '短评打分': 5}
{'短评内容': '第二次住这家酒店，总体感觉不错，干净整洁，服务热情。入住和退房办理很快。房间很大，有点浪费，洗手间浴室再大一些就好了，洗手间浴室的干湿不分，不太方便，洗澡后也容易滑倒。希望改进。', '短评打分': 5}
