{'短评内容': '很好', '短评打分': 5}
{'短评内容': '去九华山一直住这里，很不错的酒店，值得推荐。', '短评打分': 5}
{'短评内容': '服务不错，酒店位置也挺好的，还有早餐很好吃，赞', '短评打分': 5}
{'短评内容': '早餐很好 口味适合 ', '短评打分': 5}
{'短评内容': '酒店很不错，之前住过 。早餐很好花样多口味好 大堂服务也很热情。以后常来.', '短评打分': 5}
{'短评内容': '酒店位置很不错，周围交通方便，停车稍微麻烦点。周围有很多吃饭的地方，这里很热闹，酒店服务很热情，房间很干净，下次还会住。', '短评打分': 5}
{'短评内容': '酒店非常不错，住过好多次了，大堂刘桃洪服务很热情，很喜欢这里!', '短评打分': 5}
{'短评内容': '很喜欢住这里经常来，住这家酒店吃饭还有优惠劵赠送，四星的酒店五星的服务，工作人员个个都很热情，给赞！', '短评打分': 5}
{'短评内容': '给赞！真心不错的一家酒店，交通便利。很喜欢这里的早餐，还有前厅的服务很规范被大堂经理亲自送到客房入住！还赠送小礼品了，下次还会再来，四星的酒店五星的服务，赞！', '短评打分': 5}
{'短评内容': '大厅很大气，房间很新很舒适，服务很热情，看到的个个是笑脸，住的很舒心！', '短评打分': 5}
{'短评内容': '洗澡水量太小', '短评打分': 3}
{'短评内容': '很不错。', '短评打分': 5}
{'短评内容': '带客户来九华山的，酒店有点难找，导航没找到，后来绕后面才看到', '短评打分': 5}
{'短评内容': '去过n次……整个环境尚有改进，则可能还要在软件服务上下点功夫……', '短评打分': 4}
{'短评内容': '在青阳镇上，倒是挺安静的，就是空调不给力，', '短评打分': 5}
{'短评内容': '房间干净，又安静，酒店位于九华山山下，附近有小镇，很好，支持。', '短评打分': 5}
{'短评内容': '西峰山庄位于九华山山下，附近就是青阳县的一个小镇，酒店服务也很好，房间干净又安静，支持。', '短评打分': 5}
{'短评内容': '住宿条件差 价格比较高 性价比太低了 只有早饭还能吃一点', '短评打分': 1}
{'短评内容': ' 房间噪音太大，无法入睡，早餐基本都冷的！', '短评打分': 3}
{'短评内容': '房间尚可，价钱偏贵，尤其是节假日的价格是平时的一倍。住宿停车还收费（15元）很不合理。\n早餐太差，达不到四星的标准，晚餐及贵，味道是路边大排挡的一半，价钱是人家的四倍。', '短评打分': 5}
{'短评内容': '   刚开始就是冲着260一晚的价格而且又是一个四星级酒店去的，现在明白一分钱一分货，入住后就马上想退房，一个260的房子就是和一个100的宾馆差不多，水龙头生锈、墙体脱皮、排水管堵塞等等，一堆的问难。就是忘了拍照片。订房之前看了前人的评论就是不信邪，现在 真相信了，这个酒店绝对不能推荐给别人了。', '短评打分': 1}
{'短评内容': '老楼的住宿内部要重新装修了，空调制热效果太差了，新楼价格太高。', '短评打分': 5}
{'短评内容': '老楼的住宿内部要重新装修了，服务意识希望再提高，早餐有待提高！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务意识希望再提高，早餐有待提高！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务意识希望再提高，娱乐配套再丰富一些！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店总体不错，早餐有待体高', '短评打分': 3}
{'短评内容': '总体还不错，服务意识希望再提高，娱乐配套再丰富一些！！！！！！！！ ', '短评打分': 5}
{'短评内容': '总体还不错，服务希望再不断提高，娱乐配套再丰富一些！！！！！！！！', '短评打分': 5}
{'短评内容': '总体还不错，服务希望再不断提高些，娱乐配套再丰富一些！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店还不错，每次来都住这个酒店，也算比较方便。', '短评打分': 5}
{'短评内容': '条件一般,260元老楼较差,早餐丰富。', '短评打分': 3}
{'短评内容': '不错的酒店，3星的噢，很丰富的早餐自助的耶。', '短评打分': 3}
{'短评内容': '房间的设施太陈旧，房门开不开。但是环境挺好。', '短评打分': 1}
{'短评内容': '环境很好，服务一般，早餐不怎么样。不过，是青阳最好的酒店，以后还会去住。', '短评打分': 5}
{'短评内容': '青阳最好的酒店，服务较好。就是早餐一般但在可接受范围。', '短评打分': 5}
{'短评内容': '服务太差，做事太差！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '达不到4星标准吧，但3星有余，性价比挺高的，餐厅有点差。', '短评打分': 5}
{'短评内容': '已经入住谢了', '短评打分': 3}
{'短评内容': '帮朋友订的，反映还不错！以后有机会去九华，还会住这家！', '短评打分': 5}
{'短评内容': '房间特别潮，卫生不太好，服务很到位，设施一般。', '短评打分': 5}
{'短评内容': '位置很好找，里面餐饮也不错，价格也很适中，房间设施还是很陈旧了本身当地也不是很大这家酒店也算是在县城里面最好的一家，服务态度还可以，总体的感觉还不错。', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '房间的设施有些陈旧，卫生条件也挺一般的，如果针对刚才我说的几点我感觉酒店的价格还是挺高的和本身都有些不符合了，性价比总体挺一般的，不过酒店的位置挺好找的附近的交通也挺方便的。这点还是比较不错。', '短评打分': 1}
{'短评内容': '对了，酒店停车还要收费。从来没碰到过\r\n', '短评打分': 3}
{'短评内容': '酒店不错,但周边环境欠佳', '短评打分': 5}
{'短评内容': '主楼不错，副楼不行，早餐还可以', '短评打分': 5}
{'短评内容': '酒店设施很简单,硬件不好,而且价格贵.', '短评打分': 3}
{'短评内容': '酒店整体感觉挺一般的,没有什么特色,不过位置还可以,也没有遇到什么不满意的地方.', '短评打分': 5}
{'短评内容': '酒店卫生差了点，服务还可以，不过房间装修和设施都很陈旧，价格一般。', '短评打分': 1}
{'短评内容': '酒店整体来说还算不错，硬件设施和服务都挺好的，交通也比较方便。', '短评打分': 5}
{'短评内容': '五月二号入住的,720元实在是贵了些,感觉一般,停车还要收费,餐厅不过服务还可以,', '短评打分': 5}
