{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉 ,下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '爸妈住的。非常棒', '短评打分': 4}
{'短评内容': '爸妈走亲戚住的。是一家当地大型集团的旗下酒店。酒店是附近最好的，价格还非常实惠。大河集团经常包场开会等等。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的 很实惠', '短评打分': 5}
{'短评内容': '挺好的 已经住了好多次了 很满意', '短评打分': 5}
{'短评内容': '还不错吧，价格便宜，京东定酒店目前是很实惠的。', '短评打分': 5}
{'短评内容': '卫生舒适服务好', '短评打分': 5}
{'短评内容': '卫生舒适服务好', '短评打分': 5}
{'短评内容': '很好的酒店，适合商务出差。性价比很高，携程返现也很快，如果设施环境能在提高点就更好了，不过这个价钱已经很公道了', '短评打分': 4}
{'短评内容': '一看到白色大河商务的楼慌了，感觉好陈旧，转过路口看到酒店门脸还可以，住进来设备有点陈旧，网络不是很好。但相对性价比来说已经很好了，下次来还会选择', '短评打分': 4}
{'短评内容': '服务还不错，就是房里太一般的，家具旧，地毯估计从没用过吸尘器，这个季节蚊子极多', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境很好，设施齐全', '短评打分': 4}
{'短评内容': '交通方便，环境好，价格公道。', '短评打分': 5}
{'短评内容': '性价比高美国加利福尼亚州南部圣贝纳迪诺市2日发生枪击事件。据警方初步统计，事件造成至少14人死亡、14人受伤。', '短评打分': 5}
{'短评内容': '100多能住什么样，住在还行。', '短评打分': 4}
{'短评内容': '酒店环境不错，人员的服务也不错，周围吃饭的地方很多，下次还会选择入住。', '短评打分': 5}
{'短评内容': '<郑州大河商务酒店>地理位置还可、价格便宜、房间较大、设施较陈旧，早餐一般。', '短评打分': 5}
{'短评内容': '每次来都住这里，我觉得挺不错，早餐有点差', '短评打分': 5}
{'短评内容': '酒店环境很好，服务人员态度也很好，卫生也很干净，下次还会选择入住这里。', '短评打分': 5}
{'短评内容': '不错。交通便利，能上网，有早餐。可以找前台接到吹风机。', '短评打分': 5}
{'短评内容': '酒店服务不错，早餐也可以，房间卫生也比较干净，下次还会选择入住。', '短评打分': 5}
{'短评内容': '宾馆卫生不错，而且床垫也很舒服，唯一不足，就是洗澡水太冷，放了十几分钟才能勉强洗。', '短评打分': 3}
{'短评内容': '每次去郑州都去，性价比不错，就是交通不太方便', '短评打分': 5}
{'短评内容': '挺干净的，价格也算合理，就是临街有点吵，门口也不好打车\n\n', '短评打分': 5}
{'短评内容': '挺干净的，价格也算合理，就是临街有点吵，门口也不好打车', '短评打分': 5}
{'短评内容': '感觉还不错，卫生还行，再便宜点就好了：）', '短评打分': 3}
{'短评内容': '酒店总体环境不错，出门就是马路比较繁华，还有早餐也可以，房间的卫生也比较不错，人员服务也可以，就是平时外边比较吵。', '短评打分': 5}
{'短评内容': '酒店不错，价格合适，就是打车难打。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店不错，有早餐，这次的房间比较大，住着挺舒服的。', '短评打分': 5}
{'短评内容': '酒店不错，价格实惠，附近吃饭的地方很多，出租车有点儿难打。', '短评打分': 5}
{'短评内容': '酒店不错，比较干净，价格实惠，值得推荐。', '短评打分': 5}
{'短评内容': '上网不方便，需要设置密码。房间地毯较脏，早餐也很一般。', '短评打分': 1}
{'短评内容': '房间较大,比较干净,床比较舒服,就是楼道不太清洁.', '短评打分': 5}
{'短评内容': '酒店不错。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店总体感觉不错，服务人员的态度也很好，酒店附近吃饭的地方很多，就是打车不好打，但是和酒店应该没什么关系。', '短评打分': 5}
{'短评内容': '性价比不错！', '短评打分': 3}
{'短评内容': '酒店条件设施都还不错，性价比不错。值得推荐。', '短评打分': 5}
{'短评内容': '总体很满意，房间空间够宽敞，也比较干净，设施标准是按三级标准来做的。', '短评打分': 5}
{'短评内容': '环境一般，周边有些吵闹，早餐样式不多，性价比不高', '短评打分': 1}
{'短评内容': '酒店总体还是可以的，有早餐，房间也比较大', '短评打分': 5}
{'短评内容': '酒店不错，房间大，就是打车不是很方便，靠路边的酒店太吵', '短评打分': 5}
{'短评内容': '酒店内部环境还不错，房间也比较整洁，服务也还不错', '短评打分': 5}
{'短评内容': '酒店不错，价格合理，就是打错不是很好打。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店不错，有早餐。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店不错，有早餐，房间比较大，位置还可以。', '短评打分': 5}
{'短评内容': '这个价位已经是很好的酒店了，就是有时候订不到房间，餐厅下班的时间有点早。', '短评打分': 5}
{'短评内容': '处早餐不行外，其他都还不错的，方面有小闹钟不错，房间环境也不错。', '短评打分': 5}
{'短评内容': '酒店不错，含双早，价格适中，房间比较大，就是打车不是特别方面。', '短评打分': 5}
{'短评内容': '房间比较大，有早餐，不错。', '短评打分': 3}
{'短评内容': '酒店非常好', '短评打分': 3}
{'短评内容': '装修 应该很多年了！位置还不错！\n办事很方便的', '短评打分': 5}
{'短评内容': '还可以 不过就是门口很小不是很好找！\n餐厅也还可以的', '短评打分': 5}
{'短评内容': '酒店内部环境还不错，朝西房间较吵，早餐不行。', '短评打分': 5}
{'短评内容': '酒店内部环境不错,服务也不错，就是早餐不太给力。', '短评打分': 5}
{'短评内容': ' 很好 就是价格 偏高  最好优惠活动多点', '短评打分': 5}
{'短评内容': '多少度丰富的大无畏忿忿地说辅导书色弱是似懂非懂', '短评打分': 5}
{'短评内容': '该酒店确实不错，性价比非常高，可惜一直没有吃上早晨免费的早餐，有些可惜!', '短评打分': 5}
{'短评内容': '这家酒店还是非常不错的，各方面都很好的除了洗澡水有些冷', '短评打分': 5}
{'短评内容': '这家酒店每次来郑州都住着，非常不错，就是灯有些暗！', '短评打分': 5}
{'短评内容': '整体还不错的酒店，不足是早餐种类少，酒店是单行道，打车很不方便', '短评打分': 5}
{'短评内容': '这家酒店房间还算干净,也不嘈杂,周边吃饭也还算方便.只是门口的路是单行道.基本还算满意的', '短评打分': 5}
{'短评内容': '这家酒店的性价比还是非常高的，已连续住了两次，以后过来还住这。', '短评打分': 5}
{'短评内容': '性价比蛮高的，只是附近的交通不是很方便。只是住了一晚上其他的不是太清楚了。', '短评打分': 5}
{'短评内容': '不怎么样。性价比不怎么样，郑州服务较差错性价比不怎么样', '短评打分': 1}
{'短评内容': '酒店环境不错，服务还可以，就是房间有点旧，性价比不错', '短评打分': 3}
{'短评内容': '不错的酒店，就是路不好走，是单行线，服务态度也差点', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '       性价比很好，周围有很多小吃比较方便。', '短评打分': 3}
{'短评内容': '大河商务酒店服务不错，屋内整洁，卫生。', '短评打分': 5}
{'短评内容': '卫 生好 服务好 设施一般 位置很好 舒适度好 \r\n性价比很好', '短评打分': 5}
{'短评内容': '性价比很高的酒店，环境设施都很不错。', '短评打分': 5}
{'短评内容': '房间面积比一些经济型酒店宽敞舒适。', '短评打分': 5}
{'短评内容': '位置稍偏，但也因此僻静舒心，不错！', '短评打分': 5}
{'短评内容': '大河商务房间舒适度很高，配置标准很高，床很舒适。', '短评打分': 5}
{'短评内容': '这家商务酒店卫生很好，房间看起来干净舒适。', '短评打分': 5}
{'短评内容': '标准的商务酒店配置环境舒适度都还不错，主要是价格比较便宜。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，卫生，服务都不错，下次还会住的。', '短评打分': 5}
{'短评内容': '性价比还好', '短评打分': 5}
{'短评内容': '性价比非常好，出行也算方便，周边很多小吃', '短评打分': 5}
{'短评内容': '发错了，不错，下次还想去，附近有家丽都吃饭很好。', '短评打分': 3}
{'短评内容': '位置不错，只是酒店设施旧了。', '短评打分': 3}
{'短评内容': '价廉物美', '短评打分': 5}
