{'短评内容': '早餐一般般，环境还可以', '短评打分': 5}
{'短评内容': '早餐一般般，位置安静', '短评打分': 3}
{'短评内容': '住宿还算干净，房间有点小，两张床就基本只留走路位置，隔音效果不是很好，隔壁烧水声音听的一清二楚，', '短评打分': 4}
{'短评内容': '早餐还行，就是菜凉了，有停车场', '短评打分': 4}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '很好，很喜欢，房间设施非常好，', '短评打分': 5}
{'短评内容': '环境非常安静。交通便利。停车方便。房间蛮好。', '短评打分': 5}
{'短评内容': '值这个价，建议自驾车的朋友选择！', '短评打分': 4}
{'短评内容': '交通超方便的，而且服务态度那个好的，那个亲切的。不过早餐的质量不咋地，另外设备比较成就了，房间内的配备还是蛮全的', '短评打分': 4}
{'短评内容': '多次入住！交通便利！值得推荐！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务态度很好，干净卫生！', '短评打分': 5}
{'短评内容': '干净卫生，服务态度也很好！', '短评打分': 5}
{'短评内容': '酒店环境可以，打扫卫生阿姨经常丢三落四，周围吃饭不太方便，关键是高速路附近，噪音比较大', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '在郊区公路边，房间小有烟味，这价位在市中心有更好酒店。', '短评打分': 3}
{'短评内容': '自驾途经三明，下高速就到酒店，交通比较便利，设施有些陈旧居然没有纱窗和蚊香，喂了一夜蚊子。床很大也很硬。卫生状况不错。', '短评打分': 4}
{'短评内容': '酒店的服务卫生还是不错的，就是排气扇开起来的时候太吵了', '短评打分': 4}
