{'短评内容': '很好，很实惠！值得入住', '短评打分': 5}
{'短评内容': '头一回有这么心酸的体验，连个功率1000的电吹风都要等着轮流用，房间里也没有烧水壶，有需要热水再到楼下大厅自取……', '短评打分': 3}
{'短评内容': '老板人很好，超热情，住宿很放心！', '短评打分': 5}
{'短评内容': '价格便宜，房间很大，设备一般，老板热情，帮我画游黄山线路，还开车送我到高速路口，非常满意，已经第三次来黄山，不然下次还会入住。另提醒客栈靠三个换乘中心的东岭站，我就被司机宰了一把', '短评打分': 5}
{'短评内容': '经携程网预订该产品（两天）。也是第一次预订如此廉', '短评打分': 4}
{'短评内容': 'The staff was very nice and helped us a lot with planning out trip to the top of the mountain. Rooms were clean and the price was very low.', '短评打分': 5}
{'短评内容': 'Simple hotel for amazing prize close to the bus station from where buses go to Yellow Mountain. Staff dont speak English so it can be difficult but they try hard to help and give advices.', '短评打分': 4}
{'短评内容': '到东岭换乘站步行5分钟，方便', '短评打分': 4}
{'短评内容': '服务周到，态度可以', '短评打分': 5}
{'短评内容': '因为是淡季来黄山玩，所以五十几的房价确实对的起这个三人间了，洗澡水很热，很大，楼下有锅炉烧水，用开水瓶接，老板很好，会去车站接我们，所以去翡翠谷也随便包了他的车，关键的关键是，一个吃货，会告诉你，他们家的菜，好好吃，而且价格不贵，臭鳜鱼，笋尖面，豆腐，野菜，真的是美味！发图你们看吧！来了就不用到处找吃的了！', '短评打分': 5}
{'短评内容': '老板老板娘挺好 特别实惠 可惜下雨', '短评打分': 5}
{'短评内容': '客栈离景区换乘中心非常近，交通方便。老板车接车送，还送地图和手杖，讲解登山线路，客栈卫生干净，老板家烧的家常菜味道相当不错。下次到黄山还住这家。', '短评打分': 5}
{'短评内容': '对这次到黄山的旅游感觉到非常满意，在山上看到了云海和日出，在山下选择了行者客栈这家客栈，首先没来之前看到这个价格比较适合自己，没抱太多的想法选择了这里。到了景区打电话给客栈老板，没想到，客栈老板，马上开车来接了我们。到了客栈，老板给我们讲了都是线路和攻略，还送了登山杖和老板手绘的地图，给我们这次登山带来了很大的方便。客栈设施简单些，但卫生干净，空调和热水都有带独立的卫生间住的很舒服。客栈烧的农家菜', '短评打分': 5}
{'短评内容': '酒店位置好，离换乘中心只有5-6分钟的时间。老板服务好，都是车接车送，还给讲解登山线路。有登山杖，和黄山地图免费赠送。房间卫生干净，性价比很高，下次去黄山还住这家。', '短评打分': 5}
{'短评内容': '到达时间较晚，老板一直等到深夜，很感谢，恰逢黄山大雨，下山后老板提供热水，很温暖。', '短评打分': 5}
{'短评内容': '我觉得住的很舒心~虽然不是很华丽，比不上几星级的酒店，但是老板很热情，服务很周到，帮我们设计上山路线，特产也是在他们家买的，人挺实诚的~最重要的是老板的手艺真的超好，要是我们学校食堂有这种好手艺的师傅，估计我天天去~\n\n\n   希望你们生意兴隆哟!', '短评打分': 5}
{'短评内容': '服务热情，但设施一般，电源太少，入住者需自备齐全。价格不便宜', '短评打分': 1}
{'短评内容': '老板人很好，几十块订的房间，还免费接送，怕我迷路还帮我叫车，很感动。谢谢！', '短评打分': 5}
{'短评内容': '酒店临时更换我们预定的房间，安排到其他同类酒店的房间，但是房间条件达不到预定的要求。考虑到黄金周房间紧张时间也来不及再找房间，只好被迫同意更改房间。虽然第二天调换回预定的房间，但这样做法让人没有信任度。', '短评打分': 1}
{'短评内容': '卫生情况良好，较舒适，老板挺热情。离换乘中心很近，交通方便。', '短评打分': 5}
{'短评内容': '2条件一般，老板还是满热心的', '短评打分': 3}
{'短评内容': '客栈离东岭换乘中心倒是蛮近的。老板带我们入住时，我看了一下招牌，是闽南饭店，这跟行者客栈名实不符哦。程老板人倒是蛮热情的。', '短评打分': 5}
{'短评内容': '老板很热情 还帮我们定了山顶的房间 价格也优惠 有机会还会在去', '短评打分': 5}
