{'短评内容': '可以可以可以可以可以可以可以', '短评打分': 4}
{'短评内容': '房间还可以，老板娘人也不错，不过说现在不能带人进去景区了，我们是自己混进去的，等晚上人少的时候还是蛮好进去的，被子感觉刚晒过睡起来比较舒服，住在西塘里面还是很好的，农家小院能这样已经不错的，还可以吧', '短评打分': 4}
{'短评内容': '雕花大床翻个身就会作响，床太小，不建议一家三口同睡', '短评打分': 4}
{'短评内容': '老板娘很好，很热情，接车、告诉路线很耐心，很好……环境也不错', '短评打分': 5}
{'短评内容': '棒棒棒哒 位置好 干净 愉快的入住', '短评打分': 5}
{'短评内容': '宾馆设计比较好，老板也比较热心。', '短评打分': 5}
{'短评内容': '客栈和酒店肯定是比不起来的，但是该有的东西一应俱全，闹中取静。阿姨人非常好哦，亲自去接我还帮我买了半价门票。给的路线真的很好，半天就能游玩所有的景点，剩下的时间就是悠闲的逛逛啦。', '短评打分': 5}
{'短评内容': '毛巾说是共用的，不敢要职能单独去买了，农家乐的感觉吧', '短评打分': 4}
{'短评内容': '老板很热情～', '短评打分': 5}
{'短评内容': '老板人很热情，下次来的话还订这家', '短评打分': 5}
{'短评内容': '到西塘了', '短评打分': 3}
