{'短评内容': '洗发露跟水一样..................', '短评打分': 1}
{'短评内容': '屋里有点儿返潮气味，跟如家价钱差不多，但环境差多了，', '短评打分': 3}
{'短评内容': '类似于家庭招待所，在一个小区胡同里，第一次导航还错误没有找到地方。刚进酒店看到老板跟一帮朋友在打麻将，房间内部相对干净，但是隔音效果不好，能够听到楼道发出任何声音，对于睡眠质量不好的人不推荐。', '短评打分': 4}
{'短评内容': '设备就不说了 电视不能看 毛巾也不是很干净 wifi密码问了三次才连上 总体感觉只值50-70的价位 店家收150也不知道是怎么想的 ', '短评打分': 2}
{'短评内容': '老板人挺好 去之前还会发短信 不过订的大床房给的标准间  地理位置有点难找 ', '短评打分': 4}
{'短评内容': '地理位置巨难找，就是在联庄里面，是自己的房子改造的，就一间小房间，洗脸不方便，卫生间的门很飘，定又定不住。 桌子上和枕头还有别人的头发，烟缸有烟灰，刷牙提供的是一次性杯子，不敢用，怕是用剩下的。 最受不了的是凌晨四点钟的蚊子，这蚊子真的是醉了，嗡嗡嗡嗡的吵得你不行，硬生生给我咬醒了。店家好歹驱蚊得做吧，不做你给每个房间提供一个蚊香液也行啊，凌晨又不好找店家，一个晚上就在挠痒和抓蚊子中度过了。真是糟', '短评打分': 3}
{'短评内容': '觉得还可以就是住的4楼估计太高了，厕所没什么水', '短评打分': 3}
{'短评内容': '哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦', '短评打分': 4}
{'短评内容': '这个价位还可以，房间以及走廊味道大！！', '短评打分': 2}
{'短评内容': '给朋友订的，据他说一般', '短评打分': 3}
{'短评内容': '非常满意的一次入住，体验非常好！', '短评打分': 3}
{'短评内容': '地方太偏僻了 一般人是找不到的  还好老板亲自来接  但是也还是不推荐啊。。。', '短评打分': 1}
{'短评内容': '很好，适合自助游。有洗衣机，就是浴室的热水比较小。最近杭州温度比较高，小心中暑', '短评打分': 5}
{'短评内容': '干净卫生，老板服务态度很好，价格实惠，下次还会再来。308的网线需要改进，不好用。', '短评打分': 5}
{'短评内容': '老板态度很好！环境也不错！', '短评打分': 3}
{'短评内容': '房间很干净，店里的人也很热情，进出很随和感觉在家里一样，挺好的。', '短评打分': 5}
{'短评内容': '老板挺热情，也挺周到，提前短信告知我们到店坐什么车，这还是第一次碰到，还来公交车站接我们，房间也蛮干净。周围很热闹，饭店，小吃蛮多的。去西湖的话公交也很方便。挺好！', '短评打分': 5}
{'短评内容': '很干净，店主很热情', '短评打分': 3}
{'短评内容': '该宾馆实惠、干净、老板好，宾馆有机会还会去', '短评打分': 5}
{'短评内容': '在杭州工业大学国际学院旁边。附近是学校，有卖吃的的，还不错。\n这家宾馆是在小巷子里，不过不难找，里面很干净，老板还送了地图，态度也很好，下次去杭州还会选择哦。', '短评打分': 5}
{'短评内容': '  店家服务热情，还给我准备了杭州旅游公交线路。', '短评打分': 1}
{'短评内容': '很不错的地方，很干净，适合背包族，老板人很好的！', '短评打分': 5}
{'短评内容': '服务很好啊 还不错呢，很干净 ，推荐入住呢', '短评打分': 5}
{'短评内容': '便宜，很有性价比，该有的都有，也蛮干净的。是私人旅馆，老板一家人很和气，我之前在网上订的，也没付定金，结果正好赶上黄金周，酒店都暴涨，老板什么都没说，订的多少就多少（像什么约克连锁，我预约连房费都付了，到了店居然要我加倍付钱），还给我打了几次电话告诉我怎么走，然后我晚上下了公交找不到店，少东家还开车出来接我，by the way，少东家很帅喔。', '短评打分': 5}
{'短评内容': '在杭州的滨江区，离市区有一段距离，但公交方便，大概45分钟能直达城区火车站，1个多小时到西湖景区。旅馆就是私房4层改的，在一天环境差得巷子里。房间不大还算洁净，有空调和独立卫生间，但电器陈旧了，家具也差，床单看着不像是天天换的。这价位也不便宜，加3、40快也能在市区的锦江等商务宾馆里住了。一般般吧。', '短评打分': 3}
