{'短评内容': '挺好的，。', '短评打分': 4}
{'短评内容': '房间挺干净，哈不错', '短评打分': 5}
{'短评内容': '酒店位置离我出差地很近，很好', '短评打分': 5}
{'短评内容': '停车有点挤，别的都还好', '短评打分': 4}
{'短评内容': '空间大小合适，房间布置简洁，收拾的干净，重要的是地理位置好，虽然不在闹市中，但是加上摩拜出行真的rio方便！', '短评打分': 4}
{'短评内容': '住了很多次，挺好的', '短评打分': 5}
{'短评内容': '前台服务很不好，服务员素质很差劲。这家店的铺盖太薄了，让服务员多给一床被子，她左推右推怎么都不肯的。她居然说没被子了。对前台服务员差评差评差评。\n怕冷的买家注意了，最好提前问好能不能加被子再下单。\n再一个是沿街的，有点乱的。', '短评打分': 3}
{'短评内容': '环境不错，服务也好，较为舒适安静。', '短评打分': 5}
{'短评内容': '挺好的，附近很多东西都很方便，夜市也很近，交通也挺便利，出去游玩不错的选择，价钱也还好，设施也齐全，挺好', '短评打分': 4}
{'短评内容': '论商务出差我相信如家品牌！如家和颐是商务出差最佳选择！这家酒店交通位置好，方便，卫生也不错，服务很热情周到！唯一不足的就是硬件落伍了，被新如家甩开了！望改进！', '短评打分': 4}
{'短评内容': '正常如家卫生水准，服务热情周到，周边环境交通便利地处红楼商圈，吃东西也很方便。酒店唯一的不足就是硬件设施略老了，还有的房间漏雨，建议硬件设施该更新了！追上新如家的步伐！', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '好评，全五分，干净，服务很好，有空调，三八节还送了2束康乃馨鲜花和祝福，谢谢！住的非常舒服，第一次用京东商城预定酒店，非常满意，下次还来。', '短评打分': 5}
{'短评内容': '地段好、住了好几次了、每次都很满意', '短评打分': 5}
{'短评内容': '酒店还可以，携程返现环节既然有返现为什么还得单独勾选，针对初次使用返现的就是消费陷阱！', '短评打分': 4}
{'短评内容': '周围环境挺好的，有个百花公园，特别便宜，挺值的', '短评打分': 5}
{'短评内容': '不错，环境，价位，服务都可以', '短评打分': 3}
{'短评内容': '卫生条件良好，服务好，推荐入住。', '短评打分': 5}
{'短评内容': '态度很好，环境不错，干净，住着挺舒服', '短评打分': 5}
{'短评内容': '环境不错，态度很好，住的挺舒服', '短评打分': 5}
{'短评内容': '服务周到，热情好客。定的大床房没了给免费升级了。房屋漏水也给换了。服务挺好的。', '短评打分': 5}
{'短评内容': '很不错，价格很实惠，交通也还可以，下了公交就到了。卫生方面很满意。', '短评打分': 5}
{'短评内容': '酒店不错，前台的服务态度好。距离山大挺近的，想去黑虎泉的话有公交直达，方便。', '短评打分': 5}
{'短评内容': '当时因为火车晚点没有按时入住，给前台打了个电话，还是把房间给留好了。房间不错，谢谢。', '短评打分': 5}
{'短评内容': '非常好，可以说济南最好的如家了，没有之一，干净卫生，周到', '短评打分': 5}
{'短评内容': '不错。本来定的特惠房。感觉窗户不理想。一开始说不给换。后来还是给换了个。整体感觉不错。', '短评打分': 5}
{'短评内容': '酒店位置还不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很干净，房间也大，主要是服务态度好，而且竟然有电话回访，非常不错', '短评打分': 5}
