{'短评内容': '环境一般.', '短评打分': 3}
{'短评内容': '不错还会再去的', '短评打分': 5}
{'短评内容': '不错，还会再去的', '短评打分': 5}
{'短评内容': '其他房间不知道什么情况，我这房间电视断断续续不能看，空调一晚上开拖拉机，声音巨大，墙上到处都是脏东西，还破破烂烂的，防盗链都没有，要求换房不给换，美团又不能退订单，本来想一气之下走人的又没舍得，一晚上没脱衣服躺被子上将就了一宿，主要怕床上脏，看来以后确实不能图便宜，便宜没好货，本来就休息七八个小时，弄得还不如车里凑合一宿舒心！着实是最差劲的一次住店经历，没有之一！', '短评打分': 1}
{'短评内容': '还可以，只能说这个价位高了！', '短评打分': 2}
{'短评内容': '号啊', '短评打分': 5}
{'短评内容': '很小巧的酒店，有特色，服务还可以，卫生不错，每个房间标配台式机，吃饭超方便，周围都是饭辙。', '短评打分': 5}
{'短评内容': '房间很好，挺舒服的', '短评打分': 3}
{'短评内容': '去的时候比我订的时候价格居然要高~~\n\n 没有图片上的那么好', '短评打分': 1}
{'短评内容': '房間挺别致的，但是光線太暗了也比較潮濕。', '短评打分': 5}
{'短评内容': '环境不错的有家的感觉，房间设施也不错，有电脑可以上网', '短评打分': 5}
{'短评内容': '环境不错的，房间设施也不错，有电脑，可以上网，电视频道也不错，各种用品齐全，你懂的哦！就是有些难找，转了好几圈才找到的！', '短评打分': 5}
