{'短评内容': '酒店性价比很高', '短评打分': 5}
{'短评内容': '很好很好的', '短评打分': 5}
{'短评内容': '早餐超棒，就因为早餐，男朋友每天都早起', '短评打分': 5}
{'短评内容': '很赞，很有面子', '短评打分': 5}
{'短评内容': '还行，可以不错', '短评打分': 5}
{'短评内容': ' The hotel is situated  Close to the market. The rooms were very clean and spacious.  Just a few things that needs to be upgraded or changed, the carpet in my room  were worn and dirty and in my showe', '短评打分': 5}
{'短评内容': '环境还行', '短评打分': 5}
{'短评内容': '第二次住这里了，都挺好的，位于福田四区，出门就是围巾市场。对于这个价位来说，早餐真是顶呱呱。房间商品琳琅满目，可要小心使用。酒店有不少老外。唯一就是房间面积和携程写的不符，这个恐怕是店家搞错了，建议修改。', '短评打分': 5}
{'短评内容': '5월달에 출장갔었는데 이우시장에서 가깝고 저렴해서 선택했습니다.가격대비 나쁘지 않아요~!!조식도 먹을만했구요', '短评打分': 4}
{'短评内容': '整体很不错，可惜周边没有银海一区得酒店丰富。住的是套房，感觉性价比较高', '短评打分': 4}
{'短评内容': '还可以～距离很近～比较方便', '短评打分': 4}
{'短评内容': '房间很大，是个套间，2间房，酒店早餐还算可以', '短评打分': 4}
{'短评内容': '房间内设施还可以，面积也很大，总体满意', '短评打分': 4}
{'短评内容': '房间整洁，设施完善，餐厅味道不错，周边环境也还好，不错的选择……', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 3}
