{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '性价比高、周边小吃多、吃饭方便', '短评打分': 4}
{'短评内容': '性价比高、周边小吃多、吃饭方便', '短评打分': 4}
{'短评内容': '性价比高、周边小吃多、吃饭方便', '短评打分': 4}
{'短评内容': '酒店有点老了，需要装修一下', '短评打分': 3}
{'短评内容': '没网络，黑白电视，遥控器坏的，设施比较陈旧', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '在上海看完皇马的比赛完了住到这边的，走走就到；周边环境还可以，但比较老了，酒店设施一般，卫生一般！服务也一般！', '短评打分': 3}
{'短评内容': '不想解释开车那块亲戚奇葩奇葩刷卡器披萨可惜你把车办法和我', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '卫生干净整洁有序，交通方便快捷，环境优美，设施良好。', '短评打分': 5}
{'短评内容': '家门口主要来了客人家里住不了.住那里方便', '短评打分': 4}
{'短评内容': '很好的一家酒店，每天都很认真的打扫，优惠了50块，下次还会来的', '短评打分': 5}
{'短评内容': '订的特价房，但是好像给的是标房，2张床。房间挺整洁干净的，洗澡热水、水量都不错。这个价位加上返现很合算。而且退房可以到下午2点。', '短评打分': 5}
{'短评内容': '里面装修的很好，比较温馨...价格也合理...', '短评打分': 5}
{'短评内容': '房间较小，很脏。交通还可以。方便.价格不算便宜。', '短评打分': 1}
{'短评内容': '房间整洁，窗外视觉开阔，面积大，住得舒适。', '短评打分': 5}
{'短评内容': '挺方便的，还可以，离地铁站较近，附近吃饭的地方也很多，下次还会入住。', '短评打分': 5}
{'短评内容': '很好的酒店 便宜还可以上网也很干净，每天都有人来打扫', '短评打分': 5}
{'短评内容': '本来要住好几天的，进去发现房间潮的要命，马桶也是坏的，结果一晚上基本都没睡，第二天就退了。', '短评打分': 1}
{'短评内容': '挺不错的', '短评打分': 3}
{'短评内容': '服务很好，临街，小吃，饭店很多，出门方便', '短评打分': 5}
{'短评内容': '周围吃饭很方便，酒店内部环境还好。不过周边的手机信号不好，手机在那个地图有点儿失灵。看信号时满格的，但打电话时效果很差，估计是用放大器作出的假信号。', '短评打分': 5}
{'短评内容': '环境不错，里面挺干净的…就是卫生间小了点，但舒适度超过我的想像的了…赞一个…', '短评打分': 3}
{'短评内容': '临街,晚上能听到车声。床还可以的。后门的停车场太脏(油腻)了。', '短评打分': 5}
{'短评内容': '非常不错的酒店，价格也便宜，位置也好，服务员态度也不错', '短评打分': 5}
{'短评内容': '周围吃饭很方便，公交车也很方便。离地铁远一些，设施旧了，服务还可以。', '短评打分': 5}
{'短评内容': '好的，但里面的设施有点旧，不错的，可以住\n', '短评打分': 5}
{'短评内容': '酒店房间整洁合理，空间大，整体舒适安静，服务员态度良好', '短评打分': 5}
{'短评内容': '酒店空间很大，我们住的是特价房，但感觉还是超攒！对面就是有水果市场，吃饭的！很热闹！', '短评打分': 3}
{'短评内容': '满好的……服务啊，环境啊，都不错，大家可试试~~', '短评打分': 5}
{'短评内容': '便利迅捷', '短评打分': 3}
{'短评内容': '住在这里还是很实惠方便的，周围的服务也是很周全的。', '短评打分': 5}
{'短评内容': '环境还不错，性价比较高。', '短评打分': 3}
{'短评内容': '这是一家价廉物美,实惠的商务酒店,周围生活设施齐全.', '短评打分': 5}
{'短评内容': '洗手间不大。整体来说还是不错的，交通也方便。', '短评打分': 5}
{'短评内容': '房间里面的保险锁不上，前台的回答说房间很安全不给解决，不太满意。', '短评打分': 3}
{'短评内容': '总体来说性价比较高，交通方便，紧邻南站，旁边靠近菜市场，对于追求周边其他相应设施档次的人不建议入住。', '短评打分': 5}
{'短评内容': '整体还不错，服务基本没有但一份价一份货', '短评打分': 3}
{'短评内容': '向北的房间虽然没有太阳，但是可以尽收沪闵高架和中环的夜景，还有锦江乐园就在对面，繁华中的宁静', '短评打分': 5}
{'短评内容': '停车方便，周围饭店也多，对面就是大型水果市场，老社区周边都很便利', '短评打分': 5}
{'短评内容': '位置不错 但是家居有点旧 不太干净', '短评打分': 3}
{'短评内容': '房间不错，虽然特价面北，不过正好可以看中坏夜景。交通也蛮方便的。', '短评打分': 5}
{'短评内容': '房间比较干净，服务比较热情，是值得一住的酒店。', '短评打分': 5}
{'短评内容': '很不错离地铁站近，离南站就一个地铁站！价格很便宜，周围很多吃的!最主要是理我办事的地方很近！', '短评打分': 5}
{'短评内容': '价格还可以，房间还算干净', '短评打分': 3}
{'短评内容': '价格优势较明显，被子和床单已经老的开始破裂了，烧水用的开水壶比较脏', '短评打分': 5}
{'短评内容': '感觉挺不错的，物有所值。交通购物挺方便，还会入住。', '短评打分': 5}
{'短评内容': '不错，非常实惠的价格，干净舒适的环境！位置也非常不错，至少是离我的目的地蛮近！', '短评打分': 5}
{'短评内容': '屋子挺大，装修有些久。周围有超市和小吃。', '短评打分': 5}
{'短评内容': '设施较差，价格还不实惠，没有莫泰好', '短评打分': 3}
{'短评内容': '这酒店。。。这个价位可以了，还算干净。。淋浴不太好用 热水上不来 可能是楼层太高了。。', '短评打分': 5}
{'短评内容': '酒店标语是重新装修了，入住感觉还可以，但洗手间比较旧应该没重新翻修，希望酒店在这方面有所改进', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '除了马桶老是坏以外，整个房间还是很温馨的，不错', '短评打分': 3}
{'短评内容': '不错，离锦江乐园挺近环境也不错物美价廉', '短评打分': 3}
{'短评内容': '服务人员很好，就是不知道为什么，706房间为什么晚上一直有类似蟋蟀的叫声，我找了很久都没找到，希望店家注意一下，另外，隔壁的那家餐馆态度真不咋地，建议大家慎重去那家（收银台对面的那家，门相通的）！', '短评打分': 5}
{'短评内容': '住的是家庭套房和标准间，房间很大，特别是家庭套房，超乎我的预料的大。\n房间稍旧，说是最近装修，可能只是楼道而已。总之还行，物有所值', '短评打分': 5}
{'短评内容': '给朋友订的酒店，过去住了，居然说没有入住，投诉了，才处理好了。', '短评打分': 1}
{'短评内容': '交通便捷，环境较安静。但浴巾·毛巾太旧。', '短评打分': 5}
{'短评内容': '挺不错的，卫生干净，服务态度也可以...', '短评打分': 5}
{'短评内容': '前台服务态度不行，感觉完全没受过服务培训，很不热情。床单什么的也感觉不干净，总之感觉不好。', '短评打分': 1}
{'短评内容': '＋服务态度还行，就是房间不太干净，卫生间太小了，枕头太高。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '服务态度极差。前台的服务员讲话呛人，没到万不得已不要去住这家店。', '短评打分': 1}
{'短评内容': '酒店环境不错，装修不错，比较干净，下次还住这', '短评打分': 5}
{'短评内容': '＋交通方便，性价比较高。', '短评打分': 3}
{'短评内容': '房间装修差些，但是套间还是很大，交通也算方便。', '短评打分': 5}
{'短评内容': '涨价了，周围还有更划算的，不过房间还算宽敞', '短评打分': 1}
{'短评内容': '地方不错，交通方便，房间有点点旧，不是很干净，但也不错，下次还考虑', '短评打分': 5}
{'短评内容': '够宽敞！', '短评打分': 3}
{'短评内容': '酒店价格便宜，138特价也是标准间，上网速度快，但没有早餐。', '短评打分': 5}
{'短评内容': '酒店很好，很满意', '短评打分': 3}
{'短评内容': '付款住198的房间', '短评打分': 3}
{'短评内容': '条件还好，唯一缺憾就是住的时候发现老鼠。。。', '短评打分': 5}
{'短评内容': '个人感觉性价比不是很高，房间里的电水壶上还有灰尘，不知是太久没人住还是清洁打扫的不彻底，床单理得也不顺，最不喜欢的一点是浴室水龙头和花洒喷出的水有股很强烈的味道，不敢饮用。好的地方是附近有很多小吃店什么的，吃饭很方便，离公车站也挺近的。', '短评打分': 1}
{'短评内容': '酒店性价比高，交通便利，很划算。运气好定到这家宾馆。', '短评打分': 5}
{'短评内容': '性价比很高的宾馆，边上交通不太方便，但小吃很多！值得推荐', '短评打分': 5}
{'短评内容': '蛮好的~性价比非常高，就是空调有点不给力，冷死了', '短评打分': 5}
{'短评内容': '房间空调噪音大', '短评打分': 3}
{'短评内容': '不错的酒店，性价比很高，就是空调声音太大', '短评打分': 5}
{'短评内容': '一般吧,还行.空间蛮大.就是走过去有点累人', '短评打分': 5}
{'短评内容': ' 很方便', '短评打分': 3}
{'短评内容': '总的来说还不错 推荐 网速很快 就是卫生间太小了 地滑 另外有点旧', '短评打分': 5}
{'短评内容': '上海利加达商务酒店还可以,房间也比较干净下次还会入住,', '短评打分': 5}
{'短评内容': '很不错。地理位置好，离南站近。有个豆浆店还不错', '短评打分': 5}
{'短评内容': '地理位置不错，世博期间房价贵，附近吃的很多。第二次住 ', '短评打分': 5}
{'短评内容': '帮人订的酒店，客人还挺满意。', '短评打分': 5}
{'短评内容': '+ 房间还算整洁,服务也好,世博期间物有所值。', '短评打分': 5}
{'短评内容': '上海的世博期间,比其他地方的贵多了,而且还没其他地方的好.唉...', '短评打分': 5}
{'短评内容': '服务态度不错，房间也还干净，就是交通离地铁远了点。还有价格高了点。', '短评打分': 5}
{'短评内容': '位置比较一般，有点难打车，也不是很近地铁的样子。但性价比还是比较高的，毕竟是世博，酒店都涨价很厉害。', '短评打分': 3}
{'短评内容': '虽然大厅比较简单，但房间卫生设施都比较好，性价比很高。', '短评打分': 5}
{'短评内容': '床很不舒服，电视机很小，一开始还是坏的。也就是世博会了，这么差价钱还这么贵，不值！', '短评打分': 1}
{'短评内容': '设施陈旧，前台服务冷冰冰的。位置和周边环境都不理想', '短评打分': 1}
{'短评内容': '不是不是  酒店的服务态度很好~~~呵呵   \r\n      地方不也错。。。边上就去  锦江乐园~~从窗子就可以看到好大的摩天轮~~', '短评打分': 5}
{'短评内容': '感觉不好，酒店管理不佳，服务员服务意识不强，第二晚从标间换到家庭套房，套房外间的空调还漏水很严重，直接滴到床头，明明没人喝过房间内的矿泉水，还收取一瓶水的费用，总得住下来感觉不好，性价比不高，不推荐！', '短评打分': 1}
{'短评内容': '+交通便利,但停车不便。', '短评打分': 5}
{'短评内容': '我已入住', '短评打分': 5}
{'短评内容': '358元的标准房有点贵.可世博会期间有啥办法呢?', '短评打分': 5}
{'短评内容': '感觉还好！', '短评打分': 3}
{'短评内容': '价格涨价因为世博有点贵，交通不是很方便，需要步行很长。设施还可以，环境也可以', '短评打分': 5}
{'短评内容': '感觉还好吧', '短评打分': 5}
{'短评内容': '还可以吧，感觉马马虎虎', '短评打分': 3}
{'短评内容': '世博期间还能订到这样的酒店不容易。。。', '短评打分': 5}
{'短评内容': '价格太贵，服务真的很差，好像我们求他们一样，服务员态度不热情，冷脸相对', '短评打分': 1}
{'短评内容': '这酒店服务态度真差，房子死贵，真不值！', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这可算是我在上海经验最差的一家酒店， 一个字， 差。', '短评打分': 1}
{'短评内容': '酒店离上海南站很近很方便，服务很好，前台接待人员很热情，家人住的很舒适，下一次还会入住', '短评打分': 5}
{'短评内容': '这次订的是商务套房，有个小客厅，感觉空间很大，两台独立的小空调。设施有点陈旧，但是不影响使用，拖鞋不知道是不是一次性用品，穿起来很舒服。南站打到过来要二十几元，周边是居民住宅区，饮食店挺多的，而且看起来不会很贵，评价虽然都选一般，但是下次还是会住这里，因为相比其他酒店，套房这个价格算不错的了。电视不能点播。', '短评打分': 5}
{'短评内容': '服务有待加强', '短评打分': 1}
{'短评内容': '在华东理工大学旁边，很方便。', '短评打分': 5}
{'短评内容': '看世博的话经济酒店都两百以上了 这家比较便宜吧 但是其它的就别跟人家3星4星的比了哈', '短评打分': 5}
{'短评内容': '各方面设施都还可以的。离华东理工很近，离南站有点路。', '短评打分': 5}
{'短评内容': '房间比较大，很舒服', '短评打分': 5}
{'短评内容': '和同学出去逛街，因为太晚懒得回去，所以住的这家酒店。位置很好，性价比还不错', '短评打分': 5}
{'短评内容': '房间空间比较大，只是家具比较旧，但总体性价比还是值得推荐的', '短评打分': 5}
{'短评内容': '感觉不是很划算，188的标房，东西感觉一般，早上要早餐券，前台开始还不肯给，要了几遍才给', '短评打分': 1}
{'短评内容': '入住没什么说的，还不错，但是check in的时候遇到一个流氓，对待前台的小姑娘谩骂，唉，搞得我心情极度不好，要是古代，我早就路见不平了，只奈自己什么都不是，我只告诉她，别往心里去！', '短评打分': 5}
{'短评内容': '酒店总体的环境还不错，性价比挺高的，总台人员的服务态度很不错，如果再到上海，还是会再选择这酒店入住的。离2号地铁站挺近的，交通挺方便。', '短评打分': 5}
{'短评内容': '超级脏！大厅一股厕所的味道', '短评打分': 1}
{'短评内容': '总体一般，房价还可以，但是周围的环境有点乱。', '短评打分': 3}
{'短评内容': '基本满足住宿目的，但条件相当一般，早餐尤差，是隔壁的沙县小吃，先前打电话问酒店说是15元的标准，到地方拿出早餐券只能抵6元，最后在旁边的便利店买了牛奶和面包。', '短评打分': 5}
{'短评内容': '都很好,就是网速太慢.', '短评打分': 5}
{'短评内容': '还是比较实惠的，就是离南站有点远，离锦江乐园比较近', '短评打分': 3}
{'短评内容': '交通方便    性价比很好    ', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '性价比高，很实惠。', '短评打分': 3}
{'短评内容': '交通方便，比较清静。', '短评打分': 5}
{'短评内容': '价格便宜，经济实惠，离锦江乐园站10分钟路程', '短评打分': 5}
