{'短评内容': '一般一般', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '非常的可以，加油', '短评打分': 5}
{'短评内容': '酒店位置比较好找，房价比较合适。环境也还ok，前台还有几台哈雷摩托 很酷。床很软 很舒服，比较干净', '短评打分': 5}
{'短评内容': '环境一般，好多房间都没的窗子', '短评打分': 1}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '环境一般，房间层高很低，通道，房间有很多横梁挡着，房房屋结构不好，主要是性价比高，一百多还含早餐，当然早餐品种才两个，要求不高可以住，免费停车，这点较好。', '短评打分': 3}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '住的还算舒服。', '短评打分': 4}
{'短评内容': '帮朋友订的，看了一下，一般', '短评打分': 3}
{'短评内容': '千万不要去这家酒店，预付了房费在前台居然查不到订单，白白等了几十分钟无人处理，服务极差，房间也不好。找携程取消订单，居然告诉我说代理已经付款的不能退还，是因为我的原因不住的吗？我订酒店找你携程，不是找你的代理。携程就这样服务客户的。', '短评打分': 2}
{'短评内容': '还是可以。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '朋友说还不错', '短评打分': 5}
{'短评内容': '很商务的酒店，里面大，但有点黑', '短评打分': 4}
{'短评内容': '房间大，就是酒店比较老了。价格还比较合理。', '短评打分': 4}
{'短评内容': '所谓的红木，就是红色的木头……还算有特色，不过位置很偏，酒店房间很潮，隔音也不好，厕所下水很慢，都快溢到洗手间外面了！洗澡和上厕所基本无法同时进行，空间狭窄', '短评打分': 1}
{'短评内容': '这次真是选择失误了，这家酒店非常烂，连一般的快捷酒店都不如，请大家千万不要来住，房间不整洁，服务员态度极差', '短评打分': 3}
{'短评内容': '非常不错，房间很大还是落地窗。清洁也很好。只是晚上10点过后就不能点餐了，有点遗憾。', '短评打分': 5}
{'短评内容': '整体还不错，跟女朋友第一次来这，可能是有餐饮的原因感觉店内客人好多。个人认为老板花了大力气装修。大堂装修的像皇宫，全部摆的是红木家具。在重庆我还没见过这样的酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差条件差', '短评打分': 1}
{'短评内容': '服务不错，房间很大，价格也不错，干净卫生，下次出差还住这家。', '短评打分': 5}
{'短评内容': '第一印象房间干净，不足是没有电梯。其他的住完再说。', '短评打分': 5}
