{'短评内容': '挺好的，关键可以停车。', '短评打分': 5}
{'短评内容': '房间干净，位置好，有停车场。', '短评打分': 5}
{'短评内容': '住的四楼，潮味特别大，不知道其他房间是不是也这样', '短评打分': 3}
{'短评内容': '酒店环境安静，有很大的停车，很方便', '短评打分': 5}
{'短评内容': '房间忒小，位置不太好！', '短评打分': 4}
{'短评内容': '很好，有机会还会来这里入住', '短评打分': 5}
{'短评内容': '很好，有机会还会来这里入住', '短评打分': 5}
{'短评内容': '服务很好，推荐！服务很好，推荐！服务很好，推荐！服务很好，推荐！服务很好，推荐！服务很好，推荐服务很好，推荐！服务很好，推荐！服务很好，推荐！', '短评打分': 5}
{'短评内容': '不错的一次旅行！酒店服务好、周边环境安静、交通便利！最主要的是离大观园非常近，另外自助餐也超赞！值得推荐！', '短评打分': 5}
{'短评内容': '周边很方便', '短评打分': 5}
{'短评内容': '位置不错，离火车站和万达广场挺近的，最主要是停车好停啊，有个大院子，不过是跟莫泰公用的停车场。不要住一楼西侧，早上来来往往吃早饭的人太吵了。', '短评打分': 5}
{'短评内容': '位置不错，离火车站和万达广场挺近的，最主要是停车好停啊，有个大院子，不过是跟莫泰公用的停车场。不要住一楼西侧，早上来来往往吃早饭的人太吵了。', '短评打分': 5}
{'短评内容': '物超所值', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通便利，离着火车站，大观园，万达等挺近的，房间设施也不错。', '短评打分': 5}
{'短评内容': '有停车位环境都很好', '短评打分': 5}
{'短评内容': '环境很好，服务也不错，有停车位', '短评打分': 5}
{'短评内容': '酒店位置不错，我们是出差到省院办事情，所以预定了这个酒店。交通方便，办事方便。酒店如果更大就好了。以后还会入驻。', '短评打分': 4}
{'短评内容': '服务好，价格不错', '短评打分': 5}
