{'descr': '室内干净整洁舒适', 'star': 5}
{'descr': '整体感觉非常棒超值！房间很大，可以有再加个床的位置。适合带孩子，酒店设置很新，位置在出地铁口三百米，门口有停车场。', 'star': 5}
{'descr': '黑店，提前10天预订的单间，当时所有单间都是一个价，来了给一间屋顶有水痕和补疤的房间，满屋厕所蚊子，说我订的是特价房就是这样的！不肯打折，不给换房间！第二天下午6点退房走了，小妹硬是不给退第三天的房费的一半，比五星级酒店还牛，就因为离我开会的地方近。', 'star': 2}
{'descr': '位置很好，房间', 'star': 5}
{'descr': '位置很好 周边吃饭很方便 酒店有简单早餐', 'star': 5}
{'descr': '交通便利，还比较安静', 'star': 5}
{'descr': '不错，挺好的', 'star': 5}
{'descr': '服务热情，房间干净，周边餐饮不是很多，小超市有一个', 'star': 5}
{'descr': '環境一般，服務一般', 'star': 3}
{'descr': '位置不错，就是有点小贵，我同事一起的，谢谢！', 'star': 4}
{'descr': '噪音很大，早上完全没法睡觉，一性价比很差', 'star': 2}
{'descr': '还可以，性价比挺好的，离地铁口很近，也很安静，就是设施一般。', 'star': 3}
{'descr': '交通方便，房间还可以。', 'star': 3}
{'descr': '性价比不高，建议不要用导航。', 'star': 3}
{'descr': '环境有点不爽，感觉不值155这个价钱', 'star': 3}
{'descr': '宾馆总体感觉还行，房间里面有的地方开始脱落了，能住', 'star': 3}
{'descr': '不错的酒店，离海关大楼很近，不过晚上太安静了，车来车往有点吵', 'star': 5}
{'descr': '还不错，各方面都还好，就是有点点小，灯光有定暗，门面有点稍小，其余的没问题。。', 'star': 5}
{'descr': '收费和网上标价不一样', 'star': 3}
{'descr': '设施不错，服务好，靠路边的房间隔音不是很好', 'star': 3}
{'descr': '酒店值得推荐，可以考虑再次入住。\n性价比较高。', 'star': 5}
{'descr': '基本满意', 'star': 3}
{'descr': '基本满意', 'star': 3}
{'descr': '还不错，能住了', 'star': 3}
{'descr': '还不错，能住了', 'star': 3}
{'descr': '挺好的，适合公司报销不多的一些又必须要出差的人士', 'star': 5}
{'descr': '挺好的，适合公司报销不多的一些又必须要出差的人士', 'star': 5}
{'descr': '感觉蛮好的，小而精致，电脑很给力，毛巾很卫生…', 'star': 3}
{'descr': '感觉蛮好的，小而精致，电脑很给力，毛巾很卫生…', 'star': 3}
{'descr': '酒店网络不错，交通便利，沐浴舒适。', 'star': 3}
{'descr': '酒店网络不错，交通便利，沐浴舒适。', 'star': 3}
{'descr': ' 房间光线暗灯光少有异味 交通方便 只提供毛巾和一次性拖鞋 其他要自备 总体还行', 'star': 3}
{'descr': ' 房间光线暗灯光少有异味 交通方便 只提供毛巾和一次性拖鞋 其他要自备 总体还行', 'star': 3}
{'descr': '布丁酒店不错！就是有点小啊！里面很干净，很整齐！推荐！！', 'star': 5}
{'descr': '布丁酒店不错！就是有点小啊！里面很干净，很整齐！推荐！！', 'star': 5}
{'descr': '还可以，离车站不远，还比较安静的地方。晚上排气扇有问题了，前台立刻给换了一间房间。', 'star': 5}
{'descr': '还可以，离车站不远，还比较安静的地方。晚上排气扇有问题了，前台立刻给换了一间房间。', 'star': 5}
{'descr': '酒店总体而言不错，情侣住的话，浴室没有门说实话还是比较尴尬的。建议好朋友前往，好比两个女生这样。当然价位我觉得还OK吧，毕竟就住几晚而已。其实也没什么。', 'star': 5}
{'descr': '酒店总体而言不错，情侣住的话，浴室没有门说实话还是比较尴尬的。建议好朋友前往，好比两个女生这样。当然价位我觉得还OK吧，毕竟就住几晚而已。其实也没什么。', 'star': 5}
{'descr': '有点操蛋！', 'star': 3}
{'descr': '有点操蛋！', 'star': 3}
{'descr': 'pod很不错的么，文化很好，布置的很温馨……', 'star': 5}
{'descr': 'pod很不错的么，文化很好，布置的很温馨……', 'star': 5}
{'descr': '感觉不错，赞一个', 'star': 3}
{'descr': '感觉不错，赞一个', 'star': 3}
{'descr': '酒店还是很好的 就是房间又点小了 其他都还不错', 'star': 5}
{'descr': '酒店还是很好的 就是房间又点小了 其他都还不错', 'star': 5}
{'descr': '还可以就是房间小了点，还有就是太吵了', 'star': 3}
{'descr': '还可以就是房间小了点，还有就是太吵了', 'star': 3}
{'descr': '算很干净温馨..就是卫生间没门... ', 'star': 3}
{'descr': '算很干净温馨..就是卫生间没门... ', 'star': 3}
{'descr': '很有特色，适合年轻人旅游住。离火车站近。卫生间比较大，挺好。\n但是不适合商务旅行，22岁以上还是住其它酒店吧，', 'star': 5}
{'descr': '很有特色，适合年轻人旅游住。离火车站近。卫生间比较大，挺好。\n但是不适合商务旅行，22岁以上还是住其它酒店吧，', 'star': 5}
{'descr': '房间太小了 因此让人很压抑 卫生间没有遮挡 确实有点不适应 当然它是单人间 这点也许就不做考虑了 最让人不能忍受的就是太超 隔音差 还有就是那个所谓的上网 那叫一个蜗牛啊，，，，，，，', 'star': 1}
{'descr': '房间太小了 因此让人很压抑 卫生间没有遮挡 确实有点不适应 当然它是单人间 这点也许就不做考虑了 最让人不能忍受的就是太超 隔音差 还有就是那个所谓的上网 那叫一个蜗牛啊，，，，，，，', 'star': 1}
{'descr': '房间感觉比较小，上次住的一间房进门就是床，基本没有太多的空间，电视机效果不好，网速偏慢。不提供一次性洗簌用具对于一部分人而言有些不方便。\n地段还是不错的，离汽车站和火车站都比较近。', 'star': 1}
{'descr': '房间感觉比较小，上次住的一间房进门就是床，基本没有太多的空间，电视机效果不好，网速偏慢。不提供一次性洗簌用具对于一部分人而言有些不方便。\n地段还是不错的，离汽车站和火车站都比较近。', 'star': 1}
{'descr': '小小的，很温馨啊。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '小小的，很温馨啊。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '第一眼感觉这房间好小，不过后来住了一会以后还是可以的。只是厕所没有门，隐私不是很好。', 'star': 5}
{'descr': '第一眼感觉这房间好小，不过后来住了一会以后还是可以的。只是厕所没有门，隐私不是很好。', 'star': 5}
{'descr': '真的非常小巧，但是酒店装饰不错哦，挺舒服的！就是卫生间怎么没门？', 'star': 5}
{'descr': '真的非常小巧，但是酒店装饰不错哦，挺舒服的！就是卫生间怎么没门？', 'star': 5}
{'descr': ' 很不错！很温馨！特别适合我们年轻人！', 'star': 3}
{'descr': ' 很不错！很温馨！特别适合我们年轻人！', 'star': 3}
{'descr': '房间较小，可是整体很温馨，而且空调的效果很好', 'star': 5}
{'descr': '房间较小，可是整体很温馨，而且空调的效果很好', 'star': 5}
{'descr': '酒店离火车站比较近，很方便。\n酒店虽然房间比较小，但是比较温馨\n值得推荐，下次还希望入住', 'star': 5}
{'descr': '酒店离火车站比较近，很方便。\n酒店虽然房间比较小，但是比较温馨\n值得推荐，下次还希望入住', 'star': 5}
{'descr': '  房间太小，基本的洗梳用品都没有，只有两条毛巾，要是没有毛巾就是典型的街边十元客盏了', 'star': 3}
{'descr': '  房间太小，基本的洗梳用品都没有，只有两条毛巾，要是没有毛巾就是典型的街边十元客盏了', 'star': 3}
{'descr': '这个酒店真的很不错，虽然很小，但我个人是很喜欢的。干净，清爽。我下次去无锡还去那里！就是比较难找，其实就是在汽车站买票的地方向右一直走，过了桥，到一个公交车站站台，在站台的对面有个阿英煲，就在那里！', 'star': 5}
{'descr': '这个酒店真的很不错，虽然很小，但我个人是很喜欢的。干净，清爽。我下次去无锡还去那里！就是比较难找，其实就是在汽车站买票的地方向右一直走，过了桥，到一个公交车站站台，在站台的对面有个阿英煲，就在那里！', 'star': 5}
{'descr': '依旧温性 年轻人的好选择 这次电视部太好', 'star': 5}
