{'短评内容': '装修一般，房间有点小！', '短评打分': 5}
{'短评内容': '差劲', '短评打分': 1}
{'短评内容': '房间大小合适，住的可以', '短评打分': 4}
{'短评内容': '噪音大就算了。值夜班的前台小哥简直在逗我。跑下去借个剪刀直接一句怎么都找不到。我伸头一看就在桌上。第一次给差评。真是从没有去过服务态度这么差的酒店。', '短评打分': 2}
{'短评内容': '个人感觉还行，特推荐给大家！', '短评打分': 4}
{'短评内容': '房间设施还行，卫生做的不错，不过有些的房间有异味，大体还行', '短评打分': 4}
{'短评内容': '太垃圾了 里面能看到的东西都要钱买？牙刷都要钱？里面窗户还是对着走廊的？', '短评打分': 1}
{'短评内容': '还可以吧 周围环境有点吵 但比较方便 就是纸巾啊牙刷这些都要自己买', '短评打分': 4}
{'短评内容': '酒店异味太重了   ', '短评打分': 2}
{'短评内容': '讲真，8月初订的酒店，当时还打电话问过酒店前台有没有收到订单，前台说收到了，可以正常入住。然后9月1号那天来办理入住，酒店前台和我说查不到订单，让我们自己打电话给中介，我们自己打电话给中介后，中介说有这个订单，然后给了前台订单号，前台还说查不到，让他们自己打电话给中介还拖拖拉拉的，然后隔了几分钟后才给中介打电话，说是查到了，给办理了入住。然后再说房间吧，房间挺不错的，我和朋友放下行李就出去了，晚上', '短评打分': 2}
{'短评内容': '房间过得去，但是前台服务态度太差。客房一分钟左右报正常。前台说查不到订单，前一天办续住的时候查了说可以查到。然后办了续住。退房说查不到。让给官网打电话查。不听。然后自己在系统查。后来来了大概前台经理或者店长吧。也查了好久。也是没谁了。最后还是打官网的电话查到的。差不多大概半个小时左右在跟我争辩该去哪里下订单。耽误了那么久没一句抱歉。还很理直气壮的争论。说去哪的订单不好查。那你们为什么和去哪签协议。', '短评打分': 3}
{'短评内容': '实惠的酒店', '短评打分': 4}
{'短评内容': '快捷酒店里不错的选择。还行吧。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 2}
{'短评内容': '感觉很差', '短评打分': 1}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '酒店设施不错，挺新的。不足的是门头在巷子里面，晚上洗澡水太凉', '短评打分': 1}
{'短评内容': '广告牌很醒目！！ 位置还好，交通方便。  旁边就有 上网 和吃饭的地方， 半夜外头路上还有夜宵卖。\n\n房间装修很新， 住的还挺满意， 价格稍贵。', '短评打分': 5}
{'短评内容': '酒店不错，就是从路口走到酒店这段路很臭', '短评打分': 3}
{'短评内容': '房间干净环境好', '短评打分': 3}
{'短评内容': '酒店不错，新装修的。价格稍微贵点 其他还行', '短评打分': 5}
