{'短评内容': '挺不错的酒店', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '就是老了一点', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': ' 古典形酒店，处于工业区地带，性价比不高，服务很一般，卫生间很不干净，马桶没刷过，房间宽敞不潮湿，感觉有陈旧的味道。', '短评打分': 3}
{'短评内容': '啦咯啦咯啦咯啦', '短评打分': 5}
{'短评内容': '啦咯啦咯啦咯啦咯啦咯啦咯', '短评打分': 5}
{'短评内容': '出差住的，还行把', '短评打分': 5}
{'短评内容': '酒店非常安静 周边设施相当齐', '短评打分': 5}
{'短评内容': '帮妹妹订的，听说垃圾到没朋友，能不住就不住吧', '短评打分': 2}
{'短评内容': '房间内有气味', '短评打分': 3}
{'短评内容': '酒店卫生不干净，房间光线昏暗，酒店设施陈旧，周边荒凉很郊区，买东西及出行都不怎么方便…总体感觉较差吧……', '短评打分': 3}
{'短评内容': '为办事方便经常住，感觉价位还可以，随然没有早餐提供。', '短评打分': 4}
{'短评内容': '真心有点糟糕，设备陈旧，感觉不卫生', '短评打分': 2}
{'短评内容': '交通挺好，就在外环出口处，不过住的房间就在马路边，清早就被吵醒', '短评打分': 4}
{'短评内容': '位置还可以，但是比较老旧，倒是很安静，看上去应该有很多年了，所以各项设施比较陈旧！', '短评打分': 4}
{'短评内容': '设施较差，位置一般，周边环境一般', '短评打分': 4}
