{'短评内容': '很温馨。', '短评打分': 5}
{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。 服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。', '短评打分': 5}
{'短评内容': '房间较小，隔音不好，附带早餐也算可以，算是对得起这个价钱了。', '短评打分': 4}
{'短评内容': '早餐去的晚了，但是目测还可以，正常', '短评打分': 5}
{'短评内容': '属于一般话', '短评打分': 3}
{'短评内容': '环境优雅，布局合理，非常好！', '短评打分': 5}
{'短评内容': '洗澡的浴头坏了，其他的都还好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '这间房在整个酒店来说算好的了，复式房，下边可以看电视，吃东西。上边休息。两个厕所，挺方便的。就是洗漱的用品感觉不太好。', '短评打分': 3}
{'短评内容': '我第一天入住，说只有一间房了，我想可能是因为我们团的吧，环境很差，纱窗都没有了，而且浴头有问题，还有人发小卡片，各种糟糕。详情可见303房间。', '短评打分': 2}
{'短评内容': '环境还可以，凑合事吧，希望有待提高', '短评打分': 4}
{'短评内容': '有早餐，离火车站很近，交通方便！', '短评打分': 3}
{'短评内容': '有停车场，有早餐，离火车站西广场很近！', '短评打分': 3}
{'短评内容': '地理位置方便，离车站近', '短评打分': 3}
{'短评内容': '尊敬的车主，近期有不法分子冒充长安福特售后服务中心以回馈新老客户赠送礼品为由进行诈骗活动。若您遇到类似情况，谨防上当受骗。所有活动请以车主俱乐部网站www.changanfordclub.com 以及微客服公布的信息为准，感谢您一如既往的支持！回TD退订【长安福特】', '短评打分': 5}
{'短评内容': '地理位置不错，环境也不错，下次应该还会住在这里！价格如果能在低一些就好了，提供的早餐还不错！', '短评打分': 5}
{'短评内容': '地理位置不错，环境也不错，下次应该还会住在这里！价格如果能在低一些就好了，提供的早餐还不错！', '短评打分': 5}
{'短评内容': '喧嚣都市的心灵绿洲。\n我和家人住的305、307房间，房间刚装修过的，很干净素雅；电视大屏幕液晶显示；空调格力的，风力强劲的很；甚至电梯也很雅致，按钮大气别致。免费奉送的早餐味道不错，应该说是我外出住宿中吃过的最可口的早餐之一，有玉米、紫薯、还有豆豉青椒，几乎都是我爱吃的。而且每个房间还有赠送的矿泉水。前台的服务员得体而礼貌，显得很职业，却又不打扰你的生活。而且这个宾馆离火车站也只有四五站的路程，', '短评打分': 5}
{'短评内容': '环境很好，很干净，就是在屋里手机信号不好', '短评打分': 3}
{'短评内容': '很超值的酒店，感觉很棒，设计的精巧，酒店比较新，餐厅的菜也比较实惠，下个礼拜还是会去入住的', '短评打分': 5}
{'短评内容': '整体装修风格很好，房间也比较整洁，电视机很大适合看球赛，早餐都好，就是服务员有点不专业！', '短评打分': 5}
{'短评内容': '虽然离我们的客户远了一点，不过环境还不错。', '短评打分': 5}
{'短评内容': '没开多久的酒店，很干净，值得一住。。呵呵', '短评打分': 5}
{'短评内容': '热水问题，其它还不错，可 惜 不 是 中 心 城 区。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，尤其是前台的服务员赵小姐工号no.1，服务态度超级好，很热情，很会处理事情，有这样的员工，老板真的很难得。就因为她的服务态度，下次到郑州还会入住。', '短评打分': 5}
{'短评内容': '酒店内环境很好！酒店座落在小区内！很静！', '短评打分': 3}
{'短评内容': '装修不错，服务也很好，美中不足的是走到隔音不好，还有热水呀，住了几天，就没有一次可以一开水就可以洗澡的，总是有事多磨', '短评打分': 5}
{'短评内容': '还不错的酒店，闹中取静，出行方便，复式的房间很好，住了好多次了', '短评打分': 5}
{'短评内容': '1。酒店的饭菜质量还行；\n2。前台服务员见面能主动打招呼，服务态度不错；\n3。第一个房间网线坏了，第二个房间网线超短，手机几乎没信号；\n4。怀疑床单、被罩、枕巾估计不洗，因为我不小心弄了一点污点，但我付20块洗涤费，说是要特殊处理，没办法，我自己在水里泡了1分钟，简单处理下就干净了。难道普通水洗也叫特殊处理？\n\n虽然下次还会去，但希望服务能提高。', '短评打分': 5}
