{'短评内容': '服务很得体安排了安静的房间 位置很好 专业的酒店不错 出差很合适', '短评打分': 5}
{'短评内容': '这个价格绝对超值。', '短评打分': 5}
{'短评内容': '1，办理入住的时候，前台只有一位员工，站姿懒散、斜着膀子，说话态度超级差！不敢想象深圳会有这样的酒店前台服务质量！2，我们是预定的2间房，老人家住在我房间隔壁。早上八点多准备退房，看到酒店服务员挨着房间敲房门，我们隔壁另一间房足足敲了大概五分钟左右！因为我们房门是开着的，所以问了句我们是否退房，随即就去敲我们老人家的房门，幸亏我们家人出来说了句要退房了，服务员竟然没有回应我们直接刷卡进入我们还没有', '短评打分': 3}
{'短评内容': '酒店很干净，前台接待的员工也很有礼貌，工号3020的员工服务态度很好', '短评打分': 5}
{'短评内容': '前台580服务非常棒！ 酒店环境超好，下次还会住！', '短评打分': 5}
{'短评内容': '性价比不错，离福田高铁站较近，周围有九方购物中心，三楼餐厅早茶很好。房内设施也不错，就是卫生间不太大，没有浴缸。', '短评打分': 5}
{'短评内容': '性价比不错，离福田高铁站较近，周围有九方购物中心，三楼餐厅早茶很好。房内设施也不错，就是卫生间不太大，没有浴缸。', '短评打分': 5}
{'短评内容': '一直住这个酒店，觉得很棒，特别赞', '短评打分': 5}
{'短评内容': '一直住这个酒店，觉得很赞，特别棒', '短评打分': 5}
{'短评内容': '不错不错，还不错还不错&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 4}
{'短评内容': '房间宽敞。交通方便。', '短评打分': 5}
{'短评内容': '还行吧，卫生这些都还不错', '短评打分': 5}
{'短评内容': '外面看起来挺高档的，里面也还好', '短评打分': 5}
{'短评内容': '挺好的 干净整洁！', '短评打分': 5}
{'短评内容': '酒店干净整洁，服务人员态度不错，专业有待提高。', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '真不怎么样，建议多花300去对面的威斯丁', '短评打分': 3}
{'短评内容': '嗯不错，高大上又舒适', '短评打分': 5}
{'短评内容': '酒店环境整天不错，酒店大堂的工作人员也比较主动热情。房间舒适整洁、电脑网线拿取方便，在田面小区里，可以到小区的商业街直接逛、非常热闹！', '短评打分': 5}
{'短评内容': 'Its really nice hotel. Clean and comfortable. If there is wifi in room will be much better.', '短评打分': 5}
{'短评内容': '比较难找，房间设施有些老旧，不过对得起这个价格', '短评打分': 3}
{'短评内容': '同事说不错', '短评打分': 5}
{'短评内容': '同事说不错', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '油漆味道比较大 旁边大厦装修 但有wifi还不错 早茶不错', '短评打分': 1}
{'短评内容': '酒店不错，算是我到深圳住的最舒服的一次。但是不知道为什么我在checkin的时候看到一个香港人只要578，还含早餐，而我658还不含早餐？', '短评打分': 3}
{'短评内容': '非常好的酒店，下次开会就只找他了。性价比特好。', '短评打分': 5}
{'短评内容': '入住几次了，一切都还不错。', '短评打分': 3}
{'短评内容': '酒店还不错，就是大堂不够档次，房间挺好的，总体不错，不过房间有点旧，前台说要装修，这几个月就别住了，肯定有味道', '短评打分': 5}
{'短评内容': '比较划算', '短评打分': 3}
{'短评内容': '飞机误点，预订的房间没了，前台帮我升级到行政客房，很好。', '短评打分': 3}
{'短评内容': '服务很好，旁边有个大公园，交通方便。走路去华强北商业街20分钟', '短评打分': 5}
{'短评内容': '经济实惠,价格实惠,服务质量也很高.ok', '短评打分': 5}
{'短评内容': '很好，坐落在深南大道上，交通很方便。有国外客户来一般都定这家酒店，价位来说也还算可以。而且二楼还是三楼有个中餐厅的东西很好吃，不过就是偏贵。', '短评打分': 5}
{'短评内容': '还挺不错的，房间挺大的，风景很好，交通很便利，离华侨北挺近的', '短评打分': 5}
{'短评内容': '比较方便，部分房间有点吵，其他还好。价格还可以更优惠些。', '短评打分': 5}
{'短评内容': '此酒店的服务很好,特别是酒店的前台人员有经验，所以下次还会去住该酒店。而且在另外城市也有格兰云天的连锁酒店，有机会出差旅游的话想去入住一下，对比不同城市的此连锁酒店情况。', '短评打分': 5}
{'短评内容': '挺不错的，房间很大，打扫的也很干净。房间隔音很好，中央空调的声音也算小的，特别是他们的床和被子很舒服，而且很周到的准备了高和矮两种枕头。下次还会去住。。', '短评打分': 5}
