{'短评内容': '一般般吧，还行', '短评打分': 4}
{'短评内容': '真心说实话，不怎么样，房间小，内务措施一般，位置还好，导航过去比较准确，周边配套设施很齐全，好吃的比较多', '短评打分': 4}
{'短评内容': '一般般，经济型旅馆，适合棋牌', '短评打分': 3}
{'短评内容': '一般般，但这个价格，没要求啦！', '短评打分': 2}
{'短评内容': '酒店卫生一般，周边是美食街，吃饭方便，出行也方便，地铁站很近。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '服务态度很好，性价比高', '短评打分': 5}
{'短评内容': '凑合', '短评打分': 3}
{'短评内容': '房间明显和价格不匹配，隔音那是见甩，晚上的鼾声都可以奏乐了', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境真心一般，不是很好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '地理位置很好，多次预定了，平时安排的房间都不错，这次因为是国庆，安排的房间比较小。楼下两层都是饭店，味道不错。', '短评打分': 4}
