{'descr': '非常喜欢哦', 'star': 5}
{'descr': '早餐很好，环境优美。', 'star': 5}
{'descr': '酒店环境不错，房间很干净，就是交通不是很方便，自驾游还是可以考虑住的', 'star': 5}
{'descr': '服务有待提高', 'star': 4}
{'descr': '环境幽静，仅靠阳澄湖，安静舒适，时候休闲养生！环境幽静，仅靠阳澄湖，安静舒适，时候休闲养生！就是地图导航不符合酒店名称！', 'star': 5}
{'descr': '酒店携程上的地址没有路名，开到了巴城镇再折回来，不太方便。建议可以添加下，在湖滨北路靠近大禹路。进入阳澄湖度假区，湖边的景色很不错，抬眼满天繁星。度假区内很安静，不确定是不是上海人开的，不过酒店是一幢幢的小洋房，挺欧式的。房间内挺干净的，就是电视突然响起，吓了一跳，遥控怎么按都没用，最后拔了插座。其它都挺不错，网络也很不错。', 'star': 4}
{'descr': '1.卫生间房顶漏水2.酒店的环境不错3.酒店的服务员都不是专业的，不知道什么叫服务。4.房间的凳子是坏的，还好我练过，不然就摔了。不建议预订。', 'star': 3}
{'descr': '酒店地理位置不错，房间很大，但是一开门有股霉味别的都不错，早餐奥灶面不错值得推荐。', 'star': 5}
{'descr': '卫生和服务太差，房间有蜘蛛网，我们带小孩问多要一条被子像审犯人一样没见过这种服务的～', 'star': 2}
{'descr': '环境很好，非常舒适，设施挺好', 'star': 3}
{'descr': '总体性价比还 好，环境不错', 'star': 3}
{'descr': '挺好的 环境非常好 就是房间有股味道', 'star': 5}
{'descr': '房间很干净，宽敞，价格也算便宜，蛮好的。\n\n', 'star': 5}
{'descr': '房间还算干净，出门还算方便，喜欢草坪，很嗲，晚上可以看星星，哈哈，就是棋牌室不咋的，KTV没有开。', 'star': 5}
{'descr': '国庆假日临时预订的，本是搞政府接待的地方，去了也拿不到较好位置的房间。不是按预订先后来安排，是按客人的重要性来排的。介意的亲要慎重。外部环境很不错，就在阳澄湖边。', 'star': 5}
