{'descr': '还不错啊，总的来说还可以', 'star': 4}
{'descr': '总的来说还可以，就是电视很多频道不能看', 'star': 4}
{'descr': '有点儿旧了，在丽枫里面不算太好', 'star': 4}
{'descr': '房间布置的很好，床品很舒服，第二次住了', 'star': 5}
{'descr': '优点是床垫很舒服，卫生不错，送矿泉水，有免费停车场。缺点是临街有点吵，房内空间小，多少有点味道。性价比高，推荐。', 'star': 5}
{'descr': '很好，谢谢。', 'star': 5}
{'descr': '服务贴心，总体满意', 'star': 5}
{'descr': '各方面都很满意！挺不错的酒店！', 'star': 5}
{'descr': '总体还可以吧，房间有点小', 'star': 5}
{'descr': '总体还可以吧，房间有点小', 'star': 5}
{'descr': '酒店环境还不错，但不足之处是我住的房间得水龙头坏了，希望酒店加强酒店设施的检查及维修。不在地铁口，但公交方便。前台服务热情，这个要表扬。', 'star': 5}
{'descr': '房间很好  有蓝牙音乐 设备都是电动的 位置也不错 大堂的香薰味道好闻', 'star': 5}
{'descr': '挺好的一次住宿体验，不论是大堂还是走廊的香氛，给人一种愉快的心情，房间整洁，设备齐全，服务人员很有礼貌。', 'star': 5}
{'descr': '丽枫还是很棒的，在前台办理入住的时候，还会递毛巾和茶水，服务很棒。房间的环境也很棒，都是智能的，洗澡的花洒还有轻音乐，整体风格是我最爱的薰衣草，怎么这么棒，简直大爱', 'star': 5}
{'descr': '连续住了2个晚上，科技的酒店，很不错，干净，整洁，服务很热情', 'star': 5}
{'descr': '服务很暖心，房间干净，舒适！点赞！有机会会在来！', 'star': 5}
{'descr': '很好很新很干净 地理位置也很方便 就是最近越来越贵了。。。。。。', 'star': 5}
{'descr': '经常住这家，卫生很好，很干净，还有蓝牙连接的音乐可以播放，很好', 'star': 5}
{'descr': '空调超脏，吹的风让房间感觉臭臭的', 'star': 3}
{'descr': '价格实惠，服务也不错。', 'star': 4}
{'descr': 'ok', 'star': 5}
{'descr': '总体来说经济实惠类型的 还行', 'star': 5}
{'descr': '很不错哦！！！真哒，下次还是考虑继续顶它', 'star': 3}
{'descr': '挺不错的一家店 ，装饰还行，位置也很方便', 'star': 5}
{'descr': '酒店各个方面都很不错，值得推荐。性价比很高哦！', 'star': 5}
{'descr': '总体感觉还不错哦，就是靠路边有点闹，另外停车比较困难，还收停车费，早上九点后不走还要收费，靠，真能宰人！', 'star': 5}
{'descr': '图片好看，但是实际相差很大，卫生不敢恭维', 'star': 1}
{'descr': '房间够大，环境不错，交通不错，服务可以。 就是没有吹风机', 'star': 5}
{'descr': '外面看起来旧旧的，里面还挺干净的，设备有点陈旧了。不过服务员态度挺好的，电视是液晶的，感觉不错。', 'star': 3}
{'descr': '前台服务很好。。。环境也不错性价比绝对够。。。交通也便利 周围有小吃楼下就是肯德基挺方便的', 'star': 5}
{'descr': '服务很好  挺满意的  ', 'star': 3}
{'descr': ' 酒店位置交通方便，服务设施都很好，强烈推荐。表扬一下编号为001的扬州MM服务员，为我们写的公交导游路线。', 'star': 3}
{'descr': '还是不错！房间挺干净的，也大，电视是液晶的。还会来住的！', 'star': 5}
{'descr': '服务很好，交通方便，周围吃的也很多。还有火车票代售点也在附近。', 'star': 5}
{'descr': '酒店的位置很好，很安静，房间很大，卫生间也不小，地毯有些脏，不过对得起这个价格。离明故宫不算太远，公交车3站，离夫子庙也有直接到的公交车！！！！！', 'star': 5}
{'descr': '服务很好，性价比很高，就是房间门都破了，有点陈旧。', 'star': 5}
{'descr': '服务很好。就是家具有点陈旧，装修和门有点陈旧。', 'star': 5}
{'descr': '只能说性价比还行，毕竟这个价格也不能要求太高了 \n呵呵 房间还可以的', 'star': 5}
{'descr': '地理位置，酒店内部设施，房间面积都比较满意，对于这个价位来说，性价比还是很高的', 'star': 5}
{'descr': '房间环境还好，可退房结帐的时候不给刷卡，入住前问过可以的！不足的地方还有有的！', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '交通不是很方便，灯光显暗，热水白天没有，其他的还好……', 'star': 3}
{'descr': '蠻好的一家 就是我住的那件空調對著床 晚上睡覺開空調有吹的都有點受不了 其他各方面都很不錯 性價比很高很高，值得推薦哦', 'star': 5}
{'descr': '酒店服务员服务很好很不错，但是我住的房间空调制冷不行，还不能上网，换了一个房间，可是卫生间异味特别大。', 'star': 5}
{'descr': '非常好的 一家酒店 超值  比起那些快捷酒店好很多', 'star': 5}
{'descr': '室内设置不错，住的很舒心【宾馆推出的就是：三星标准，一星价格】。出门交通也很便利（到夫子庙、总统府有直达公交），吃饭也很方便（旁边就是早餐铺及饭馆、KFC等）。唯一不足处：因宾馆处于十字路口，晚上车来车往有些吵。', 'star': 5}
{'descr': '交通非常方便，吃的地方很多，服务也还说的过去，装修的比较陈旧了。有时卫生间反味儿。', 'star': 5}
{'descr': '交通非常方便，吃的地方很多，服务也还说的过去，装修的比较陈旧了。', 'star': 5}
{'descr': '环境还可以，有浴室，有电视，有窗，但是没有电脑，只有根网线，还得自带。而且酒店里的东西标了价，但是都没有人提醒，反正用了是要钱的！', 'star': 5}
{'descr': '这家酒店真的很不错。。服务态度好！！酒店设施也不错！！！建议大家住入。。', 'star': 5}
{'descr': '还不错。服务员态度热情，酒店交通也很方便。楼下就是肯德基，早餐很容易解决。只是停车有些不太方便。', 'star': 5}
{'descr': '南京瑞光假日宾馆（光华门店）位置不错，前台服务很好，房间也不错，就是空调有点老，启动时声音有点大！', 'star': 5}
{'descr': '环境很不错，服务也很到位，就是房间稍微小了点···', 'star': 5}
{'descr': '不错的酒店，设施还可以。留下就是kfc。。。。。。。。。', 'star': 5}
{'descr': ' 环境不错，服务也很好', 'star': 3}
{'descr': '位置不错，就是设备老了，我觉得不值这个价，前台服务还是不错的，仅此而已', 'star': 1}
{'descr': '酒店不错，家人回来以后表示很满意。如果以后再去，还会考虑住这一家。', 'star': 5}
{'descr': '服务态度一般，环境让人很失望，房间还算大，但条件设施没跟上。', 'star': 1}
{'descr': '超市就在对面，楼下是肯得基，很方便。服务也周到，下次再来', 'star': 5}
{'descr': '麻雀虽小五脏俱全，挺好的，很干净，服务周到', 'star': 5}
{'descr': '房间还可以，卫生间挺大的，卫生还行吧，离闹市区有点远，坐车挺方便的。', 'star': 5}
{'descr': '酒店很不错。很有家的感觉！！！！！！！！浴室小了点', 'star': 5}
{'descr': '\u3000非常满意', 'star': 3}
{'descr': ' 酒店外面正在施工，夜里施工，白天停工。 一夜没睡着 施工不是店方能左右的，但是店方至少准备一些防噪物品，最简单的一副塑料耳塞至少能够降低噪音。可是店方连这么一个简单的物品都没有，实在令人很失望。', 'star': 1}
{'descr': '满意', 'star': 3}
{'descr': '经济实惠  房间大   就是设施陈旧  有蟑螂', 'star': 3}
{'descr': '这个宾馆虽然外观不占优势，但却是最让我有留恋感的一家宾馆。服务人员周到细致的服务，很让人感动。因为我是去上课的，小孩有一天的时间都在里面，各种照顾小孩的事情都是宾馆工作人员不厌其烦帮助做的。所以，在离宾馆的那一刻，我居然很想下次再来了。', 'star': 3}
{'descr': '下火车站坐17路在光华门下车前行280米左右就到，方便，去夫子庙，中山陵，总统府，都有车。非常好。', 'star': 5}
{'descr': '性价比非常高的酒店,这个价位绝对是超值的 地段也好 ', 'star': 5}
{'descr': '酒店服务周到耐心；家具有些老，卫生挺干净的；位置还好交通便利；因为临街 晚上有些吵。', 'star': 3}
{'descr': '很干净的宾馆，楼下就是肯德基，离公交车站也近，住在五楼还算安静，这个价位算不错的了', 'star': 5}
{'descr': ' 520', 'star': 5}
{'descr': '感觉不错.房间布置的很好.设备齐全.也跟干净.服务员很热心.', 'star': 5}
{'descr': '比较卫生，三星的标准，位置在光华门也不算太偏，只是靠路边的房有一定的噪音，性价比较高。以后有机会还会入住。', 'star': 5}
{'descr': '地段还行，就是停车不方便，而且比较难找，总体来说还行', 'star': 5}
{'descr': '总的来说还是不错的，虽然不在景区旁边，但去哪里都还方便，包括去南京最繁华的新街口商业区，晚上睡觉很安静（都想住夫子庙的就错了，太吵而且很脏），房间也蛮干净，我的大床房，床有2.5米宽，是我睡过的最大的床！服务员态度也很好，很热情，有问必答，比南京景区的服务态度都比“化”了（景区别问服务员，问警察）。', 'star': 3}
{'descr': '瑞光假日宾馆前台服务员很热心，但是酒店位子比较偏，不错，下次还来', 'star': 3}
{'descr': '地点好 设施好 温馨的 干净 有主的理由\r\n', 'star': 5}
{'descr': '+满意，干净，床很大！', 'star': 5}
{'descr': '+', 'star': 5}
{'descr': '这是三星级酒店一星的价格，其他方面我都满意。周围超市很近，出行方便，服务也不错。', 'star': 5}
{'descr': '瑞光假日宾馆前台服务员很热心，但是酒店位子比较偏，不错，下次还来。', 'star': 5}
{'descr': '好', 'star': 5}
