{'短评内容': '服务很亲切，早餐差些，地点有点偏，整体惠来说，感觉还好。', '短评打分': 3}
{'短评内容': '原来是订了最便宜的198的高级单间A，到了房间我瞬间石化了，房间是酒店拐角的，空间狭窄，压抑感很强烈，窗户也很小而且看出去其中一面还是拐角的墙壁，立马下楼去想换个大点的有落地窗的房间，前台告知我这种房型都是这样的在拐角的，所以才会这么便宜，建议我改订218的房型。无奈只得改订高级单间B，房间大小适中，装修也挺新，总体环境OK。但是洗手台的水龙头是冷暖水分别控制的，现在热天没所谓，到了冬天就很麻烦要', '短评打分': 1}
{'短评内容': '结账的时候，说是衣架断了，莫名其妙，都没有用过，只住了一天，穿的短袖，怎么可能用衣架嘛，又没有洗衣服。都不知道之前楼层的员工有没有认真查房，未必想找个替罪羊，太冤了！入住的时候，有个茶杯脏得不得了，居然都没有换，不知道客房部怎么做的清洁！', '短评打分': 5}
{'短评内容': '很不错的一家酒店，服务也不错，员工都很客气，也比较耐心，因为是去年才开张的，所以成色都比较新，我们是一家人去的，爸妈对此家的感觉都不错，比有些陈旧的准四星好多了，希望可以尽量保持，下次去永川还住他', '短评打分': 5}
{'短评内容': '酒店不错，很新，客户服务也不错，态度很好。下次还会去住', '短评打分': 5}
{'短评内容': '网络有点慢，其他都不错！！网络有点慢，其他都不错！！', '短评打分': 5}
{'短评内容': '价位相当适合的酒店，软硬件也都不错。价位相当适合的酒店，软硬件也都不错。', '短评打分': 5}
{'短评内容': '周围吃饭很不方便，主要是标间没有网线，单间却有，什么道理啊，很郁闷', '短评打分': 1}
{'短评内容': '环境还行，服务一般，停车保安随便指一下，也不带路，不指挥停车。房间隔音效果太差，住十六楼一晚都有汽车声伴睡，价格服务不匹配。', '短评打分': 5}
{'短评内容': '不错，很干净，价格也不高', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
