{'短评内容': '严重的服务不好，房间停水，味道大。', '短评打分': 3}
{'短评内容': '环境好，交通便利，这是第二次住雪莲了，距离我办事的地方非常近，周围餐饮也非常多，去机场，火车站非常近。', '短评打分': 5}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '位置好找，干净~', '短评打分': 4}
{'短评内容': '房间很老旧，尤其体现在卫生间上，应该不会再去住了！！', '短评打分': 3}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '还可以，交通方便', '短评打分': 5}
{'短评内容': '酒店位置好，暖气足，离美食节很近，每次都住这里，建议早餐再丰盛点，会议比较多，赶上会议早餐就不够吃。', '短评打分': 4}
{'短评内容': '酒店位置好，暖气足，离美食节很近，每次都住这里，建议早餐再丰盛点，会议比较多，赶上会议早餐就不够吃。', '短评打分': 4}
{'短评内容': '酒店位置好，暖气足，离美食节很近，每次都住这里，建议早餐再丰盛点，会议比较多，赶上会议早餐就不够吃。', '短评打分': 4}
{'短评内容': '房间不大，但卫生挺好，舒适度高。', '短评打分': 5}
{'短评内容': '很不错，价格合适，位置好', '短评打分': 5}
{'短评内容': '整体还行，就是房间有点小，两张床几乎挨在一起了，卫生间的门有点问题，关不上', '短评打分': 3}
{'短评内容': '太差了，我住的458的，里面居然连现在最基本的无线和宽带全都没有，要求换房，态度差的很。', '短评打分': 1}
{'短评内容': '服务还好，设施设备还没感受呢，环境不错，但路边有点吵', '短评打分': 4}
{'短评内容': '位置不错，就是装修旧了点', '短评打分': 5}
{'短评内容': '交通便利，离火车站很近，去机场上外环路也方便。卫生一般，早餐还可以。', '短评打分': 5}
{'短评内容': '卫生间只有固定喷头没有长管头，害的我为女儿洗澡变成了落汤鸡', '短评打分': 3}
{'短评内容': '房间设施一般，价格有点高，服务有待提高！', '短评打分': 5}
{'短评内容': '房间设施陈旧，价格也不低，尤其服务有待提高！', '短评打分': 5}
{'短评内容': '对面就有个购物的地方，交通还算方便啊，早餐很好吃！', '短评打分': 5}
{'短评内容': '最开始看评价还是可以的，所以就定了3天。结果入住以后，有种大失所望的感觉，房间很小，卫生设施也不是很好，所以住了两天就退房，重新找酒店了。不推荐住这家', '短评打分': 1}
{'短评内容': '装修有点老，也就两星吧。楼层服务员很好，能算四星吧！我住九楼', '短评打分': 5}
{'短评内容': '地理位置还不错，门口有大超市，而且酒店里的饭很好吃', '短评打分': 5}
{'短评内容': '酒店中规中举，服务热情，适合！', '短评打分': 3}
{'短评内容': '环境和卫生还可以，就是不知道早餐时间限制的太短，没赶上吃早点。一次性洗漱用品有点太差劲，不上档次。', '短评打分': 5}
{'短评内容': '没有宽带，上不了网，现在连那种经济性连锁酒店都能免费上网，这种星级酒店居然不能免费上网，实在是太差劲了，我只住了一天就不住了。', '短评打分': 1}
{'短评内容': '酒店位置很好。房间还算面积适中', '短评打分': 3}
{'短评内容': '居然没有网络!服务太差!居然没有网络!服务太差!', '短评打分': 1}
{'短评内容': '3星级酒店居然房间没有宽带，上不了网，还不如经济型快捷连锁酒店', '短评打分': 1}
{'短评内容': '服务还可以，早餐不错，遗憾的是房间没有宽带，上不了网', '短评打分': 5}
{'短评内容': ' 前台入住手续办的太慢，房间空间太小了，豪华标间连个沙发都没有。', '短评打分': 3}
{'短评内容': '房间不很大  但很温馨 闹铃服务不佳 洗手间水量也很大  服务员态度善佳', '短评打分': 5}
{'短评内容': '酒店服务质量有待提高。打酒店内部电话问能不能送餐到房间，回答可以，结果等了一个小时也没送来。打电话去催问，却被告知没人送。既然没人送，为何要接这个单呢？既然没人送，为何不能主动给客人打个电话解释一下呢？害的我在房间里白等了一个小时。后向总台投诉，总算解决了问题。服务质量取决于服务细节，希望酒店加以改进。', '短评打分': 5}
{'短评内容': '很一般，早餐太早结束（八点半到十点），门锁不好开', '短评打分': 3}
{'短评内容': '交通方便，环境还可以，服务员态度好。房间设施旧了，标准间居然没有网络宽带。餐饮不错', '短评打分': 5}
{'短评内容': '环境还可以，交通方便，房间设施有点旧，服务员态度好，餐饮不错。', '短评打分': 5}
{'短评内容': '房间有点小，交通方便，购物方便，早餐一般，旺季时房间价格有点高了，平时180元还行', '短评打分': 5}
{'短评内容': '交通方便，购物方便，就是房间有点小，整体值得推荐', '短评打分': 5}
{'短评内容': '酒店不错，就是不能上网，太遗憾！另外隔音效果也不太好，晚上隔壁的声音就像现场直播', '短评打分': 3}
{'短评内容': '总体状况还可以，只是卫生间设施陈旧，浴室移门关不上，龙头也坏的。', '短评打分': 5}
{'短评内容': '硬件条件比较陈旧.服务态度不是很好.室内条件也很一般,我不是很看好这家酒店.', '短评打分': 1}
{'短评内容': '这个酒店一般，性价比超低，我没喝矿泉水，结帐时非得说我喝了，跟他理论了半天，以后再也不会去住了。', '短评打分': 1}
{'短评内容': '非常方便，整洁卫生，服务周到。购物方便，交通便利。', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 5}
{'短评内容': '酒店卫生、地理位置条件都不错。服务也热情，不错，值得推荐', '短评打分': 3}
{'短评内容': '性价比还是不错的，住宿环境也很好，下次如果在附近外出会考虑入住的。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，性价比很好，出行交通方便。当时入住的时间也比家长对酒店还是比较满意的，有机会还会入住这家酒店。', '短评打分': 5}
{'短评内容': '酒店位置很好，环境也不错。\r\n很适合商务型差旅者。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，卫生服务也很好，价格合理适中。出行交通也很方便，值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '服务是非常好，价格便宜，周边出行也方便，就是设施比较陈旧了，卫生条件说感觉不是太好，店内该翻修、更新了', '短评打分': 5}
{'短评内容': '酒店的比较老，设施陈旧，不舒适，价格觉得有点高，位置在市中心还算方便', '短评打分': 5}
{'短评内容': '这酒店在新疆价格和位置上完全没有优势，设施和环境也不行，楼道装修也不好。', '短评打分': 1}
