{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '有点旧，但也怀旧！', '短评打分': 4}
{'短评内容': '环境很好很好很好…靠近江边，适合情侣出游。另外打车也很方便。', '短评打分': 5}
{'短评内容': '实在是不值，感觉是打麻将的人用的，但是预定的时候看到的图片并不是这样的，居然有张麻将桌，能想象这个房间多脏了吧', '短评打分': 3}
{'短评内容': '挺好的还有早饭 交通也蛮方便 ', '短评打分': 5}
{'短评内容': '就隔音效果不是很好', '短评打分': 5}
{'短评内容': '。。很好', '短评打分': 5}
{'短评内容': '比较安静 隔音效果不怎么好 已经定了很多次了 比较方便吧', '短评打分': 4}
{'短评内容': '配套很齐全，卫生也算比较干净！就是这房间位置不好，密封的只在过道处开了个小窗，不透气味道好重！然后厕所花洒坏了，出水超级慢，天冷冲凉冻得要命！再一个就是床垫软到不行，整个人都往下沉！隔音效果又不好，整晚各种声音都有，吵到狠，反正是一整晚都没睡好！实在给不出好评了！', '短评打分': 4}
{'短评内容': '房间很可以环境很不错非常好房间很可以环境很不错非常好房间很可以环境很不错非常好房间很可以环境很不错非常好房间很可以环境很不错非常好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '外观有古朴感觉,所以预定,但进了房间,设施老旧,床品不如快捷酒店,气味难闻,纱窗还是破的,可惜了好的地段.服务员穿中式衣服,倒是应景,但基本没什么服务.不会再住', '短评打分': 2}
{'短评内容': '比较有特色，但要住二楼才行，一楼有比较重的霉味。', '短评打分': 3}
{'短评内容': '各方面都很不错，很怀旧，喜欢。', '短评打分': 5}
{'短评内容': '房间隔音太差，热水也不太热，希望能够改进吧', '短评打分': 4}
{'短评内容': '还不错 性价比很高 服务也可以。 还是小复式呢！', '短评打分': 5}
{'短评内容': '档次不符合这个价位，特别是那个早餐和餐厅，看着就感觉不是很卫生，就餐环境太差了', '短评打分': 1}
{'短评内容': '订房的时候写着180返回20，可是入住付钱的时候还是收的180，那20元的返现怎么给我们啊？', '短评打分': 5}
{'短评内容': '。房间布局很独特。不错。', '短评打分': 3}
{'短评内容': '卫生还可以，房间有点小，服务态度ok，关键的是离我要去的地方很方便，下次还会住。', '短评打分': 5}
{'短评内容': '房间比较小，电脑和电视机一体的。位置比较好，给朋友定的，总体而言，凑活', '短评打分': 5}
{'短评内容': '房间大小还可以，性价比较高，但服务比较奇怪，服务员都有点有气无力的感觉。房间还算干净，离这几步远就有海鲜排档，吃饭比较方便', '短评打分': 3}
{'短评内容': '感觉还行', '短评打分': 3}
{'短评内容': '酒店位置很好，靠近马路，交通方便，前台服务不错，房间内设施完善切舒适，但最大的问题就是隔音效果很不好，隔壁说话都能听得一清二楚，不知道是否所有房间都是这样。', '短评打分': 1}
