{'短评内容': '酒店很差，特别差', '短评打分': 1}
{'短评内容': 'WiFi信号不好，房间比较小，没有窗户，信号都差的无语。', '短评打分': 4}
{'短评内容': '卫生不好', '短评打分': 1}
{'短评内容': '淋浴花洒是坏的，水壶是坏的', '短评打分': 4}
{'短评内容': '挺实惠的，挺满意', '短评打分': 5}
{'短评内容': '预订的房间，挺不错的，交通也便利。', '短评打分': 5}
{'短评内容': '由于堵车，到酒店时间晚了，预订已经被取消了。服务人员又帮忙找了房间，非常感谢！', '短评打分': 5}
{'短评内容': '还没有窗户，房间没人打扫，价位有点高', '短评打分': 2}
{'短评内容': '服务好。干净。好在来。', '短评打分': 3}
{'短评内容': '还不错改错还不错还不错', '短评打分': 3}
{'短评内容': '不错不错不错搓搓不错不错', '短评打分': 3}
{'短评内容': '酒店离车站近，吃饭方便，交通方便，推荐入住。。。', '短评打分': 3}
{'短评内容': '里面的设施比较陈旧，看起来也不是很干净，给的发票盖的章和实际也不一样，不知道能不能报销，以后不会选这家了。', '短评打分': 3}
