{'短评内容': '，', '短评打分': 5}
{'短评内容': '房间小，设施差。', '短评打分': 4}
{'短评内容': '还可以啊方便呢', '短评打分': 4}
{'短评内容': '推荐入住   环境不错', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '商务间能配个小沙发单座就完美了，一直喜欢如家的床头灯，个人感觉白光比暖光对眼睛好一些，方便看书', '短评打分': 5}
{'短评内容': '挺好的～～～～', '短评打分': 5}
{'短评内容': '环境不错，服务周到，干净卫生', '短评打分': 5}
{'短评内容': '居然不能给零星！！！住过最差的旅馆！！！\n凌晨一两点对面跟隔壁喝酒，在房间跟楼道大吵，投诉数次无效，后来被迫换房子的是我，是我！！只是因为家里来客人，晚十一点入住，早七点退房，凌晨两点还要换房子！！！', '短评打分': 1}
{'短评内容': '朋友来住的，还可以吧，性价比不错', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '方便  价格实惠', '短评打分': 5}
{'短评内容': '价位适中 房间干净整洁', '短评打分': 5}
{'短评内容': '不错，物有所值，房型一般，但价钱也低', '短评打分': 5}
{'短评内容': '价位适中房间干净整齐干净服务员也很客气问什么都会耐心解答', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店住宿人员很杂，各种人等。环境一般，价格便宜。', '短评打分': 4}
{'短评内容': '性价比很高，很干净，服务态度也不错。但是房间的隔音不好。', '短评打分': 5}
{'短评内容': '酒店没车位，房间小，价钱便宜，出行也不太方便', '短评打分': 5}
{'短评内容': '酒店一如既往的干净，房间较小，隔音差，', '短评打分': 3}
{'短评内容': '酒店比较新，房间不大，但很温馨，门口公交较少，酒店也没有自己停车位，价格还行', '短评打分': 5}
