{'短评内容': '订房速度很快，刚定的房间酒店就收到', '短评打分': 4}
{'短评内容': '值得推荐，环境卫生好，就是我们入住时，电梯停运，服务态度欠佳。', '短评打分': 3}
{'短评内容': '交通方便，主要是中南财大很近，其它设施就太差了，卫生间门掉下了，我入住的第二天要开始装修，可能以后会好，期待改善。', '短评打分': 2}
{'短评内容': '有点旧', '短评打分': 3}
{'短评内容': '住的第一间屋很潮，wifi又坏了，给前台反映后换了一间，还不错，价格很实惠', '短评打分': 4}
{'短评内容': '挺好的，可以吧', '短评打分': 4}
{'短评内容': '房间很小，而且很旧！墙上都脱皮的，窗帘一拉一层的灰！感觉不是太好，只能说交通比较方便，在财大对面才选择的，感觉性价比不是很好', '短评打分': 3}
{'短评内容': '一般般，开个大床房脏死了。换个电脑房，电脑坏了。硬伤。态度还不错。', '短评打分': 4}
{'短评内容': '房间很旧  蚊子很多 空调对着床吹  很不舒服', '短评打分': 1}
{'短评内容': '酒店的服务，卫生都不好，大白天在楼道内刷漆，弄得整楼都呛得人无法呼吸', '短评打分': 1}
{'短评内容': '酒店的房间太差了，开始给的房间充满了潮湿霉变的味道，后来的房间空调又是坏的，一大早连换三个房间才勉强住下', '短评打分': 1}
{'短评内容': '房价偏高，卫生不太好。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '只能用脏，差来形容。前台连统一的服装都没有。开房的时候正好遇到有位客人退房结账，貌似是挂账的客人，前台找了半天没找到挂账单，急了，这是一位40多岁的男的过来，貌似应该是老板，看起来像是和前台是父女说了前台先给客人开房，因为在我之前还有个客人等着的。那位小姑娘生气了。好不容易把房开好了，门打不开，用好大力气才打开，原来门和地毯塞住了，哎，房间床单肯定没换的，还有头发什么的，厕所更不用说，一进去就有股', '短评打分': 1}
{'短评内容': '服务态度不好，我只住了半天，下午三点退房，竟然收了我全价，还解释说只要登记住宿，系统自动扣全价，简直是欺诈！', '短评打分': 3}
{'短评内容': '住宿条件很一般，不能刷卡，不值这个价格，不推荐', '短评打分': 1}
