{'短评内容': '位置挺好，有停车位', '短评打分': 5}
{'短评内容': '#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a#ud83d#ude0a', '短评打分': 5}
{'短评内容': '陈旧的酒店  好多地方都坏了', '短评打分': 5}
{'短评内容': '酒店装修陈旧了一点～其他都好～', '短评打分': 5}
{'短评内容': '在南滨路上，出酒店门就可以看长江，早餐还可以。定的是无窗房，没有什么太大的异味，性价比不错。就是洗澡水忽冷忽热的，不是很舒服。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '超级大。靠近路边，吃饭方便。就是没早餐。楼外游船风景特别好。根本不用坐船。免费江景。服务员服务有些慢，建议提高', '短评打分': 4}
{'短评内容': '可以入住', '短评打分': 5}
{'短评内容': '可以入住', '短评打分': 5}
{'短评内容': '中等', '短评打分': 5}
{'短评内容': '满意，向朋友推荐。', '短评打分': 5}
{'短评内容': '非常好，非常值得，靠近江边', '短评打分': 5}
{'短评内容': '房间比较小，也没有窗户，感觉有点压抑，卫生条件还是比较干净，很早就离开了，不知道早餐如何，一般般吧', '短评打分': 5}
{'短评内容': '不错，房间够大，床超大，可惜是两张床拼的中间不舒服。', '短评打分': 4}
{'短评内容': '可以，还是不错，只是通风差一些。', '短评打分': 4}
{'短评内容': '这家酒店比较陈旧些，作为老酒店管理上应该更好些。但是，管理跟不上，如4009淋浴房的玻璃上下都有很大的裂缝，没有维修；4005、4009房间好几个灯都不亮，看来没有知道，也没人管。早餐时，放甜点和水果地方有许多飞虫，就没有办法了吗？该酒店虽没有星级，最为一般的酒店也不该发生这些问题。希望酒店能重视。再一个更实际的问题，交通很不便利，地图上显示离6号线很近，而实际上要绕很大一个圈，者可能也是重庆的一', '短评打分': 3}
{'短评内容': '已经是第二次住了，觉得性价比不错，正好在我们出差标准内。以后去重庆还会定这个。位置不错，就在南滨路旁，每晚回酒店都能看到夜景，连南山都不用去了。\n就一个事情非常麻烦，超级无敌难打车。不过今年比去年服务有改进，至少有服务生帮忙拦车了，但依然需要等很长时间。\n早餐品种不算多，但是感觉已经够了，多了反而会浪费。还算可口。早餐用餐的地方不大，一般用餐的人也不多，比较安静。\n房间隔音还不错，除了总有人站楼道', '短评打分': 5}
{'短评内容': '酒店综合感觉还可以，但从酒店出去打车非常难打', '短评打分': 1}
{'短评内容': '位置非常好，朝天门对面，紧靠长江，靠马路的房间绝对是江景房。不进市区的话，交通非常方便。周围只有饭店，其他商业较少。\n早餐就一般般了，不过味道还行。', '短评打分': 5}
{'短评内容': '酒店不错，干净、卫生，服务态度也很好，本次订的豪华标间，超大，值得！\n\n不过早餐太单调，所谓的江景房也没啥风景可看。', '短评打分': 5}
{'短评内容': '当时订的是凯瑞酒店，因为酒店联系没热水就重新电话委托客户，客服推荐的华尔斯，如果不是到市中心旅游的客人入住，华尔斯还是不错的选择，小巧干净，吃饭的话步行5分钟之内周围有桥头火锅和德庄火锅，还有几家川菜，对面就是朝天门码头，总的来说还行。', '短评打分': 5}
{'短评内容': '位置好，条件好，只不过2012年涨价了。', '短评打分': 5}
{'短评内容': '不错，环境很好，价格也不错，会经常来的，总之就是不错的', '短评打分': 5}
{'短评内容': '   酒店在南滨路上，离南坪步行街10分钟的路程，对面就是解放碑夜景很美，酒店很有档次，值得一住。', '短评打分': 3}
{'短评内容': '环境很好，周围很漂亮，有档次，还很便宜，非常好', '短评打分': 5}
{'短评内容': '设施不错 服务也挺好的 但商务套间卫生间洗手台太小 没有窗  但对得起价钱', '短评打分': 5}
{'短评内容': '特价房很划算，早餐还可以；但是交通不方便，很难打车，附近也没有商业和小饭馆，只有比较大的饭店，便餐只能在酒店吃', '短评打分': 5}
{'短评内容': '整体来说该酒店还是可以，地理位置比较清静舒适，风景漂亮，就是搭乘出租车不太方便，服务态度不是很好哈！', '短评打分': 5}
{'短评内容': '性价比高，方便，清静，就是房间内有厨房的味道', '短评打分': 5}
{'短评内容': '位置较偏，酒店又没有叫车服务，也不能预定火车票，不方便。房间太小，没有四星的感觉。', '短评打分': 1}
{'短评内容': '这家酒店很不好，房间的地毯很脏，墙纸发霉，服务员不热情，但是客房的大姐比前台的热情的多。保安也不是保安。就在那玩，大堂副理更不像是大堂副理... 悲哀啊 交通不方便 房间抽屉还有发丝  报个维修等了几个小时都没来修， 再也不会住那里了', '短评打分': 1}
{'短评内容': '早餐太简单了,房间里放置的包装食品早就过期.', '短评打分': 1}
{'短评内容': '还可以，还可以，还可以，还可以，还可以，', '短评打分': 5}
{'短评内容': '不错~128的房间完全出乎意料~性价比很高~', '短评打分': 5}
{'短评内容': '以怀疑价格的心理来入住这家所谓的四星级酒店，果然不出所料，廉价连锁酒店都它贵是正常的。因为它的房间，小得几乎不能转身。', '短评打分': 1}
{'短评内容': '一家小酒店，位子不错，价格合理', '短评打分': 3}
{'短评内容': '住宿环境相当好,早点也很丰富', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '，感觉很卫生舒适的酒店，但走廊的隔音效果不太好。', '短评打分': 3}
{'短评内容': '性价比高 交通方便 风景也好 推荐推荐！', '短评打分': 5}
{'短评内容': ' 四川华尔斯饭店，总体来说：不错！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境安逸舒适，酒店服务业很不错，多多推广。', '短评打分': 5}
{'短评内容': ' 不错，房间舒适，安静，南滨路夜景漂亮。', '短评打分': 3}
{'短评内容': '房间的装修卫生还不错，酒店的位置也是挺好找的，服务态度也挺好的，价格的话还比较合理不过应该再便宜些。', '短评打分': 5}
{'短评内容': '我是入住的128元的商務房，衛生間比較小，不過也對得起這個價格呀~非常乾淨，價位適中，下次一定還選這一家酒店。', '短评打分': 5}
{'短评内容': '酒店的房间很宽敞，也能看见美丽的江景，总的来说很不错。可以打九十分！', '短评打分': 3}
{'短评内容': '很好  很棒  很豪华  很像四星级的酒店  里面的马桶特别好，  就是位置有点偏僻', '短评打分': 5}
