{'短评内容': '位置优越 安静', '短评打分': 4}
{'短评内容': '房间太小了，卫生间也特别小，三天都没有给打扫卫生，拖鞋需要换也是自己去前台要的，前台服务一点也不热情，感觉很不好', '短评打分': 3}
{'短评内容': '房间设施年纪比较大了，但还是挺干净的', '短评打分': 5}
{'短评内容': '阳台大空调声音很大，正对床头，之间为一层玻璃门，非常吵，整个晚上吵得无法入睡。', '短评打分': 2}
{'短评内容': '升级了房间，除了房间比较小，设施旧，其他的服务还不错，最主要是离清心堂比较近', '短评打分': 5}
{'短评内容': '总体不错，比较满意', '短评打分': 5}
{'短评内容': '很&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '订了没入住！不知道怎么样', '短评打分': 5}
{'短评内容': '很爽的体验 地理区位也不错 性价比挺高的', '短评打分': 5}
{'短评内容': '不如两年前入住的体验好，一进去一股霉味，厕所都没有移动门。', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置很好，距离几个博物馆都很近', '短评打分': 5}
{'短评内容': '酒店前台服务不太热情 爱理不理的 希望改进', '短评打分': 1}
{'短评内容': '除了偏远了点，其他的方面都肥肠的不错。', '短评打分': 5}
{'短评内容': '这个系统有问题，我明明是定的19号入住，系统则自动变成了当天入住，即18号入住，害我19号去上海入住不了，不得不又出钱定了19号的房间，出了两天的钱，只住了一天，还不退还我未住那天的钱，气死我了。只赔了我2000个京豆，只能无奈地接授了这价值20元的京豆。无语。', '短评打分': 4}
{'短评内容': '房间太小，其他还行', '短评打分': 4}
{'短评内容': '整体不错，经济实惠，唯一就是离步行街稍微远了点，不过整个芭堤雅也不大！属于正规经济型酒店！和中国的七天旅店品质差不多！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '交通挺便利的，离上海旅游集散中心比较近，走路10分钟左右，挺方便的', '短评打分': 4}
{'短评内容': '出差经常往这里，房间干净，给个赞。', '短评打分': 5}
{'短评内容': '期待酒店的卫生间冲淋设备有所提高。', '短评打分': 5}
{'短评内容': '满屋跑蟑螂……  从来没有住过这么惨的地方儿……  刷新了我对上海酒店的感受……  到了酒店之后看了别人的评价……  我怀疑都是刷的……  明显是连招待所都不如的水平……  太恐怖了……  我再也不会到这里入住了……  携程竟然评分儿这么高还推荐给我……  不知道是不是收了钱了……', '短评打分': 1}
{'短评内容': '交通原因，到上海经常住在这个酒店，出行非常方便，离南浦大桥最近。卫生也搞得不错，服务员态度好，就是房间有点小', '短评打分': 4}
{'短评内容': '真的很小的房间，其他还行', '短评打分': 4}
