{'短评内容': '看到网评比较好就选择了这家酒店,主要价格很吸引人,入住后果然名副其实，酒店员工很热情,无论吃饭还是前台给人很亲切的感觉，很被重视！唯一不足的就是电视效果不好,开启较麻烦！估计是比较陈旧了,建议改善！总而言之物超所值！', '短评打分': 5}
{'短评内容': '值得推荐。酒店的服务很热情，早餐高大上，前台服务很周到，房间很暖和，网络也很快。地理位置优越，停车方便。', '短评打分': 5}
{'短评内容': '位置可以，就是酒店太老了，设备陈旧，早餐很实惠，就是种类太少了，没什么吃的', '短评打分': 3}
{'短评内容': '还不错，隔音不太好，提议把刮胡刀直接添加到客房内', '短评打分': 5}
{'短评内容': '还没去住呢，急什么', '短评打分': 5}
{'短评内容': '屋子有点小，设施还凑合', '短评打分': 4}
{'短评内容': '很好 很贴心', '短评打分': 5}
{'短评内容': '很不错   环境好，服务好！！！', '短评打分': 5}
{'短评内容': '早餐非常棒，房间大，隔音好', '短评打分': 5}
{'短评内容': '环境挺好', '短评打分': 5}
{'短评内容': '房间挺好，环境不错。', '短评打分': 5}
{'短评内容': '很干净，地段也很方便', '短评打分': 5}
{'短评内容': '不错。。。', '短评打分': 5}
{'短评内容': '不错，，，', '短评打分': 5}
{'短评内容': '非常舒服！', '短评打分': 5}
{'短评内容': '朋友介绍的，酒店环境不错，就是房间内的设施差了一些。', '短评打分': 5}
{'短评内容': '挺好的，就是房间有点小。', '短评打分': 5}
{'短评内容': '很好，特别好', '短评打分': 5}
{'短评内容': '发票手撕的，这点不太好，不过自助海鲜火锅还是挺值的', '短评打分': 3}
{'短评内容': '好好好好好，位置，条件，服务，暖气，感觉都好。价格稍高了点。', '短评打分': 5}
{'短评内容': '环境服务都不错推荐', '短评打分': 3}
{'短评内容': '每次去都住这里，各项服务都还说得过去，在赤峰算是不错的酒店了。', '短评打分': 5}
