{'descr': '。', 'star': 5}
{'descr': '。', 'star': 5}
{'descr': '很好，房间很大，但设施有点老，但价格真的很亲民。', 'star': 5}
{'descr': '服务员，挺热情，还漂亮不错，以后就在这了', 'star': 5}
{'descr': '第二次住，挺好，下次还来！', 'star': 5}
{'descr': '干净', 'star': 5}
{'descr': '环境还可以。', 'star': 5}
{'descr': '当大家看到我的这一篇评价时，表示我对产品是认可的，尽管我此刻的评论是复制黏贴的。这一方面是为了肯定商家的服务，另一方面是为了节省自己的时间，因为差评我会直接说为什么的。所以大家就当作是产品质量合格的意思来看就行了。最后祝京东越做越好，大家幸福平安，中华民族繁荣昌盛。', 'star': 5}
{'descr': '网上买东西，就是方便！', 'star': 5}
{'descr': '位置离火车站近。住的家庭房，价位合理，4个人双人1米8大床够大。就是窗户多漏风。有地方停车', 'star': 5}
{'descr': '很不错。。前台服务员也很好。位置也很好北京街站。五一广场站都不远', 'star': 5}
{'descr': '这家宾馆太差了，卫生差，服务差，乱收费，同样的房间多收100元，在携程订的，问责谁都不负责任，100元不算多，我认了，想订的话一定看好在订，差差真是差。相当差的房间要229元，这个价在如家、速8条件比他家强多了。你家是不是太黑了。携程也是电话问询就给打发了不负责任，为什么不会听我们客户了只相信宾馆的。定他家就不用定携程了反到贵，直接去几十就可住。', 'star': 1}
{'descr': '暑假去玩时订的。还行。', 'star': 5}
{'descr': '还可以，价格相对低，性价高，环境好，交通便利，适合驴友出行，家庭亲子出行等活动，我住的房间wifi信号还可以，面积不算太大，但是够用', 'star': 5}
{'descr': '挺不错的，干净便宜。去哪都方便。', 'star': 3}
{'descr': '卫生不错。房间也挺好的', 'star': 4}
{'descr': '位置不是太好，离景色做公交车都没直达的，房间卫生还行每天都有人打扫，热水非常好，但是枕套、床单都泛黄了是不该换了，附近有早市，起早去买东西很划算', 'star': 3}
{'descr': '很棒', 'star': 1}
{'descr': '值得推荐性价比高', 'star': 4}
{'descr': '大连内蒙宾馆，连住两晚客房挺干净。感觉不错。如果直接到柜台订房的话，还能便宜。交通也方便，以后有机会还会去住。', 'star': 4}
{'descr': '价格合理，位置也不错，就是房间小点。', 'star': 5}
{'descr': '装修就不要营业了啊！！！  晚上被电钻搞的睡不着 白天被钻醒', 'star': 1}
{'descr': '宾馆不是在主道上 第一次去不是特别好找 不过晚上睡觉很肃静.有点汉庭那种经济型酒店的风格  可以看出来房间新装新的 挺干净！ 不过比经济型酒店价格却是便宜不少 但服务没有经济型酒店好 坐飞机来的客人千万不要坐机场大巴  比自己打车还贵 一上来就推荐酒店 说你订的酒店不好 不听他的 就不高兴 送到地方得墨迹一个小时 还在大巴上卖景点门票 卖得比酒店里卖的贵了不少 在大巴上报的一日游 导游非常不好 还', 'star': 5}
{'descr': '到大连一直预订他家，交通方便，重新装修后比以前干净，总体来说性价比还行。', 'star': 5}
{'descr': '环境不错也很干净,价位便宜。下次来大连还会光顾。', 'star': 3}
{'descr': '老板很热情  周围有家乐福 永和豆浆等  都很近  距离火车站打车8块', 'star': 5}
{'descr': '是干净,但是不能刷卡,很不方便。', 'star': 3}
{'descr': '周边环境很好很安静，交通也方便，房间整洁舒适，沈阳路对面有个菜场，里面的早点小米粥相当好吃', 'star': 5}
{'descr': ' 环境还行 有独立卫浴 可是拖鞋不是一次性的  还好我们有自备     能有三人间的宾馆毕竟不是很好找  基本满意吧！', 'star': 3}
{'descr': '位置算市中心吧，距离大连火车站、青泥洼商业中心、人民广场等差不多三站地左右，附近有家乐福和华联两个大超市，生活比较方便。酒店周边环境很安静。房间很干净，每天有人打扫。装修应该是比照如家这类经济型酒店，板式家具，液晶电视，简单、朴素、舒适。美中不足是不能打市话。对于预算不多，不要求奢华住宿的，强烈推荐。', 'star': 5}
{'descr': '仓促订了这个酒店，住宿条件很一般，到了酒店看到挂了两星，也难怪了，可是价格可是4星的价格啊。最可气的就是前台的接待人员表情冷漠，对人爱搭不理的，及其不专业。以后不会再住，也不做推荐！', 'star': 1}
{'descr': '酒店环境不错，干净肃静，离哪儿都近，交通方便，唯一不足是不能刷卡~', 'star': 5}
{'descr': '第一  大连的房价真贵呀！ 附近有好几个宾馆 门口打的特价房是很便宜 可是一看房间不是没窗子 就是没卫生间 稍好一点的房间呢  比内蒙宾馆的还要贵  而且条件也没那么好 内蒙宾馆房间新装修的 住着挺舒服的 参加了一个大连精品日游购买老虎滩景点门票才120元 整整比门口便宜了90元 其中就有一个自费项目 坐船  其他的玩的都挺好的 特别是导游服务态度 特别好.上山东也在楼下报的旅游团 玩的也挺好的，', 'star': 5}
{'descr': '真的不很错，离火车站很近。离家乐福超市也超近！很方便。下次来还会住在这里的！', 'star': 5}
{'descr': '第一次来大连，这个宾馆真的很不错，房间宽敞服务人员热情周到。非常感谢！', 'star': 5}
{'descr': '房间还可以 住着挺舒服的  采光不错 屋里很明亮  也挺宽敞的  还不吵   也不是很偏僻离火车站不远', 'star': 5}
{'descr': '还可以，我住的是最便宜的，房间有点下，格局很奇怪，但比这个贵20的，就比较不错。总体还行', 'star': 5}
{'descr': '房间挺宽敞的，里面的床单被罩挺新的问过才知道重新买的挺干净卫生的给我的感觉挺不错的。开车车位的问题也能解决其、宾馆前面有一小亭给五元钱要个票这一夜就放心了。住着挺不错感觉很好。', 'star': 5}
{'descr': '房间很简洁  挺干净  有一种连锁酒店的风格  在前台报的金石滩一日游  因为看了以前的点评 犹豫了很久  不过老板说 先玩后交钱  不满意可以不给钱 而且房钱也可以退  看说的挺不错的 就去了 玩过了之后觉得真不错  过后才知道 原来商务中心换人了  以前是租出去的 现在变成酒店自己的了  所以这点也是挺有保障的', 'star': 5}
{'descr': '我是内蒙人，宾馆老板也是内蒙人感觉特别的亲切，在宾馆买的各个景点的门票都很便宜，老板及服务人员的态度也非常好，总之不枉此行啊！很满意这里', 'star': 5}
{'descr': '网速还可以，房间一般，感觉酒店很简陋，不过价位便宜，还可以吧。', 'star': 5}
