{'短评内容': '酒店位置比较偏僻，但是价格实在，酒店还是很大气！', '短评打分': 5}
{'短评内容': '酒店位置偏僻，早餐种类较少。停车方便，安静', '短评打分': 3}
{'短评内容': '酒店位置比较偏僻，比较安静，周围一片荒芜。停车方便，房间中规中矩，走廊有一些异味，早餐种类少，不过周围几乎没有东西吃。', '短评打分': 3}
{'短评内容': '位置比较偏，房间旧，空间挺大', '短评打分': 3}
{'短评内容': '地方比较安静，就是房间显旧，服务需要再进一步', '短评打分': 5}
{'短评内容': '还没有入住，有待评价！', '短评打分': 5}
{'短评内容': '还没有入住，有待评价！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错不错不错，服务态度好', '短评打分': 4}
{'短评内容': '风景不错，服务态度很好', '短评打分': 4}
{'短评内容': '前台服务有待提高！', '短评打分': 3}
{'短评内容': '史上最差的酒店，设施差，服务更差，晚上去的时候，问路，是个男的接的电话，很不耐烦，到了酒店以后我问为何只收押金200不收房费348，他反问我你到底现付还是预付，我晕了，怎么付订单写的很清楚，自己看不清还问我，我彻底晕了，我以为这个男的更年期，也就没有计较，早上退房，是个女的，问她早餐地方更是非常不耐烦，价格这么高服务这么差。', '短评打分': 1}
{'短评内容': '还行吧，还行吧，还行吧，还行', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '入住当天下午跟酒店通电话说好正在赶过去的路上，因高速公路赛车迟些到酒店，酒店就把我们在携程原订好房间给取消。另外安排我们像是平时没客人住房间，低楼层满房间一股烟味，床头灯上挂满蜘蛛网，坐厕水箱水制坏掉整晚漏水，枕头两个但只有一个有套，问前台也给不出，早餐太差劲… 跟春节期间我们进住时，无论在管理和卫生相差甚远，以后在不~~', '短评打分': 3}
{'短评内容': '房间冲凉热水不热、没有暖气，服务态度一般。', '短评打分': 1}
{'短评内容': '很好，清静，', '短评打分': 3}
{'短评内容': '挺不错的酒店！好！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店在福新开发区内，离市区有一段距离，较偏僻，也不算好找，因此很安静，有很多车位，非常适合自驾的朋友入住。我入住的湖景大床房房间够大，设施齐备，干净整洁，有一个挺大的阳台，外面的空气和景色都不错。就是早餐花样少的可怜，而且几乎全素，也许适合减肥人士吧，希望能有大幅度提高，否则不配四星的标准啊。', '短评打分': 5}
{'短评内容': '酒店设备太陈旧 大堂连服务生都没有附近KtV声音太大房价不值', '短评打分': 3}
{'短评内容': '帮朋友订的，听说硬件很好，后来听朋友说酒店除了早餐很一般外，其他都满意！', '短评打分': 5}
{'短评内容': '环境可以，服务一般，早饭极差', '短评打分': 3}
{'短评内容': '酒店环境挺舒服，度假村形式的，距离万绿湖开车大概20分钟左右吧，也算方便，最理想的是我带父母去，那里不吵，空气也好，我们定的池景房，对着泳池，感觉很舒服。就是中餐品种少了些，服务比较一般，感觉都是实习生。', '短评打分': 5}
{'短评内容': '价低服务好,环境好,就是位置偏', '短评打分': 3}
{'短评内容': '因为不满意银发的酒店环节，匆忙中定了福新。\n酒店较新，设施参照5星，但不能与五星对比，软件服务方面就有待提高。离市区较远，打的30元，不打表。其实地图也就是6公里。周边是一个新型工业区，也就是福新工业区。里面有国际中心和工厂之类的。外景比较舒服，远离市区，安静舒适。\n赠送的早餐不敢恭维，简单到离谱。\n', '短评打分': 5}
{'短评内容': '装修很不错，房间的设备和洗漱用品很齐全，很周到。有个观景阳台，让人心旷神怡。', '短评打分': 5}
{'短评内容': '酒店较新，设备完善，但地理位置较偏', '短评打分': 3}
{'短评内容': '住得挺好的，环境也不错，就是早餐很不好，样式太少了，味道也不好，希望酒店加强。', '短评打分': 3}
{'短评内容': '性价比挺高的酒店，房间硬件齐全，服务很到位，就是位置有些偏，其他都蛮好的', '短评打分': 5}
{'短评内容': '入住的福新酒店，根本达不到准五星标准，房间像七天连锁，简洁，服务生欠缺酒店培训，早餐筒单到极点，而且仅一壶茶水供应一大厅，', '短评打分': 3}
{'短评内容': '酒店距离市区有些远，但住宿环境蛮好的，设施很新很齐全，卫生条件好，住着很舒服', '短评打分': 5}
{'短评内容': '酒店总体感觉还不错，有个很大的游泳池，设施也挺好。', '短评打分': 3}
{'短评内容': '环境还好，挺安静的，房间里也挺干净，设施方面也比较新，住起来还比较舒适。', '短评打分': 5}
{'短评内容': '打车不是很方便,位置有点偏,自驾更为方便一些,其它各方面也很好.', '短评打分': 3}
{'短评内容': '很多都较新的，配套快点完善就好了', '短评打分': 3}
{'短评内容': '+没去住，不好找，GPS找不到。', '短评打分': 5}
