{'短评内容': '很好，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，。', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '这边没早餐，酒店位置还可以。', '短评打分': 4}
{'短评内容': '这个价位还可以吧', '短评打分': 4}
{'短评内容': '卫生干净，很舒适透气', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '房间小了的其他挺好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '整体蛮好的', '短评打分': 5}
{'短评内容': '环境还可以，就是房间设施缺少了一些', '短评打分': 4}
{'短评内容': '经济实惠型，交通方便快捷。对面就是汽车站', '短评打分': 3}
{'短评内容': '一般。服务人员貌似搞不清网购。网上交了88担保金还让交100押金，哎，这样还网定有啥必要呢。', '短评打分': 3}
{'短评内容': '好，，，，，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '还是不错的宾馆，干净卫生，无线网也非常好。', '短评打分': 3}
{'短评内容': '房间有点小，不是很干净，位置还可以，周围热闹，离火车站近，汽车站就在对面', '短评打分': 4}
