{'短评内容': '老酒店，真的很一般。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店环境好，服务周到，交通方便，网上预订价格很实惠', '短评打分': 5}
{'短评内容': '价格合适，吃的地方不错', '短评打分': 5}
{'短评内容': '还不错，就是比较旧。楼下有小吃街', '短评打分': 5}
{'短评内容': '环境不错，卫生很好', '短评打分': 5}
{'短评内容': '酒店周边交通比较方便，服务很好，早餐不错。酒店设施很新，用起来方便。', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '还行，比较老式，商务出行性价比还可以。', '短评打分': 5}
{'短评内容': '环境优美，服务热情，下次还会入住。', '短评打分': 5}
{'短评内容': '不值', '短评打分': 3}
{'短评内容': '空间大，床品舒适！', '短评打分': 4}
{'短评内容': '环境一般，服务一般，不过家附近方便，', '短评打分': 5}
{'短评内容': '希望价格一直能控制在400元内已经多次入住该酒店了，有档次，设施齐全，交通方便。早餐丰富，就是有时价格稍贵了点。', '短评打分': 4}
{'短评内容': '酒店服务特别周到，房间很大，很干净，非常棒！', '短评打分': 5}
{'短评内容': '位置很好，不错的酒店，让人有宾至如归的感觉，干净舒适，下次还住', '短评打分': 5}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '房间很大，书桌上还有贴心的小文具盒，酒店边上有很多排挡式餐厅。', '短评打分': 5}
{'短评内容': '干净，服务好，唯一缺点就是交通偏差！喜欢安静的选择这里不错！', '短评打分': 5}
{'短评内容': ' Otel konstrukxii onteresmoi eshe priedu.', '短评打分': 5}
{'短评内容': ' Xoroshii otelchik priedim kak nibut', '短评打分': 5}
{'短评内容': '很好，就是每次都说外宾不能入住这点。。。。。。很烦。。。。希望跟酒店说说。。。', '短评打分': 5}
{'短评内容': '环境不错，交通便利，房间及酒店内部公共区域干净卫生', '短评打分': 5}
{'短评内容': '住过几次，房间设施稍旧，但在附近这家算不错的', '短评打分': 3}
{'短评内容': '房间大，干净，整洁，并且比较清静，不错的酒店。', '短评打分': 3}
{'短评内容': '酒店服务不错，早餐也可以，就是交通不方便，很难打的到车，早上退房人比较多，时间会稍微久一些！', '短评打分': 5}
{'短评内容': '酒店还行，宽敞，离广州近，但周边比较冷清！刚入住，还没品尝早餐，还不知道，服务员态度挺好，不错不错，比较负责，房间外面就是天井，有点像宿舍的感觉，但房间装修比较新颖，虽然房间有电脑一体机，但是需要收费的，好在自己带了电脑，不碍事！', '短评打分': 5}
{'短评内容': '性价比高/卫生好/房间大/服务尚可/隔音很差,楼道讲话房中听的清楚.没有吹发机.', '短评打分': 5}
{'短评内容': '房间不错，就是周围环境有点吵', '短评打分': 3}
{'短评内容': '交易会期间有车接送，还是挺方便的。。。。。。。。', '短评打分': 5}
{'短评内容': '不过不失，性价比不错，不过酒店退房特别慢！\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间挺大，里面挺安静的，但后面貌似是钢材交易市场，晚上卸货就有点吵。早上的自助餐品种太少，而且不新鲜，介个就。。。呵呵总体来说，还可以。', '短评打分': 5}
{'短评内容': '不过不失，性价比不错，不过酒店退房特别慢！', '短评打分': 5}
