{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '去', '短评打分': 5}
{'短评内容': '重新换了装饰和地毯，出差一直都住这儿，干净卫生。每天还送水果。', '短评打分': 5}
{'短评内容': '还不错 地理位置不错', '短评打分': 4}
{'短评内容': '还不错 地理位置不错', '短评打分': 5}
{'短评内容': '位置不错，酒店服务一般，房间不大，', '短评打分': 5}
{'短评内容': '&quot;\n酒店真的不错。环境很好，客房设施齐全，干净卫生。酒店服务快速响应&quot;', '短评打分': 5}
{'短评内容': '不太满意服务员送个水果直接就开门进来了不会敲门吗', '短评打分': 3}
{'短评内容': '还没使用怎么评价，等住过之后追评', '短评打分': 5}
{'短评内容': '很不错，就在附近', '短评打分': 5}
{'短评内容': 'jjkkkklljjkkkklljjkkkl', '短评打分': 5}
{'短评内容': '很快', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店地理位置方便，卫生也不错！', '短评打分': 5}
{'短评内容': '在携程订的房间，前台服务很不好', '短评打分': 4}
{'短评内容': '还可以！', '短评打分': 5}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '很一般，没有性价比没有性价比呀', '短评打分': 3}
{'短评内容': '服务好，交通便利。房间隔音较差。能听到楼上的水声。', '短评打分': 5}
{'短评内容': '虽然老酒店，还是不错。', '短评打分': 5}
{'短评内容': '出门口就是三峡广场，很热闹，旁边还有新奥尔良烤鸡翅（一对老头、老太在烤）', '短评打分': 5}
{'短评内容': '功能还可以，水挺大，就是家具很旧，总体还可以。', '短评打分': 3}
{'短评内容': '见过差的三星级，但没哟见过这么差的，房间里一塌糊涂，居然还要这么高的价格，完全是一个老国营企业爱住不住的感觉，服务员也是爱搭不理的，这种酒店，永无第二次选择', '短评打分': 1}
{'短评内容': '已入住，一般', '短评打分': 3}
{'短评内容': '沙坪坝重庆大酒店不错，闹中取静。', '短评打分': 3}
{'短评内容': '裝修的確很舊，不過地段好，服務態度也挺好的。', '短评打分': 5}
{'短评内容': '设施一般，服务不错，比较标准的3星酒店。', '短评打分': 5}
{'短评内容': '標間爛又老舊, 施工環境很差, 地板都是泥塊...這種房間不應該賣的...\n裝修好的就還可以...', '短评打分': 1}
{'短评内容': '设施太旧了，价格也不低。服务质量也不行，办事较慢。', '短评打分': 1}
{'短评内容': '地段好，但设施太旧。', '短评打分': 3}
{'短评内容': '酒店的名字很是响亮，但总体来说还是可以，就是里面的设施太旧了，第一感觉不是很好，标准间床很小，酒店早餐还可以，', '短评打分': 1}
{'短评内容': '条件一般，服务还是不错的，处于市中心地带，购物很方便。', '短评打分': 5}
{'短评内容': '给朋友订的房间，详情不好问朋友。不过我知道这个酒店是比较老的了。', '短评打分': 5}
{'短评内容': '设施陈旧，性价比不高，厕所有异味，优势在于地理位置好。', '短评打分': 1}
{'短评内容': '酒店位置好，安静、整洁，观景餐厅处有露天茶座', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '装修较老,设备很旧,总之,性价比不高', '短评打分': 3}
{'短评内容': '位置很不错，房间干净卫生，价格适中，值得一住！22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222', '短评打分': 5}
{'短评内容': '，重庆大酒店，客房太差。达不到三星的要求，酒店太老了，设施陈旧。差差差', '短评打分': 3}
{'短评内容': '我已入住，房间还行。', '短评打分': 3}
{'短评内容': '酒店招牌不显眼，转了好久才找到，环境不好，但逛街位置还可以，在三峡广场旁边。', '短评打分': 1}
{'短评内容': '周边交通方便。房间设施较为完善，美中不足是1608房写字台边电源插座位没有，不方便电脑使用。', '短评打分': 5}
{'短评内容': '总体来讲还不错，只是停车位少了点。不过工作人员会帮你停车。早餐还不错。如果酒店能重新装修一翻会更好。', '短评打分': 5}
{'短评内容': '一般都会选择推荐，在沙坪坝地区比较方便。', '短评打分': 5}
{'短评内容': '此酒店在沙坪坝的中心地带，附近出租车挺多的，顶层餐厅饭菜还算可口便宜', '短评打分': 5}
{'短评内容': '很老的三星级酒店,地理位置非常好,在沙坪坝的中心商业区,周边吃饭购物都很方便!', '短评打分': 5}
{'短评内容': '早餐太差', '短评打分': 3}
{'短评内容': '空调还不错 就是太旧了 而且面对马路 很吵很吵 隔音差', '短评打分': 1}
{'短评内容': '太旧了 实在太久了 感觉身在20年前的招待所 隔音也黑撇', '短评打分': 1}
{'短评内容': '交通便利，临近商圈，房间设施有点旧，但价格还算合理。', '短评打分': 5}
{'短评内容': '酒店还不错，主要是位置很好，设施基本也还算可以，如果早餐做的更好就好了。', '短评打分': 5}
{'短评内容': '房间太老久,衣柜都要散架了,浴室看起来很脏,交通很不方便,打的都很难!', '短评打分': 1}
