{'短评内容': '还好吧，就是没洗手间不太方便', '短评打分': 5}
{'短评内容': '价格合适，前台服务好。最值得表扬的是：配备洗衣机和烘干机。马上洗，三个小时就可以穿走。并且烘干出来的衣服根本就不需要熨烫。非常好，直接订了两天。', '短评打分': 5}
{'短评内容': '住一两天还可以，住三天以上不推荐', '短评打分': 5}
{'短评内容': '好，住的很舒服，唯一就是有点吵', '短评打分': 5}
{'短评内容': '酒店环境好，服务佳，经常出差，第一次住这里，感觉不错，前台及卫生保洁做的服务细致，安排叫醒及时周到。', '短评打分': 5}
{'短评内容': '还不错。房间也算有可以。性价比还好', '短评打分': 4}
{'短评内容': '离地铁站近 出差住比较方便 价格还是偏高 房间不大 装修简单 还算干净 就是在马路边 不是很安静 总体一般吧', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '北站附近性价比较高的酒店，每次坐高铁都住这儿！', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '每次深圳龙华出差，首选酒店。位置好，性价比高', '短评打分': 4}
{'短评内容': '位置方便，但行李箱多就不方便，有車接送往反北站的話會更好', '短评打分': 4}
{'短评内容': '离高铁站近，交通方便，干净。', '短评打分': 4}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '环境还可以，主要是离北站挺近的，赞一个', '短评打分': 5}
{'短评内容': '性价比高，离高铁站近', '短评打分': 5}
{'短评内容': '较周边酒店便宜，但餐费很贵', '短评打分': 3}
{'短评内容': '优点：酒店里面装修很，很安静，酒店服务很好，位置也比较容易找到，离深圳北站真的很近很方便，价格也比较实惠了，晚上可以去广场上转转很好。\n缺点：房间里面就是少了一张坐的椅子，只有一个塑料凳子，很没有档次，楼下附近吃饭也不是特别的方便。\n对于我们工薪阶层来说，比较实惠，下次有朋友来还是会介绍这里的。', '短评打分': 5}
{'短评内容': '酒店房间硬件和价位基本搭配，但房间细节做得不够好，基本满意。', '短评打分': 3}
{'短评内容': '不错，性价比很好，还有早餐', '短评打分': 3}
{'短评内容': '感觉一般  也就那样了 但是房价在那里 离市区比较远', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '价格很便宜的酒店，卫生和设施都不错，周边交通也很方便.', '短评打分': 5}
{'短评内容': '还可以。\n蛮安静的，卫生也还可以。\n      。。。。。。。。\n。。。。。。。。\n。。。。。。。。。。。。。\n。。。。。好。', '短评打分': 5}
{'短评内容': '房间卫生清洁，感觉很好！离深圳北站很近，很方便～～～～', '短评打分': 5}
{'短评内容': '性价比高，位置上比较方便。\n不满；地面不够干净。', '短评打分': 5}
{'短评内容': '环境还可以，但前台小姐素质太差，与酒店根本不搭配，找到这样的小姐是他老板的悲唉！', '短评打分': 1}
{'短评内容': '  此酒店确实令人满意!这样低价有星级设施,希望有全国连锁店.', '短评打分': 3}
{'短评内容': '每次都会住这里，挺好的。', '短评打分': 3}
{'短评内容': '性价比高。住的方便，干净。服务也不错！我经常住此酒店。\n', '短评打分': 5}
{'短评内容': ' 很喜欢。推荐！房间大小合适，有早餐很好。我已经入住多次。', '短评打分': 3}
{'短评内容': '性价比高。卫生好。环境不错！一楼有龙苑酒楼吃饭很方便！\n有早餐很好！', '短评打分': 5}
{'短评内容': '不错，这个价位，这个环境，这个硬件，这个软件，在深圳都算不错的了。', '短评打分': 5}
{'短评内容': ' 早餐还可以相对于免费的价格来说，房间宽敞舒适，但是热水不稳定，早上一直很凉。电梯和走廊过道潮湿闷热不透气', '短评打分': 3}
{'短评内容': '价格实惠，还有早餐，很不错！\n\n最大的问题是没有窗户的单人间有很大异味，建议酒店想办法处理下！', '短评打分': 5}
{'短评内容': '性价比比较好，早餐不错，房间有点小，比较干净。交通不是很便利。', '短评打分': 5}
{'短评内容': '经济实惠，交通也比较方便，提供早餐，总体还不错！', '短评打分': 5}
{'短评内容': '还好吧，第一次去住。干净。129的房间没有窗户，赶紧有点闷。', '短评打分': 5}
{'短评内容': '性价比很不错的宾馆，房间好像是新装修的，卫生条件蛮好的，干净整洁，酒店附近有公交车，出行还算方便，服务也不错', '短评打分': 5}
{'短评内容': '房间打扫的很干净，毛巾，浴巾摆放整齐，用起来很柔软也很干净，床品和卫生间收拾的不错，住着蛮放心的', '短评打分': 5}
{'短评内容': '酒店都还不错，就是网络不方便。没有无线网，有线的又用不了！我都住两会了，自己带的电脑一次也没用上！', '短评打分': 5}
{'短评内容': '价格很便宜的酒店，卫生和设施都不错，周边交通也很方便', '短评打分': 5}
{'短评内容': '性价比不错，但新装修，还有味道.另外早餐确实不怎么样，不过考虑到这价格还提供早点就不说了。', '短评打分': 5}
{'短评内容': '设施和卫生都还行，酒店的位置离我办事很近附近公交车很方便但是距离地铁站有些距离，价格还行，服务态度一般可能我去的时候天也冷了要求加被也是没有多余的被褥就没办法加这个就是挺不好的。', '短评打分': 5}
{'短评内容': '酒店很一般，价格很便宜，卫生和设施都还好，出行比较方便', '短评打分': 3}
{'短评内容': '安静，可是早餐很少，不好吃。\n晚上睡觉时比较吵、空调声音太大，床头灯照眼。\n可是很新，很干净。', '短评打分': 5}
{'短评内容': '地理位置上佳，房价实惠，非常值得推荐。尤其是写字楼正在招商，估计用来开公司是个实惠的地方。', '短评打分': 5}
{'短评内容': '还不错，性价比比较好。只是位置不太好，不方便打的', '短评打分': 5}
