{'短评内容': '还可以吧！', '短评打分': 5}
{'短评内容': '非常好很干净', '短评打分': 5}
{'短评内容': '一般般吧可以', '短评打分': 4}
{'短评内容': '挺好，不错', '短评打分': 5}
{'短评内容': '有停车地方', '短评打分': 5}
{'短评内容': '位置挺好的', '短评打分': 5}
{'短评内容': '房间有点小，但是周边环境不错，交通便利', '短评打分': 3}
{'短评内容': '交通太方便了', '短评打分': 5}
{'短评内容': '很便宜，跟经济', '短评打分': 5}
{'短评内容': '非常周到', '短评打分': 5}
{'短评内容': '我不想说太多。总之差之又差', '短评打分': 1}
{'短评内容': '酒店设施还不错，服务质量也还说得过去，但就是房间确实有点小了，而且隔音超不好的。', '短评打分': 5}
{'短评内容': '房间太小，设施简单，是原来速8后改的，', '短评打分': 3}
{'短评内容': '原来是速8改过来的,设施很一般,价格又贵', '短评打分': 1}
{'短评内容': '位置不错，酒店整体水平一般，隔音效果差，这个酒店以前就是速8酒店。  ', '短评打分': 5}
{'短评内容': '整体还不错，挺干净，温馨。。。还不错的说。。。。', '短评打分': 5}
{'短评内容': '就是速8，非要叫什么“国际酒店”，蒙人。', '短评打分': 1}
{'短评内容': '，给的消费卷在什么时候可以用的？', '短评打分': 3}
{'短评内容': '房间还算干净，价格相对房间贵了，隔音不好。', '短评打分': 3}
{'短评内容': '酒店价钱合理，环境干净整洁，交通也是非常方便，不错。', '短评打分': 5}
{'短评内容': '这个酒店的服务还是很周到的，环境卫生也是很干净的。下次还会选择这个酒店。', '短评打分': 5}
{'短评内容': '很好，很干净，很舒服，设施比较新。离市内很近。交通方便，以后还会来', '短评打分': 5}
{'短评内容': '去大连出差正逢啤酒节，经济型酒店价格全线飙升，是平时价格的两倍还多，吓人呢', '短评打分': 5}
{'短评内容': '地理位置和房间条件很好，很超值。有多住了几日，值得推荐！', '短评打分': 5}
{'短评内容': '地理位置优越，房间条件很好，很超值。值得推荐！', '短评打分': 5}
{'短评内容': '离公司近, 干净, 但有点吵闹, 下次还能来吧', '短评打分': 5}
{'短评内容': '酒店连吹风机都没有提供.隔音也不好。。。。。。。', '短评打分': 5}
{'短评内容': '比较干净，但门市特价房价格竟比预定的便宜30元。？？？', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '房间还行，但是床上竟然有几根长头发', '短评打分': 3}
