{'descr': '还行吧，什么都有，挺齐全的，', 'star': 5}
{'descr': '不隔音！唉！', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '很满意的一次入住哈哈哈', 'star': 5}
{'descr': '七天越来越差了', 'star': 3}
{'descr': '酒店比想象中离火车站略远 中途经过步行街 周边还算方便 晚上整条街变成了夜市 吃喝玩乐很是惬意 老楼改造房间墙上有很多裂缝 看上去有点瘆人 其它住起来还是熟悉的7天 熟悉的味道', 'star': 5}
{'descr': '电视不能看 而且半夜停电', 'star': 5}
{'descr': '不错，房间挺干净的，设施设备也齐全，交通方便，周围吃饭购物也很方便，总体来说是很好的,各方面服务都蛮好的，会一直坚持用携程，各方面都挺好的', 'star': 5}
{'descr': '整体感觉非常好，市中心位置，交通特别便利，离火车站非常近，地理位置非常好，购物吃饭出行都特别方便，有自己的停车场，停车挺方便的，房间面积非常大，住着很舒服，房间干净整洁，卫生状况好，窗户也很大，服务很热情，重要的是价格合理，性价比非常高，好评，值得推荐！非常不错！', 'star': 5}
{'descr': '十分满意！', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '一般前台长得不错', 'star': 5}
{'descr': '很好，很舒服', 'star': 5}
{'descr': '嗯很优惠很好 喜欢', 'star': 5}
{'descr': '可以可以的', 'star': 5}
{'descr': '还可以。。', 'star': 5}
{'descr': '距离第一医院挺近，商业区有点远，不过设施挺齐全的，早餐有点简单不过价格在那摆着呢，还算可以总的来说，，', 'star': 5}
{'descr': '房间太脏，太冷，空调不管事', 'star': 1}
{'descr': '不错，挺不错的，', 'star': 5}
{'descr': '不错，我喜欢。干净整洁，舒适满意！', 'star': 3}
{'descr': '不错，住着挺舒服！！！！', 'star': 3}
{'descr': '我和同事定的经济房，没牙刷没牙膏没肥皂，虽然我住的酒店不多，第一次见经济型酒店就没牙刷牙膏的，40块钱的旅舍我曾经住过还有牙膏牙刷，，，，我住三楼，窗户都不能上锁，下面有图，门没办法反锁，窗口还不能锁，我那个女同事都不敢住三楼。房间的设施吧，跟其他的酒店差不多，但是我住的303墙面上就比其他酒店差了，电视不清晰，一半的电视都是屏幕上都有雪花，网速就不要提了，我基本上一整天都在酒店，这网速连手游都登', 'star': 3}
{'descr': '价格合适，晚上会员送牛奶。就是没有洗漱用品和香皂不方便！', 'star': 4}
