{'短评内容': '还可以啦，就这个价位嘛', '短评打分': 4}
{'短评内容': '就是退房时间12点有点早，原本还打算要中午休息下的，我觉得退房时间可以根据个人的需求做下调节，没必要定那么死板。', '短评打分': 4}
{'短评内容': '未提供酒店一次用品', '短评打分': 2}
{'短评内容': '很好很好很好很好很好很好很好很很好很好很好很好好很好很好很好很好很好很很好很好很好很好很好很好很好很好很很好很好很好很好好很好很好很好很好很好很很好很好很好很好很好很好很好很好很好很好很好很好好很好很好很好很好很好很好很好很好很好很好很好很好很好好很好很好', '短评打分': 5}
{'短评内容': '房间一般，停车在酒店门口', '短评打分': 5}
{'短评内容': '环境不错服务也不错很棒的啦', '短评打分': 5}
{'短评内容': '酒店挺干净的，隔音也还好 服务也不错', '短评打分': 5}
{'短评内容': '大堂还挺不错的，比较大气，房间整体还是可以，性价比也算是很高的了，  就是周边吃的不多，要走一段路了', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '和图片不一样，1、5的床，有点窄。浴室设计不合理。浴室里没有提供沐浴露等物品，没有免费的牙刷，这个是我想不通的，都叫酒店了还没有配套的。', '短评打分': 4}
{'短评内容': '还不错吧，离办事的目的地很近，出行也很方便。就是牌不显著，晚上回来，不好找。用餐再丰富方便些会更好。', '短评打分': 5}
{'短评内容': '满意，房间比较大，设施看着也比较舒服，酒店也还比较新，性价比非常高，价格不高但是房间质量不错。离办事的目的地很近，出行也很方便。', '短评打分': 3}
{'短评内容': '设施齐全，环境还可以，服务很好，比较舒适！', '短评打分': 5}
{'短评内容': '家人说', '短评打分': 5}
{'短评内容': '不够便捷，去的人一定要带上全套', '短评打分': 3}
{'短评内容': '价格合适，环境不错，有WIFI总体性价比较高。', '短评打分': 3}
{'短评内容': '一般，跟我平常前台定的房间不同', '短评打分': 3}
