{'短评内容': '房间很不错，这个价位在海宁已经很非常合理了。物超所值。', '短评打分': 5}
{'短评内容': '很好的酒店，', '短评打分': 5}
{'短评内容': '很好的体验', '短评打分': 5}
{'短评内容': '酒店位置离皮革城很近，环境，服务态度一般，房间设施一般，较干净，唯一大的缺陷，没有宾馆专门停车场，停车较麻烦', '短评打分': 4}
{'短评内容': '酒店不错，周边安静，就是晚上空调声音太大', '短评打分': 5}
{'短评内容': '酒店位置挺便利的，就是没有早餐提供啊！', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '酒店环境不错，价格也很给力，离皮革城和银泰城都很近，不错。', '短评打分': 5}
{'短评内容': '酒店太陈旧', '短评打分': 4}
{'短评内容': '这个价格还是满意的', '短评打分': 4}
{'短评内容': '总体来说还可以', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店性价比很好，千万不要住特价房，酒店所谓的特价房真坑爹啊，原来特价房是在五楼，整个楼层有无数个麻将房，还有人在做饭，貌似还有会议，楼道里面还有自行车，麻将声音，大声的关门声音等等，有点像破烂市场！楼道能吵死你！！！下次不会再住这家，', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '电视不能看没有刮胡刀', '短评打分': 2}
{'短评内容': '价格与实际误差太多', '短评打分': 3}
{'短评内容': '水不干净，发黄，地漏堵了，不推荐', '短评打分': 3}
{'短评内容': '还可以了,位置稍微有点偏，离皮革城很近，离客运中心也不远', '短评打分': 5}
{'短评内容': '还可以，就是人少，太偏。房间满大的、、到汽车站近', '短评打分': 5}
{'短评内容': '，酒店房间环境差，还有蚊虫。', '短评打分': 3}
{'短评内容': '环境还行，但是感觉地毯和毛巾有点不太干净', '短评打分': 5}
{'短评内容': '宾馆位置不错，离皮革城很近，交通很方便，房间挺好。早点不错，房间点餐很方便，下次还来。', '短评打分': 5}
{'短评内容': '周围环境不好，晚上车子过往的声音非常大。房间里的装修一般，甲醛味道非常重，呛得人头晕。床单枕套上有头发，一看就没洗过。这个季节没有空调，房间温度较高。值得表扬的是，早餐极差，差到极点了！！！有助于减肥！早餐品种少，质量差！举例来说，煮鸡蛋的蛋黄外有一层是绿色的，一看就是隔夜的。碟子碗筷也不干净。就餐环境也差。总之各种各样的不好！！！只有前台的小胖哥态度还算不错，戴副眼镜，斯斯文文，一看就是高学历。', '短评打分': 1}
{'短评内容': '房间环境还可以~就是早餐品种太少，2楼中餐口味不错很好吃', '短评打分': 5}
{'短评内容': '酒店为卫生很好，房间设施好，工作人员很热情。', '短评打分': 5}
{'短评内容': '离皮革城比较近，设施一般，中央空调温度低，不过总的来说住住还是可以的，性价比高', '短评打分': 5}
{'短评内容': '设施还可以，酒店比较中庸，离皮革城很近。', '短评打分': 5}
{'短评内容': '房间温度过低，服务态度不好，就餐环境不好，地理位置一般。', '短评打分': 1}
{'短评内容': ' 。酒店服务各方面还可以，如打分只能打7分。', '短评打分': 3}
{'短评内容': '该店住宿条件还可以,就是周边没有商业区,很偏僻的开发区没有配套设施跟上去...准备要换地方...', '短评打分': 3}
{'短评内容': '第三次住了。酒店在海宁市中心外的郊区，适合自驾游买皮衣的客人歇一夜。酒店下面就是停车场，酒店离皮革城开车就5分钟。酒店的中餐馆很具规模，旁边还有商务咖啡馆可以喝咖啡吃套餐。酒店内部的硬件条件比一般的快捷酒店略好，但房间很大。缺点是没有宽带，这么新的酒店居然没有宽带，很奇怪。', '短评打分': 5}
{'短评内容': '不错，值得推荐', '短评打分': 3}
{'短评内容': '整体还不错，就是有点吵，早饭也有点寒酸。', '短评打分': 5}
{'短评内容': '挺干净，但是很吵，下面空调主机一直运行，整晚感觉车子发动的声音，决定明天换宾馆。', '短评打分': 5}
{'短评内容': '早餐东西很少，没水果，点了蚊香还有蚊子，8楼，外面还有青蛙叫，很吵', '短评打分': 1}
{'短评内容': '硬件还行，管理未跟上', '短评打分': 3}
{'短评内容': '不错 ，干净，就是水小点，值得住，有可能还会来', '短评打分': 5}
{'短评内容': '环境不错，价钱合适，但是距离皮革城有点小远，酒店附近交通有点不是很方便', '短评打分': 5}
{'短评内容': '房间干净，面积也可以，离皮革城也不远，就是吃饭和买东西不方便，吃早餐的地方很冷。', '短评打分': 5}
{'短评内容': '房间干净，房间面积也很大，离皮革城不远，下次还会入住', '短评打分': 5}
{'短评内容': '位置较偏城南，周边餐饮点少，但环境优雅，有不少高档小区,收费不贵', '短评打分': 5}
{'短评内容': '酒店还好，但是洗澡水白天不热，水流很小，实在是让人不能满意', '短评打分': 1}
{'短评内容': '价格合理，环境不错', '短评打分': 3}
{'短评内容': '还行吧。商务型酒店，就是吃早餐的餐厅太冷了，空调不行。', '短评打分': 5}
{'短评内容': '成功入住', '短评打分': 3}
{'短评内容': '环境不错，硬件设施不错，但是晚上不是很安静，可能是楼顶上的中央空调外机的动静。因为在开发区，周围只有很少的公交车，做出租车也不是很方便。饭店的早餐有待提高。', '短评打分': 5}
{'短评内容': '还可以，比较干净，就是电视不知道为什么都是乱七八糟的电台！', '短评打分': 5}
{'短评内容': ' 酒店很好!但买东西不方便', '短评打分': 3}
{'短评内容': '环境不错，服务也不错，管理有一点点小问题！', '短评打分': 5}
{'短评内容': '性价比很高，舒适度很高，档次很高，非常对得起这个价格了', '短评打分': 5}
{'短评内容': '距离海宁皮革城很近，10分钟的路程，酒店房间很时尚，大床也舒适。物品配备齐全，小到订书器都有，只是我住那天说是室外气温没有达到开空调的标准，酒店的中央空调没有，真是很冷。不过总体讲还是不错，推荐。', '短评打分': 5}
{'短评内容': '很好，很干净，早餐也不错，房子很舒服。。', '短评打分': 5}
{'短评内容': '到皮革城很方便，餐厅也不贵，就是周边没有超市买东西不方便', '短评打分': 5}
{'短评内容': '房间设施稍显简单、窗帘的挂设前后位置不对、自来水有怪味。', '短评打分': 1}
{'短评内容': '酒店 非常好 设施齐全 服务态度好  环境好  干净  ', '短评打分': 5}
{'短评内容': '交通方便，地理位置好，周边什么都有 ', '短评打分': 3}
{'短评内容': '非常舒适，坏境很好，卫生间干净，但有点小了。 Good hostel and confortable and the place also quite.', '短评打分': 5}
