{'短评内容': '早餐还可以吧，', '短评打分': 5}
{'短评内容': '早餐一般吧', '短评打分': 5}
{'短评内容': '地理位置还可以', '短评打分': 5}
{'短评内容': '习惯了区他家，性价比在延安来说，算比较高了。还行，继续支持！？', '短评打分': 5}
{'短评内容': '干净方便热情', '短评打分': 5}
{'短评内容': '经常住很满意', '短评打分': 5}
{'短评内容': '还不错，位置方便，离商场公交都近。就在路边。整体还可以', '短评打分': 5}
{'短评内容': '很好 跟评论描述的一样，下回还要住', '短评打分': 5}
{'短评内容': '！！！！！！！！好，干净', '短评打分': 5}
{'短评内容': '出差在延安一直住这家，性价比不错。', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '房间不错，暖气很暖和，睡着舒服，早餐还可以，卫生间毛巾不是很干净。', '短评打分': 4}
{'短评内容': '服务可以', '短评打分': 5}
