{'短评内容': '很好', '短评打分': 5}
{'短评内容': '在京东商城评价商品的话是需要购买以后才会有评价资格的。\r\n如果需要评价商品的话就需要先购买然后评价了，如果是需要了解别人的评价可以直接打开他人的评价列表即可。\r\n商品评价是指生产厂家、商家或者消费者根据具体商品的性能、规格、材质、使用寿命、外观等商品的内在价值设定一个可量化或定性的评价体系，由消费者对商品使用价值进行评价的过程。', '短评打分': 5}
{'短评内容': '位置很好找周围吃饭的地方也多还可以', '短评打分': 5}
{'短评内容': '服务员态度不好', '短评打分': 3}
{'短评内容': '前台服务是出差过程中见过最差的！态度超级差！浴巾上有臭虫！再来烟台出差，永远不住这', '短评打分': 3}
{'短评内容': '可以，普通酒店水平', '短评打分': 5}
{'短评内容': '好好好，便宜干净，各种设施齐全，性价比高', '短评打分': 5}
{'短评内容': '挺好的，就是位置离市区远', '短评打分': 5}
{'短评内容': '不错的选择，已经住了好几次了。因为在附近办事，这是最佳的选择。', '短评打分': 5}
{'短评内容': '性价比一般，没早餐，习惯性住这而已', '短评打分': 4}
{'短评内容': '不错，服务很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行就是电视太老了', '短评打分': 4}
{'短评内容': '酒店还可以，房间很干净，空间也不错。交通一般，周边吃饭的地方比较少，离很多4S店很近，去修车还是很方便的。', '短评打分': 5}
{'短评内容': '住的环境不错', '短评打分': 5}
{'短评内容': '酒店设施不错，卫生条件还算放心，价位合理，晚上很安静，对我来说交通很便利，值得推荐！', '短评打分': 5}
{'短评内容': '相对于其它知名连锁酒店，此酒店性价比高些，卫生条件不错', '短评打分': 5}
{'短评内容': '房间挺好，很干净，前台还留了电话避免我有东西忘记房间里。服务很好，热水很热。总体很满意，推荐。', '短评打分': 3}
{'短评内容': '酒店环境不错 晚上也够安静。就是离机场有点远', '短评打分': 5}
{'短评内容': '酒店很好，很干净。', '短评打分': 3}
{'短评内容': '环境非常好，房间干净，简洁，舒适。很安静，交通还算可以吧，只不过附近要是再有点方便的设施就更好了', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': ' 非常好, 服务热情,安全卫生感觉住的特舒心', '短评打分': 3}
