{'短评内容': '洗手间散发恶臭', '短评打分': 4}
{'短评内容': '位置好，房间设施齐全', '短评打分': 5}
{'短评内容': '不错的环境 很干净 就是Wi-Fi不是很稳～', '短评打分': 5}
{'短评内容': '酒店偏，安静，吃饭可店内解决，味道好，经常接团，硬件设施很好，但被子太厚了，枕头太高了，都落枕了，2晚没睡好', '短评打分': 4}
{'短评内容': '酒店是独立的一个酒店，在离街区300米外的一个荒凉地，不过安静。吃饭可以酒店解决，我们吃了2天，很对味口。房间干净，硬件不错，但被子太厚，枕头太高，2晩都没睡好', '短评打分': 4}
{'短评内容': '非常好的酒店档次挺高，价格不贵，房间干净，方便，也挺大，离金沙索道很近，旁边吃饭也方便，当地小吃特色菜很多，酒店设施也不错，值得选择的酒店！', '短评打分': 5}
{'短评内容': '很有品位和特色的酒店，环境、卫生、服务都不错，住得很舒适。', '短评打分': 5}
{'短评内容': '上山非常方便，吃东西也方便，总的来说，性价比不错。', '短评打分': 5}
{'短评内容': '很安逸.房间设施很齐全，装修风格很漂亮，值得推荐', '短评打分': 5}
{'短评内容': '服务很好，老板和服务员都很淳朴热情，有家的感觉。房间很漂亮', '短评打分': 5}
{'短评内容': '只能说差强人意，希望服务意识要加强，', '短评打分': 3}
{'短评内容': '在附近出差做生意，周围环境，挺好的。', '短评打分': 4}
{'短评内容': '方便，卫生，离景点近，下次有机会再去', '短评打分': 5}
{'短评内容': '酒店离三清山大门约十分钟路，出去购物吃饭也要走到那里才行。酒店4星级，淡季房价在200元以上，硬件条件尚可，服务有些问题，需要改进。一是水质极差，水呈黄灰色，洗澡水这样，水龙头里放出的水也这样，让客人就吃这样的水？二是早餐较差，主食小包子花卷蛋糕凉面等几种，然后酱菜几样，蔬菜一二，比一般农家乐的稍好。三是wifi太差，老是信号差已关闭用不起来。四是所住房间里电视遥控器差到极点，明明有电，电视机却收', '短评打分': 3}
{'短评内容': '代定房间，反馈还可以吧。要求不高。', '短评打分': 4}
{'短评内容': '酒店设施很好！服务也好！值得推荐！距离金沙索道站比较近。', '短评打分': 5}
{'短评内容': '我听一个朋友说起过这家酒店,他对我说这家酒店真的非常不错,如果在三清山游玩的话一定要入住这家酒店,所以我就住进来试试看。 我和我的一个朋友入住了这家酒店,我感觉这里的设施设备真是一流舒适! 我们发现这里的服务员有一部分是实习生,不过尽管如此他们的服务质量还是无懈可击。 客房真是太舒服了!而且风景景致特别不错!大而舒服的床褥,真是让人流連忘返.我觉得这次在三清山的游玩的入住体验还是不错的,这家酒店给', '短评打分': 5}
{'短评内容': '不错，是家好酒店！', '短评打分': 3}
{'短评内容': '春节前一起和家人去的三清山旅游，到了那里找了个人问哪里的酒店好？结果没想到这个人刚好酒店的工作人员，于是就带外面到了华克山庄。那天刚好老板在，是老板亲自接待的我们。人很客气，也没有什么老板的架子。我们在那里住了两个晚上。酒店的房间环境和卫生很不错。房间打扫的非常干净。房间的装修也是我喜欢的类型。窗外的景色也不错。酒店还设有露天的装修。唯一的就是三清山冬天比较冷。大家去要多穿衣服，不过酒店里面是超级', '短评打分': 5}
{'短评内容': '想不到在景区门口还会这样高档的酒店.虽然酒店给的房间在背面,被山体完全挡住,如果在正面,景观会很好.暖风打的不足,有些冷.\n最值得称颂的是酒店大堂的一个小伙子,估计是大堂经理,态度非常好.', '短评打分': 5}
{'短评内容': '新开的酒店，味道很难闻！装修很次，马桶都是左右摇摆的，都怕掉下来。早餐好难吃，加一点辣椒酱，服务员告知要加收10块钱！！！电梯都没擦干净，全是灰！', '短评打分': 1}
