{'短评内容': '高档酒店，不错', '短评打分': 5}
{'短评内容': '周边环境不错', '短评打分': 5}
{'短评内容': '周边环境优雅，卫生不错', '短评打分': 5}
{'短评内容': '早餐品种丰富，酒店离常州火车站很近，有个很小的停车场，出门就是红梅公园。', '短评打分': 5}
{'短评内容': '出差随便住', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间非常不错，早饭也不错', '短评打分': 5}
{'短评内容': '周边环境非常好，紧邻红梅公园，所处环境极佳。早上晚上可以进去看看。房间设施还算不错，坐到飘窗上喝茶看公园，感觉非常好。唯一不足就是提供的牙刷毛太硬，特别不好用，建议自己带个好牙刷吧。', '短评打分': 5}
{'短评内容': '环境很好，窗外就是公园风景，早上喜欢晨练朋友可以到公园散步，赏景健身。早餐还可以，还算不错。不足之处是无线信号太差。', '短评打分': 5}
{'短评内容': '还可以吧 就是一楼太吵 隔音效果太差 楼上老有搬凳子声音 带着孩子休息不好 其他就一般般', '短评打分': 4}
{'短评内容': '离家很近，只要家里来客人都会订这个酒店，出门就是红梅公园，空气超级的好，在市中心，很方便。接待很好。', '短评打分': 5}
{'短评内容': '闹中取静 环境很好', '短评打分': 5}
{'短评内容': '地点很好，但离马路太近有点嘈，早餐不错', '短评打分': 4}
{'短评内容': '不错，服务也不错', '短评打分': 5}
{'短评内容': '酒店紧靠着红梅公园，出门转身就进入公园，环境自是不错了。房间设施也可以。淋雨水温热，在走冷的冬季，倍感舒适。只是早餐8个冷菜（小菜）有点冷嗖嗖的。  ', '短评打分': 5}
{'短评内容': '酒店周边环境很好，靠近红梅公园，安静。', '短评打分': 5}
