{'短评内容': '还不错，服务也好，就是有点吵，隔音不好', '短评打分': 4}
{'短评内容': '这个地址是他们老地址现在搬了，座机也是空号，建议选这家店住宿的亲们先找携程客服要老板的手机号，要不然等到了之后很麻烦！老板娘人不错，30元话费没收到，可能充到别人那里去了！', '短评打分': 5}
{'短评内容': '很不错，定完当时地址没找到，联系到了老板娘。房间特别大，还有小阳台，很有feel。国庆这个价格物超所值！', '短评打分': 5}
{'短评内容': '挺不错的geiniyigezan ，环境优美', '短评打分': 3}
{'短评内容': '不错的客栈，老板娘态度很好，过来接后直接带进景区内，还免费升级了房间，女儿很喜欢，说下次来还要住这里。', '短评打分': 3}
{'短评内容': '老闆娘超級好人的！！！(ฅω*ฅ)臨時訂的房間還給我們升級了！就在景區裡面~去哪都很方便，不算難找！房間都很漂亮的，就是沖涼房也太開放了一點。。。', '短评打分': 3}
{'短评内容': '老板娘人很好。楼下大叔的人业不错。床很大。就是放行李的地方有限。', '短评打分': 3}
{'短评内容': '老板娘很热情，老板娘的小孩也很热情的，住了两晚，之前预订的房间在一楼，后边因为其他原因，给我们房间换了一下，虽然要走点楼梯，但也很安静，只是那个浴室的门有点让人担心，能连到无线可是不能用，据说是什么原因导致网路问题，最后说一下，老板娘还送了我们两个水灯，外面也有卖的，五块一只吧，在这谢谢老板娘啦～', '短评打分': 3}
{'短评内容': '民宅来的，环境很一般，不过老板娘好热情，态度好好', '短评打分': 4}
{'短评内容': '非常不错，房间干净整洁，价格也很实惠', '短评打分': 5}
{'短评内容': '很普通', '短评打分': 3}
{'短评内容': '老板热情招待，服务态度好!下次还会选择这家！', '短评打分': 5}
