{'短评内容': '本人12月9日入住，订的是210元标准的，差评。1.房间内的设施及床太差，被子太薄，晚上被冻醒好几次，不值这个价。2.隔音效果差，楼上声音太大，严重影响睡眠。3.卫生条件太差，睡了一天，起了一身的红疙瘩，已上传图片。本来去玩，感觉7天应该可以，但结果太令人失望了，差评。', '短评打分': 1}
{'短评内容': '酒店没有独立停车场，环境比较乱。因此不想住了，本日的不能取消就算了，第二日的也不能取消，简直霸王条款', '短评打分': 3}
{'短评内容': '很好，性价比高，下次还会来，但是卫生条件差点', '短评打分': 5}
{'短评内容': '性价比高，以后再去还会预订。', '短评打分': 5}
{'短评内容': '这是第二次来住了，首先，这个价格浮动真让人摸不着头脑，周六周日涨钱也太狠了；其次，前台一个男生，从第一次来住就有他，态度极其不好，同学住过的都知道他，戴眼镜而且回答问题很不耐烦，要不是因为在学校旁边，就冲这个态度，果断不会选择七天的；房间还不错，其他设施也让人挺满意的，总之，还是希望服务态度改善一下，', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '环境不错，卫生，舒适', '短评打分': 5}
{'短评内容': '环境优雅，地理位置绝佳，周边交通方便，房间干净卫生，前台服务态度好，服务员也很热情，非常值得推荐入住。', '短评打分': 5}
{'短评内容': '要求不太高的话，可以接受', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '离学校里面，周边吃的挺多的。还可以', '短评打分': 5}
{'短评内容': 'wifi信号时断时续', '短评打分': 4}
{'短评内容': '还好！餐厅太简陋了，就在前台大厅里。', '短评打分': 4}
{'短评内容': '地理位置不错，离鲁东大学一步之遥。服务态度也还可以', '短评打分': 5}
