{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '环境干净住着温馨，连续住了几天，大家可以选择他家', '短评打分': 5}
{'短评内容': '住了好几次', '短评打分': 5}
{'短评内容': '住过了，条件还行，有停车场！', '短评打分': 5}
{'短评内容': '住过了，还行吧！！！', '短评打分': 5}
{'短评内容': '旅馆的环境酒店的价格 呵呵', '短评打分': 5}
{'短评内容': '床好大好软好舒服。赞。就是隔音不好。', '短评打分': 5}
{'短评内容': '房间有点小，设备有点陈旧。', '短评打分': 4}
{'短评内容': '态度还可以，地方也好找，就是设施太旧啦', '短评打分': 3}
{'短评内容': '烟味大', '短评打分': 4}
{'短评内容': '续住了几天，主要是便宜可以享受网络预定价格。', '短评打分': 4}
{'短评内容': '前台服务态度差，咨询问题爱答不理的。结账时搞不清应该开多少钱发票，办了半天才弄好。', '短评打分': 5}
{'短评内容': '很不错  床很软', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错，主要是出行方便，前台小粟态度很热情！', '短评打分': 3}
{'短评内容': '地理位置很好  环境不错  不过设施比较陈旧  空调室内的凳子不太好  建议室内配备吹风机  前台贺学美服务态度很好', '短评打分': 4}
{'短评内容': '158前台的严小丽和贺学美的服务态度很好。', '短评打分': 4}
{'短评内容': '还成', '短评打分': 5}
{'短评内容': '干净，服务态度好。', '短评打分': 5}
{'短评内容': '安逸158连锁酒店-成都九眼桥店（原薛涛', '短评打分': 4}
{'短评内容': '如果是开车去不是很方便，不管是从哪个方向都要绕很大一圈，卫生条件也一般，没有想象中好，价格也没有优惠。', '短评打分': 4}
{'短评内容': '便宜，但是条件很一般，卫生条件没有如家的好', '短评打分': 5}
{'短评内容': '除设施陈旧了点之外其他都挺好，包括性价比、地理位置等。', '短评打分': 5}
{'短评内容': '房间还行。前台服务一般。', '短评打分': 3}
{'短评内容': '地理位置不错，出门就是湖滨路。客房卫生间蛮大的，就是有一点味道。', '短评打分': 5}
{'短评内容': '挺好的，与川大不远，交通业挺方便，热水也足，浴室也大，第一次去成都，给我的印象还是蛮好的。\n希望改进的是网速啊。', '短评打分': 5}
{'短评内容': '位置和服务都还不错 就是房间小了点 还算比较干净', '短评打分': 5}
{'短评内容': '挺好的  干净   服务也不错 交通方便 就在1环路边', '短评打分': 5}
{'短评内容': '服务态度一般，环境也不安逸 晚上嘈杂得很', '短评打分': 1}
{'短评内容': '安逸158还是一如既往的干净舒适！和同价格酒店相比，安逸158在细节方面做得更好更周到！让客人住得更舒适更放心！', '短评打分': 5}
{'短评内容': '还可以，不错~下次还住那，干净不错不错，就是停车队位太少了，呵呵', '短评打分': 5}
{'短评内容': '部分电视节目无声音，预定价格与大堂价格一样，无优惠。卫生间太小。', '短评打分': 3}
{'短评内容': '比较实惠的酒店，就是周围的购物场所不多，还是推荐大家入住。', '短评打分': 5}
{'短评内容': ' 可以', '短评打分': 3}
{'短评内容': '前台很慢，秩序管理不好。', '短评打分': 3}
{'短评内容': '房间有点小，外面的工地白天一直在施工，跟138的房间一样的', '短评打分': 1}
{'短评内容': '真不怎么样！。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '去了很多个158，不得不说这个158的配置真的很差。。。。\n非常的老旧。。\n看在前台mm的服务真的很好，还是勉强打个好评吧', '短评打分': 5}
{'短评内容': '服务态度好，硬件还可以，就是房间较小。停车场较小。', '短评打分': 5}
{'短评内容': '这个价位的酒店那是相当的超值，值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺不错的，干净卫生价格也合理，出门坐车买东西都很方便，总之比较好', '短评打分': 3}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '条件不行，尤其是空调不给力啊！吹出的风竟然是冷风，不制热。房间太小，卫生不好！', '短评打分': 1}
{'短评内容': '很好，不过就是房间有点小，不过服务还是可以的，基本入住都是这家酒店啦！', '短评打分': 5}
{'短评内容': '空调效果欠佳，被子比较薄，其他一般，性价比还行', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': ' 可以', '短评打分': 3}
{'短评内容': '酒店好像正在装修,经常能看到装修工人进出,且窗户不能打开,室内的空气不流通,有一股装修胶水的味道.但其他都还好,早餐.服务都不错', '短评打分': 5}
