{'短评内容': '这个店还可以，交通方面', '短评打分': 5}
{'短评内容': '干净，卫生，价格便宜。房间不大，但是一个人住够了。下面有超市24小时开着，买东西很方便。停车也方便。', '短评打分': 5}
{'短评内容': '唉，一言难尽啊，住过最差的一次！', '短评打分': 1}
{'短评内容': '无早餐', '短评打分': 5}
{'短评内容': '还可以吧，临时住一晚', '短评打分': 5}
{'短评内容': '整体都还可以，就是周围环境一般，而且空间太小', '短评打分': 4}
{'短评内容': '酒店很差 有很多不正常的住客', '短评打分': 2}
{'短评内容': '酒店位置比较好，很容易找到，房间卫生也不错，晚上也比较安静，前台服务比较到位，安排入住非常的快，不需要等待。', '短评打分': 4}
{'短评内容': '对的起平民价格了，很合适。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般还行吧', '短评打分': 5}
{'短评内容': '酒店服务好交通方便旁边多家好吃的', '短评打分': 5}
{'短评内容': '性价比普通，晚上比较吵。', '短评打分': 3}
{'短评内容': '……………哦哦哦哦哦哦哦哦哦哦哦哦哦哦', '短评打分': 3}
{'短评内容': '临时住一下吧，环境也就这样了', '短评打分': 3}
{'短评内容': '这个价格，差不多了。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '在原曙光电影院楼上，地段还行，但楼下有那种演艺吧的KTV，电梯上下的时候会碰到一些闲杂人等。。订的是100的大床房，价格还算实惠，不过房间是很小，进门就是洗手台和抽水马桶，独立在浴室外，虽然有帘子遮挡，但还是怕会有异味。房间还算整洁干净，电视机很小，空调功能尚可，淋浴水比较好控制，写着热水是限40升供应什么的，不过足够用了。房间里只有一条毛巾和一条地巾，去问前台要浴巾告知没有，不过服务态度很好的又', '短评打分': 1}
{'短评内容': '我是在网上订的100元大床房，酒店在江东区市区，店外交通、餐饮比较方便，房间简洁明了，虽然不大，但很干净。在这个地段100元我挺满意的。', '短评打分': 5}
