{'短评内容': '还可以&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '一直在这儿住，环境不错，京东上订还比较省钱。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间干净，位置好。可以开专票', '短评打分': 4}
{'短评内容': '在这家酒店住了两天，还是不错的，除了被子单薄点，其他一切还是不错的，地段厨房方便，逛街也很方便，下次继续', '短评打分': 5}
{'短评内容': '非常好，干净空间大，推荐', '短评打分': 5}
{'短评内容': '很方便 不错不错', '短评打分': 5}
{'短评内容': '卫生不到位..地点位置很好，晚上没有热水', '短评打分': 4}
{'短评内容': '整体还不错。', '短评打分': 5}
{'短评内容': '地段还不错，干净清爽，经济实惠。', '短评打分': 4}
{'短评内容': '地段还不错，干净清爽，经济实惠。', '短评打分': 4}
{'短评内容': '便宜又干净 不错！', '短评打分': 5}
{'短评内容': '便宜 又干净 不错！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '每次都介绍朋友来这家住位置好楼下小吃多，去江边也方便', '短评打分': 5}
{'短评内容': '每次都介绍朋友来这家住位置好楼下小吃多，去江边也方便', '短评打分': 5}
{'短评内容': '每次都介绍朋友来这家住位置好楼下小吃多，去江边也方便', '短评打分': 5}
{'短评内容': '每次都介绍朋友来这家住位置好楼下小吃多，去江边也方便', '短评打分': 5}
{'短评内容': '还不错！经常住的酒店。', '短评打分': 5}
{'短评内容': '好，方便', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！！！！！！！！！！一般般价格也高', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体不错，卫生还算干净，下面就是步行街，吃饭逛街都很方便。', '短评打分': 4}
