{'短评内容': '很不错的酒店，性价比很高，服务也很好。', '短评打分': 5}
{'短评内容': '房间有点小 感觉不像是照片中的那样大床房 住在后面这一排的只能看到一对居民 风景很一般 充电口坏了 所以一直在用外充充电', '短评打分': 5}
{'短评内容': '酒店整体还可以 就是靠近街边所以说有点吵和乱 早上的时候会特别吵 晚上还好 卫生是可以的 如果洗漱用品更全一点会更好', '短评打分': 5}
{'短评内容': '有事半天都不在，快到点时候11.57电话和前台商量能不能先退房。你可以进房打扫，把我东西放吧台就好。回答你已经超时了？exm？完了最后晚了几分钟退房，前台非要收20块钱。一点不通情理的旅馆，再也不住。', '短评打分': 2}
{'短评内容': '很一般', '短评打分': 2}
{'短评内容': '还可以。房间比较小就是', '短评打分': 5}
{'短评内容': '宾馆还行，就是前面在修路，', '短评打分': 3}
{'短评内容': '还可以，位置离考场很近，不过最近门前在修路很烦', '短评打分': 3}
{'短评内容': '考试去的，还是挺方便的。', '短评打分': 3}
{'短评内容': '已入住，环境还不错，就是旁边修路可能会有点吵。不过退房时间是12点感觉不合适，上午考试刚考完还没有休息就退房了，我一直以为是2点退房的。唉，失策了', '短评打分': 3}
{'短评内容': '浙师大考试去的，离学校大概二十分钟。房间比较干净，周围比较安静，隔音效果不算太好。唯一没中不足的是房间有点潮，刚进去的时候有点味道，开窗一会儿就好了', '短评打分': 3}
{'短评内容': '位置离浙师大还是有点远，附近在施工，晚上有点吵', '短评打分': 4}
{'短评内容': '条件太差，房间有霉味，不适合居住', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '一般。', '短评打分': 4}
{'短评内容': '还行，就是房间不大！', '短评打分': 5}
{'短评内容': '环境还可以，但是空间较为一般。不能刷卡，不是很方便。', '短评打分': 5}
{'短评内容': '离我办事的地方很方便，就是地点跟市区远点，总体挺好，周围吃饭的地方有条街！', '短评打分': 5}
{'短评内容': '虽然挺小的，但是很干净，很温馨，就是空调有点吵', '短评打分': 5}
{'短评内容': '位置方便，临时近公路，按相对还安静的。电脑还不错。', '短评打分': 5}
{'短评内容': '房间比较小，但干净，整洁，并且提供台式电脑，性价比很高啊!不知为什么房间内的卫生间都是用透明玻璃，感觉没有隐私了这也', '短评打分': 3}
{'短评内容': '整体来说还不错，服务员及前台服务都好。也还算安静。卫生也行。交通也方便。我去师大考试，步行过去也不远。  ', '短评打分': 5}
{'短评内容': '.退房的时候手机忘了拿。坐上动车都半小时还不知道。总台小姐打电话告知我才发现。最后他们邮寄到杭州来。非常感谢。下次再入住的时候', '短评打分': 3}
{'短评内容': '房间环境还可以~就是周围环境差了些~而且房间浴室的门是透明的~', '短评打分': 3}
{'短评内容': '小了一点，但是整体感觉不错！', '短评打分': 3}
{'短评内容': '这是我第二次该宾馆了，整体感觉比较好，推荐下', '短评打分': 5}
{'短评内容': '还干净的', '短评打分': 3}
{'短评内容': '房间比较小，预定的价格没优惠，服务态度一般。', '短评打分': 1}
{'短评内容': '房间比较精致，虽然不大，总体还是不错的，性价比很高', '短评打分': 5}
{'短评内容': '很不错的酒店，比一般的快捷酒店好一些,床也够大，装饰也不错', '短评打分': 5}
{'短评内容': '第二次住了，以后还会来的，虽然入住的时候出了点问题，但是解决了也就好了', '短评打分': 5}
{'短评内容': '环境不错，房间也挺大的，比较新，以后再来金华也会定这家，总之性价比还算高', '短评打分': 5}
{'短评内容': '房间很整洁，前台妹妹态度非常好，人也漂亮，下次还会住的。', '短评打分': 5}
{'短评内容': '总的来说还是不错的  就是房间小了一点  8405房间的窗户真的关不上啊   还有结账的时候  明明没喝里面的红牛的  可是账单上有这个  多收了我们8块钱  一大早的 也不想的自己心情不好  而且前台的态度也还不错   就不计较什么的 希望他们以后能补添的时候仔细点  别在发生这种事了', '短评打分': 5}
{'短评内容': '环境一般，房间很小，适合情侣，门口就有公交站直达市区', '短评打分': 1}
{'短评内容': '房间虽小，但布置很温馨，价格适中，物有所值！', '短评打分': 5}
{'短评内容': '还可以吧，不过房间太小了，还有网速不够快，总的来说对的起这个价钱了', '短评打分': 5}
{'短评内容': '房间小巧玲珑，设计和布置的很精致，住着有自己房间的感觉。', '短评打分': 3}
{'短评内容': '房间很干净，就是比较小。位置还不错,离汽车西站很近。', '短评打分': 3}
{'短评内容': '酒店环境确实不错，但是靠马路的房间太吵，如果自己带电脑上网比较麻烦，网线很短，而且是直接从墙里拉出来的....\n其他方面都很好', '短评打分': 5}
{'短评内容': '整体环境不错，内部设施设备都很齐全，床也很舒服，卫生间很大，就是大床房面积有点儿小，还有就是没有电脑的房间没有宽带，其实他是有网线的但是线太短，不不能用，希望酒店能改善。', '短评打分': 5}
{'短评内容': '不错，比较好的酒店，服务员态度不错，不错，比较好的酒店，服务员态度不错，不错，比较好的酒店，服务员态度不错，', '短评打分': 5}
{'短评内容': '＋酒店蛮干净清爽的，卫生间是透明的，很有特色。住宿房间临着北山路，外面车来车往的，比较吵，建议下回再住时酒店前台安排安静的房间。', '短评打分': 3}
{'短评内容': '房间太小,大房钥匙太少', '短评打分': 3}
{'短评内容': '卫生一般般 卫生一般般 卫生一般般 卫生一般般 卫生一般般 卫生一般般 卫生一般般  卫生一般般 卫生一般般 卫生一般般 卫生一般般 卫生一般般', '短评打分': 5}
{'短评内容': '环境是不错！ 可惜  哪天去很不凑巧  我觉得没电脑然后换了一个，说是138 结果到结算的时候说158  我说单子上为什么是138 实际结算要158  还说我不讲理.. 后来了解：其他人说他是要离职所以态度不好！  郁闷之极', '短评打分': 5}
{'短评内容': '很好。值得推荐。       卫生须改善 ', '短评打分': 5}
{'短评内容': '总体不错～～蛮干净，出行也比较方便，特别是离浙江师范大学较近', '短评打分': 5}
