{'短评内容': '感觉还不错！', '短评打分': 4}
{'短评内容': '很棒的', '短评打分': 5}
{'短评内容': '浴室很大，环境干净整洁，五星级的享受', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房間好', '短评打分': 5}
{'短评内容': '设施比较陈旧了', '短评打分': 4}
{'短评内容': '非常好，不愧五星', '短评打分': 5}
{'短评内容': '西餐廳服務一流，過了那麼久還記得我喜歡吃水果跟我的名字很讚，日本餐廳女經理也很好，會主動關心顧客，中餐廳食材跟服務有待改善.', '短评打分': 5}
{'短评内容': '空调噪音较大', '短评打分': 5}
{'短评内容': '都不错感觉很好下次还会继续使用', '短评打分': 5}
{'短评内容': '自驾游，开了导航很容易到达，就是有点偏僻，周围都没什么好吃的:(  但几个家庭组织这样的外游活动，还是挺不错的。', '短评打分': 4}
{'短评内容': '自驾游，开了导航很容易到达，就是有点偏僻，周围都没什么好吃的:(  但几个家庭组织这样的外游活动，还是挺不错的。', '短评打分': 4}
{'短评内容': '自驾游，开了导航很容易到达，就是有点偏僻，周围都没什么好吃的:(  但几个家庭组织这样的外游活动，还是挺不错的。', '短评打分': 4}
{'短评内容': '自驾游，开了导航很容易到达，就是有点偏僻，周围都没什么好吃的:(  但几个家庭组织这样的外游活动，还是挺不错的。', '短评打分': 4}
{'短评内容': '自驾游，开了导航很容易到达，就是有点偏僻，周围都没什么好吃的:(  但几个家庭组织这样的外游活动，还是挺不错的。', '短评打分': 4}
{'短评内容': '很不錯、很舒服', '短评打分': 3}
{'短评内容': '酒店比较偏，硬件设施很好，服务也不错，价格比较适中，比较值得一住。', '短评打分': 5}
{'短评内容': '太贵了，环境还行，但是很偏。我觉得不合算，还没有早餐。', '短评打分': 5}
{'短评内容': '还可以，不过太偏了，价格也贵，还没有早餐\n', '短评打分': 5}
{'短评内容': '第一次入住，升級到豪華房，超靚。早餐78元，款式多又美味，太太吃到停不了！這個價格真的沒話說！整個服務團隊一流！極力推薦！', '短评打分': 5}
{'短评内容': '入住行政樓層, 服務員態度友善專業. 前枱辦理入住退房便捷. 整體入住經驗非常滿意. 下次出行會再入住.', '短评打分': 5}
{'短评内容': '酒店环境不错，比较新，床很柔软；附近没什么饭店，只能在酒店里吃饭咯，酒店的自助餐还不错，以后还有兴趣入住呢。。。', '短评打分': 5}
{'短评内容': '是自己和女友开车去的，住一个晚上，如果没車就是觉得偏僻了点，逼近对边就是个几乎无人的别墅区，不想在酒店吃东西的话，唯有进惠州市区。\n大堂很堂皇，客房卫生清洁，电梯也漂亮。不过车不是停地下停车站就不那么好。', '短评打分': 5}
{'短评内容': '设备一流 服务很好停车方便 就是吃饭太贵 地偏僻 每什么公交 周围没人气 ', '短评打分': 5}
{'短评内容': ' 入住后整体感觉很好，舒服干净，最喜欢卫生间。如果对会员还能更优惠些就更好了。', '短评打分': 3}
{'短评内容': '房间很舒服宽敞，服务也不错。洗澡淋浴不是很方便，周边吃饭也不方便', '短评打分': 3}
{'短评内容': '位置有点偏僻，周边找个吃地方特色菜很难，房间设施还可以。但是室内泳池不能使用，很遗憾。早餐很一般，餐厅大，品种少。', '短评打分': 5}
{'短评内容': '酒店不错，以后还会来', '短评打分': 3}
{'短评内容': 'very nice', '短评打分': 3}
{'短评内容': '酒店很新，很舒服，服务也好，但是离商业区远了些。', '短评打分': 3}
{'短评内容': '3月12日入住，该酒店算是惠州市惠城区最新的，但位置较偏，离汽车总有20分钟的车程，到市里其他境区车程也要半个小时。酒店环境不错，有些还有建设中，周边也没任何餐馆，只能在酒店里就餐。较适合喜欢安静旅游渡假的人士入住。酒店里面的服务生态度热情。酒店顶楼有个行政贵宾楼层，只有行政楼层住客才能享受免费的下午茶点心和晚上小吃，其他楼层的客人只能付费才能享受些待遇。内设恒温游池，这点比其他五星级酒店优越。以', '短评打分': 5}
{'短评内容': '酒店位置还好，出行还算方便，内部装修挺现代化的，服务和卫生还不错，住着蛮舒适的。', '短评打分': 5}
{'短评内容': '这家酒店看着挺新挺干净的，设施也不错，房间舒适度挺好，值得一住。', '短评打分': 5}
{'短评内容': '挺不错，挺新挺干净，住的挺舒适，价格适中。', '短评打分': 5}
{'短评内容': '酒店基本上符合五星级的标准，住的还是蛮舒适的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店还不错，环境挺安静，设施挺齐全，舒适度挺好。', '短评打分': 5}
{'短评内容': '管理挺好，服务挺周到，设施也不错，价格也合理，值得推荐。', '短评打分': 5}
{'短评内容': '酒店挺商业化的，服务卫生挺好，挺适合商务人士入住。', '短评打分': 5}
{'短评内容': '房间质量挺好，住的挺舒适，早餐口味不错，位置有点偏，但周边交通还是挺便利的。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，卫生打扫的很好，基本设施都有，隔音也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '大堂装修的还不错，房间挺干净的，隔音效果挺好，晚上睡眠质量挺好。', '短评打分': 5}
