{'短评内容': '房间冷中央空调噪音大', '短评打分': 5}
{'短评内容': '太偏了', '短评打分': 1}
{'短评内容': '一般般，周边没酒店', '短评打分': 3}
{'短评内容': '还行，就是出差位置有点偏，房间比较大', '短评打分': 5}
{'短评内容': '简直就是一个旅社，还酒店？房间冷，脏，厕所赃乱臭。前台简直没有服务而言，凶得很，办手续时一副爱住不住，退房一副赶紧滚的态度，说话就是在吼人样。不是别的没房了，鬼才来这。', '短评打分': 1}
{'短评内容': '房间大，卫生不错，旁边儿就是滑雪场，可以看见雪道，不错', '短评打分': 5}
{'短评内容': '这个酒店是我住过最差的，位置偏远很不好找。屋里一股味道。硬件也很破。', '短评打分': 3}
{'短评内容': '卫生环境服务很一般', '短评打分': 3}
{'短评内容': '环境很一般.空调不给力.没有暖气.冻了我一宿', '短评打分': 3}
{'短评内容': '房间比较大，环境位置都不错', '短评打分': 5}
{'短评内容': '环境不错，安静房间比较大', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务员态度不好', '短评打分': 2}
{'短评内容': '房间卫生什么的很差', '短评打分': 2}
{'短评内容': '性价比高，很大，挺干净的，服务也可以，', '短评打分': 5}
{'短评内容': '挺好，交通不便利', '短评打分': 4}
{'短评内容': '再次入住本酒店', '短评打分': 5}
{'短评内容': '再次入住。。。。。。。', '短评打分': 5}
{'短评内容': '酒店地理位置不太明显！', '短评打分': 3}
