{'descr': '不错的酒店哈', 'star': 5}
{'descr': '免费升级成家庭房，很人性化。', 'star': 5}
{'descr': '一般般吧。', 'star': 3}
{'descr': '配套设施好，房间干净！', 'star': 4}
{'descr': '还行吧。', 'star': 5}
{'descr': '东西很好。配送很快。。购物很方便', 'star': 5}
{'descr': '这个价格也算是不错了！', 'star': 4}
{'descr': '价格很实惠，房间很干净。', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '不错。', 'star': 5}
{'descr': '很干净，很安静，', 'star': 5}
{'descr': '还好。跟其他的快捷酒店相似。推荐', 'star': 3}
{'descr': '一般 一般  168  以往的样子~~~........................................', 'star': 4}
{'descr': '窗户大，舒服，光线不错，嘿嘿！', 'star': 5}
{'descr': '配套设施老旧，居然拖鞋都没有', 'star': 4}
{'descr': '价格优惠，位置便捷，服务还不错', 'star': 4}
{'descr': '这家店有问题，房号408，进去地板凹陷了的，差点憋了脚，洗了澡躺床上，恶心事情来了，床头的木板上竟然有好多鼻屎，真的是太恶心了，哪个短命鬼素质这么差啊，服务员是怎么打扫卫生的啊？MD.睡到下半夜，又出问题了，床头上面的空调出现漏水，水滴到头上，真的是见鬼了，怎么会住到这样的宾馆', 'star': 1}
{'descr': '无线网络信号太弱了吧，囧~', 'star': 3}
{'descr': '地板都破了 很陈旧了 住着不舒服 希望酒店能改善一下住的环境 并且价格酒店的价格和网上价格是一样的 那预订也没啥优势了嘛 ', 'star': 1}
{'descr': '环境还可以接受，住的没窗的房间，不吵，房间隔音不太好', 'star': 3}
{'descr': '宾馆下面是鸡窝，上网是无线，也有很多病毒，所以上网慢，气坏了我,在路边，吵得不行\n还要188 真气人,软件硬件，收费都是差的不行', 'star': 1}
{'descr': '    毛巾有点旧  网速有点不给力  其他都挺好  ', 'star': 3}
{'descr': '酒店还可以，毛巾很旧，有免费的WIFI可以用，很方便。', 'star': 5}
{'descr': '商务大床房面积不算小，床也够大，只是枕头太软太低，不太舒服。网速慢点儿。周围还算安静。', 'star': 1}
{'descr': '房间设备老旧，窗子都关不严，窗钩损坏无法锁上。地毯也很脏。无床头的房内灯控制开关，要关灯后再摸黑上床，太不方便了。几乎无早餐。很多方面都要提升改进。\n服务还是挺热情的，态度很好，我临时有文件打印的紧急需求，虽无此业务提供，但提供方便，很感谢！每日房间整理也较及时。\n周边交通和餐饮都挺方便的。但入住期间居然碰到停电一天，不便。', 'star': 1}
{'descr': '枕头太软,不太舒服.其它还可以.没有早餐供应不方便.', 'star': 5}
{'descr': '比较乱，与其他莫泰店相比，差得多，不想再住这儿', 'star': 1}
{'descr': '商务大床房很舒适，也很干净。枕头只有软的，建议将其中一个软的枕头更换成荞麦皮的或者决明子的，供客人选择。\n早餐种类较少，只有稀饭、豆浆、煮鸡蛋、小馒头、小花卷、小豆包以及一种杂菜做的咸菜。此外餐厅面积太小，只能同时容纳十几个人同时用餐；餐厅只有一个老大妈服务，建议增加一个服务员，尽管大妈很尽职尽责的忙着服务，但还是有些忙不开。\n\n总体感觉还好，唯一的缺憾就是早餐就餐的餐厅，需要尽快改善的，否则大量', 'star': 5}
{'descr': '不错。。简单合适。。。。以后还会入住。！！！！', 'star': 5}
{'descr': '环境一般，有点吵，网速超慢。不是很推荐。', 'star': 1}
{'descr': '离PONY总部比较近，以后来都住这里啦。。', 'star': 5}
{'descr': '设施很普通的，价格那么高，不划算！离光大会展不近哦走路至少半小时。打的士12元。', 'star': 3}
{'descr': '去那里          就住那里            比较实惠  ', 'star': 5}
{'descr': '房间还是蛮干净也很大，而且位置也很方便我的出行，服务也不错。价格也是马马虎虎比较合适的一个范围。', 'star': 5}
{'descr': '酒店也是比较一般，房间里面电话和网线都没开，而且早餐也没有，价格还是贵了，服务还可以。', 'star': 1}
{'descr': '房间挺好、干净！！！！！就是有时候房间没窗。', 'star': 5}
