{'短评内容': '装修设计好，服务好', '短评打分': 4}
{'短评内容': '高端大气上档次', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通方便，服务周到。配套设施全，价格也相对合适，下次如果还有机会去澳门还会选择入住', '短评打分': 5}
{'短评内容': '酒店地理位置不错，交通方便，服务周到。配套设施全，价格也相对合适，下次如果还有机会去澳门还会选择入住', '短评打分': 5}
{'短评内容': '这次没有免费升级，有点失落！', '短评打分': 5}
{'短评内容': '好好抱抱抱', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '！！！！！！！！', '短评打分': 5}
{'短评内容': '这是京东最差的一次订房间。我也第一次订它酒店真的太烦了，一会给你换房间，一会儿说给你换酒店，结果还得退钱！', '短评打分': 5}
{'短评内容': '升级了套房', '短评打分': 5}
{'短评内容': '非常差的一个酒店代理商，第一天入住1000，第二变成5000块，再有活动和节日也不是这个价格，系统出问题不承认，开发票订单号也找不到，明显是把记录删除了，投诉无门', '短评打分': 1}
{'短评内容': '房间非常不错，漂亮，其他五星难以比肩', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '酒店舒适，卫生干净整洁', '短评打分': 5}
{'短评内容': '酒店环境较好，房间设施较好，丶', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '非常好，很棒', '短评打分': 5}
{'短评内容': '满分哈哈哈', '短评打分': 5}
{'短评内容': '房间超大，卫生间配按摩浴缸，房间装修简欧风格，饰品搭配舒服，床上用品及床垫都很好，差点的是马桶没自动冲洗功能，还有7楼以下窗外视觉不好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很好，高大上档次', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '有会', '短评打分': 5}
{'短评内容': '设施有点老，没啥服务可言', '短评打分': 4}
{'短评内容': '永利酒店各方面都可以，让人感觉回家似的。', '短评打分': 5}
{'短评内容': ' 干净 毛巾有点旧', '短评打分': 3}
{'短评内容': '一生人值得去一次的地方，楼下有许多正品名店，整体感觉很好。', '短评打分': 5}
{'短评内容': '酒店环境非常好，一层就是奢侈品店，发财树和音乐喷泉很好看。', '短评打分': 3}
{'短评内容': '服务可以，酒店略微老了一些，可能万利会更好一些。名店街不错', '短评打分': 5}
{'短评内容': '太苏服了，什么都没得说，唯一的一点就是价钱贵了一点。', '短评打分': 5}
{'短评内容': '前台办理入住巨慢，等了有一刻钟。更没想到的是结账时也一样巨慢，又等了一刻钟。哎，无语...', '短评打分': 1}
{'短评内容': '前台服务很差，以后不会住了。\n普通房间比内地一般的套房还要大许多，赞一个！\n楼下就是**，很方便。', '短评打分': 1}
{'短评内容': '很爽，真正VIP感受。Wynn，美国人做的确实有特色。', '短评打分': 5}
{'短评内容': '很漂亮，美国拉斯维拉斯风格，里面的casino更是不用提。火树银花跟龙的表演都看到了。很开心。', '短评打分': 5}
{'短评内容': '真正的五星级酒店，很舒服的床品，豪华精致的卫生间。酒店很注意细节。我住的面海的房间，可以看到无敌的夜景。很好的地理位置。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '1。中午入住没房，所以去外面逛了一下，下午回来没房，给升级到万利套房，爽啊。\n2。从永利到万利里面走要穿过赌场，拿行李走要职员来带，不太方便。\n3。里面都是名牌店，自助餐东西不多，但很精致。', '短评打分': 5}
{'短评内容': '+酒店位于繁华地段，门口喷泉和大堂的生肖火树银花表演场景很有特色，房间豪华气派，服务很好！', '短评打分': 5}
{'短评内容': '也是一个性价比非常高的酒店，装修非常人性化', '短评打分': 5}
{'短评内容': '继续支持', '短评打分': 5}
{'短评内容': '这家酒店很好的地方就是他的整体配置附属设施像是购物名品街，娱乐场，spa，自助餐都是非常不错滴。', '短评打分': 5}
{'短评内容': '酒店的配置设施非常全，楼下奢侈品店，酒店的娱乐休闲设施也非常好。', '短评打分': 5}
{'短评内容': '澳门的豪华型酒店非常多，这家还算是可以的。软硬件都非常达标。', '短评打分': 5}
{'短评内容': '设施设备齐全，服务项目众多，价格相对便宜，性价比很高', '短评打分': 5}
{'短评内容': '对酒店很满意，房间宽敞舒适。配置硬件都非常好。很漂亮的酒店。', '短评打分': 5}
{'短评内容': '服务细腻，环境优雅。如果想放松享受一下，不错的选择。', '短评打分': 5}
{'短评内容': '酒店有到港澳码头的免费班车，地理位置优越，交通很便利', '短评打分': 5}
{'短评内容': '附近购物的地方很多，买东西很方便，周围环境很好，生态型的', '短评打分': 5}
{'短评内容': '有介绍旅游的人员，基本都是很真实而且很热情的，很值了，下次还来', '短评打分': 5}
{'短评内容': '其实去澳门除了玩还有就是感受别样的历史气息了，酒店离历史城区很近，有会展', '短评打分': 5}
