{'短评内容': '条件极差，要多难受有多难受，还不如青旅', '短评打分': 2}
{'短评内容': '需要安静的睡眠环境的话不建议住', '短评打分': 3}
{'短评内容': '不错的，可选择挺多', '短评打分': 5}
{'短评内容': '挺好，老板很热情', '短评打分': 5}
{'短评内容': '下次还会光顾', '短评打分': 5}
{'短评内容': '太差了，直接上图吧', '短评打分': 2}
{'短评内容': '一个字，差……………………………………………', '短评打分': 1}
{'短评内容': '还好吧 ，就是放假全是镜子，晚上睡觉不舒服', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '离火车西站还算近，打车很方便，周边小吃很多，很好！', '短评打分': 5}
{'短评内容': '价格很优惠，房间一般，不带空调，信号不好，没有无线网络，房间有霉味儿。', '短评打分': 3}
{'短评内容': '价格尚可，隔音不好，设施齐全', '短评打分': 3}
{'短评内容': '酒店挺干净的，就是去的时候赶上考试，人太多了，只剩下地下，有点热', '短评打分': 5}
{'短评内容': '房间忒小了，除了床就是门。。。枕头有异味', '短评打分': 1}
{'短评内容': '屋小  隔音不好  都不如30块钱的旅店', '短评打分': 3}
{'短评内容': '房间很干净，有个大窗户老板挺不错哈哈累死我了', '短评打分': 3}
{'短评内容': '屋子有点小，还能很暖和，空气流通不是特别好，但是很便宜，也差不多吧，要想便宜就不想别的了！', '短评打分': 1}
{'短评内容': '还不错，服务态度很好，房间也比较整洁，就是隔音一般！', '短评打分': 5}
